No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,2101001,SMA NEGERI 1 AMBON,60102008,N,192,69.03,62.2,60.05,55.99,62.27,67.63,0.0,21,1,1,2016,MALUKU,AMBON
2,2101002,SMA NEGERI 2 AMBON,60102006,N,199,63.46,48.0,43.4,54.48,38.4,54.94,0.0,21,1,2,2016,MALUKU,AMBON
3,2101003,SMA NEGERI 3 AMBON,60102005,N,131,62.41,59.27,41.35,56.01,49.37,50.38,0.0,21,1,3,2016,MALUKU,AMBON
4,2101004,SMA NEGERI 4 AMBON,60102004,N,133,64.02,43.4,33.5,35.51,29.21,38.61,0.0,21,1,4,2016,MALUKU,AMBON
5,2101005,SMA NEGERI 5 AMBON,60102002,N,176,63.99,47.0,36.97,46.75,32.94,43.41,0.0,21,1,5,2016,MALUKU,AMBON
6,2101006,SMA NEGERI 6 AMBON,60102013,N,29,63.38,41.79,46.47,36.38,32.5,41.55,0.0,21,1,6,2016,MALUKU,AMBON
7,2101007,SMA NEGERI 7 AMBON,60102014,N,41,63.32,54.29,54.33,71.34,46.04,53.23,0.0,21,1,7,2016,MALUKU,AMBON
8,2101008,SMA NEGERI 8 AMBON,60102015,N,25,65.2,55.12,36.3,56.7,54.7,76.9,0.0,21,1,8,2016,MALUKU,AMBON
9,2101009,SMA NEGERI 9 AMBON,60102025,N,66,57.09,47.82,46.93,52.8,39.77,38.41,0.0,21,1,9,2016,MALUKU,AMBON
10,2101010,SMA NEGERI 10 AMBON,60102007,N,39,63.33,32.72,29.62,42.31,30.32,39.42,0.0,21,1,10,2016,MALUKU,AMBON
11,2101011,SMA NEGERI 11 AMBON,60102965,N,258,65.18,55.54,53.64,53.28,57.76,62.98,0.0,21,1,11,2016,MALUKU,AMBON
12,2101012,SMA NEGERI 12 AMBON,60103097,N,68,64.79,44.76,40.92,50.44,40.4,39.74,0.0,21,1,12,2016,MALUKU,AMBON
13,2101013,SMA NEGERI 13 AMBON,60102966,N,324,57.18,42.36,45.95,43.3,48.1,50.45,0.0,21,1,13,2016,MALUKU,AMBON
14,2101014,SMA MARIA MEDIATRIX,60102020,S,13,60.15,48.15,24.81,29.04,25.58,33.65,0.0,21,1,14,2016,MALUKU,AMBON
15,2101015,SMA LKMD LAHA,60103096,S,14,53.43,35.0,53.04,32.5,24.46,46.61,0.0,21,1,15,2016,MALUKU,AMBON
16,2101016,SMA XAVERIUS AMBON,60102016,S,46,63.26,44.26,30.92,43.59,30.54,47.45,0.0,21,1,16,2016,MALUKU,AMBON
17,2101017,SMA SWASTA KRISTEN YPKPM AMBON,60102021,S,155,59.56,38.95,36.65,55.45,32.68,44.31,0.0,21,1,17,2016,MALUKU,AMBON
18,2101018,SMA PGRI 1 AMBON,60102967,S,54,50.93,36.52,31.94,39.81,24.03,41.67,0.0,21,1,18,2016,MALUKU,AMBON
19,2101019,SMA PGRI 2 AMBON,60102017,S,11,52.73,42.55,25.68,44.77,24.77,28.86,0.0,21,1,19,2016,MALUKU,AMBON
20,2101020,SMA MUHAMMADIYAH AMBON,60102019,S,18,40.33,24.0,19.72,53.19,28.75,20.28,0.0,21,1,20,2016,MALUKU,AMBON
21,2101021,SMA KRISTEN REHOBOTH,60102022,S,12,76.5,63.67,52.71,45.0,52.92,59.17,0.0,21,1,21,2016,MALUKU,AMBON
22,2101022,SMA PERTIWI AMBON,60102018,S,12,66.33,37.17,33.96,44.58,24.17,38.96,0.0,21,1,22,2016,MALUKU,AMBON
23,2101023,SMA ANGKASA PATTIMURA AMBON,60102023,S,46,51.74,44.91,52.17,70.22,50.87,43.42,0.0,21,1,23,2016,MALUKU,AMBON
24,2101024,SMA KARTIKA XIII - 1 AMBON,60102963,S,31,62.0,44.19,22.58,35.08,27.26,42.58,0.0,21,1,24,2016,MALUKU,AMBON
25,2101025,SMA KRISTEN PASSO,60103095,S,12,47.83,46.17,41.67,59.58,27.08,32.71,0.0,21,1,25,2016,MALUKU,AMBON
26,2101026,SMA ADVENT MALUKU,60102024,S,11,59.09,41.45,27.73,27.95,51.59,59.09,0.0,21,1,26,2016,MALUKU,AMBON
27,2101028,SMA GEMAH 7 AMBON,60102961,S,10,52.8,47.4,28.75,54.75,27.25,24.0,0.0,21,1,28,2016,MALUKU,AMBON
28,2101029,SMA SWASTA 45 AMBON,60102003,S,8,62.25,49.75,43.75,56.25,40.94,64.06,0.0,21,1,29,2016,MALUKU,AMBON
29,2101030,SMA NEGERI SIWALIMA AMBON,60103098,N,68,69.79,66.94,80.74,66.29,78.49,80.74,0.0,21,1,30,2016,MALUKU,AMBON
30,2101031,SMA KRISTEN KALAM KUDUS,60102962,S,6,61.0,58.33,42.08,60.0,31.67,57.5,0.0,21,1,31,2016,MALUKU,AMBON
31,2101032,SMA NEGERI 14 AMBON,60103406,N,45,59.38,31.78,22.28,21.33,23.83,33.28,0.0,21,1,32,2016,MALUKU,AMBON
32,2101034,SMA ALHILAAL AMBON,60103930,S,21,46.76,40.57,22.26,38.21,27.74,29.4,0.0,21,1,34,2016,MALUKU,AMBON
33,2101101,MAN 1 AMBON,60105600,N,98,60.16,46.67,42.58,49.13,48.06,43.39,0.0,21,1,101,2016,MALUKU,AMBON
34,2101102,MA AL-FATAH AMBON,60105601,S,11,65.09,52.73,38.86,60.91,48.18,71.36,0.0,21,1,102,2016,MALUKU,AMBON
35,2101103,MA NURUL IKHLAS,60105602,S,10,63.8,43.6,58.75,54.75,73.75,66.0,0.0,21,1,103,2016,MALUKU,AMBON
36,2101104,MA ITTAQOLLAH,60105603,S,10,57.2,57.0,24.0,44.5,35.0,46.75,0.0,21,1,104,2016,MALUKU,AMBON
37,2101105,MA  AL MABRUR AMBON,60105604,S,21,67.14,53.43,56.67,52.62,66.31,42.74,0.0,21,1,105,2016,MALUKU,AMBON
38,2102001,SMA  NEGERI 1 TUAL,60100819,N,157,56.68,33.92,21.4,24.27,30.0,33.89,0.0,21,2,1,2016,MALUKU,TUAL
39,2102002,SMA  NEGERI KUR,60102292,N,24,64.42,49.42,51.46,53.02,56.35,57.29,0.0,21,2,2,2016,MALUKU,TUAL
40,2102003,SMA  KRISTEN TUAL,60100802,S,47,53.74,38.98,22.77,23.51,58.67,26.81,0.0,21,2,3,2016,MALUKU,TUAL
41,2102004,SMA  RONEVAN TUAL,60100815,S,18,56.78,27.11,22.64,22.36,22.36,32.22,0.0,21,2,4,2016,MALUKU,TUAL
42,2102005,SMA  TERPADU AL-IKHLAS TUAL,60100807,S,18,62.0,34.44,24.31,21.11,27.64,35.28,0.0,21,2,5,2016,MALUKU,TUAL
43,2102006,SMA  MUHAMMADYAH  TUAL,60105446,S,29,42.21,26.34,20.95,24.14,21.81,24.4,0.0,21,2,6,2016,MALUKU,TUAL
