No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,18010001,SMA NEGERI  1 PALU,40203524,N,302,71.02,58.95,46.37,46.56,59.06,60.52,59.02,18,1,0,2019,SULAWESI TENGAH,KOTA PALU
2,18010003,SMA NEGERI 3 PALU,40203612,N,237,71.22,51.19,34.55,36.35,41.77,50.39,50.98,18,1,0,2019,SULAWESI TENGAH,KOTA PALU
3,18010004,SMA NEGERI 5 PALU,40203610,N,181,63.44,41.38,33.77,35.8,40.16,41.92,44.91,18,1,0,2019,SULAWESI TENGAH,KOTA PALU
4,18010005,SMA KARYA BHAKTI MAMBORO,40203518,S,20,40.3,28.1,28.25,0.0,0.0,35.88,33.13,18,1,0,2019,SULAWESI TENGAH,KOTA PALU
5,18010006,SMA NEGERI 7 PALU,40203608,N,132,62.38,40.74,29.22,35.5,37.17,41.76,43.15,18,1,0,2019,SULAWESI TENGAH,KOTA PALU
6,18010007,SMA NEGERI 9 PALU,40203875,N,45,59.24,40.0,29.5,34.0,43.61,40.97,42.37,18,1,0,2019,SULAWESI TENGAH,KOTA PALU
7,18010008,SMA KRISTEN BALA KESELAMATAN PALU,40203515,S,66,68.91,44.82,30.83,35.33,42.22,42.32,46.32,18,1,0,2019,SULAWESI TENGAH,KOTA PALU
8,18010009,SMAS GKST IMANUEL PALU,40203514,S,15,69.2,45.87,33.83,0.0,50.0,44.64,48.48,18,1,0,2019,SULAWESI TENGAH,KOTA PALU
9,18010010,SMA MUHAMMADIYAH I PALU,40203512,S,11,51.45,40.91,31.14,32.5,35.0,35.0,39.4,18,1,1,2019,SULAWESI TENGAH,KOTA PALU
10,18010011,SMA ADVENT PALU,40203522,S,10,59.6,39.6,22.75,31.79,42.5,48.75,39.55,18,1,1,2019,SULAWESI TENGAH,KOTA PALU
11,18010012,SMA NEGERI 2 PALU,40203631,N,282,72.68,57.35,38.4,35.14,48.38,51.55,54.41,18,1,1,2019,SULAWESI TENGAH,KOTA PALU
12,18010013,SMA NEGERI 4 PALU,40203611,N,201,66.67,45.0,36.97,36.67,45.83,47.06,48.87,18,1,1,2019,SULAWESI TENGAH,KOTA PALU
13,18010015,SMA PGRI 2 PALU,40203510,S,24,43.75,33.83,30.1,0.0,0.0,36.35,36.01,18,1,1,2019,SULAWESI TENGAH,KOTA PALU
14,18010016,SMA NEGERI 6 PALU,40203609,N,60,65.33,42.07,28.63,36.07,52.08,41.97,44.58,18,1,1,2019,SULAWESI TENGAH,KOTA PALU
15,18010017,SMA NEGERI 8 PALU,40203607,N,78,46.23,30.97,27.02,36.25,29.17,34.62,34.67,18,1,1,2019,SULAWESI TENGAH,KOTA PALU
16,18010018,SMA ALKHAIRAAT PALU,40203521,S,25,61.52,42.24,28.4,0.0,40.0,40.83,43.24,18,1,1,2019,SULAWESI TENGAH,KOTA PALU
17,18010019,SMA SWADAYA PALU,40203509,S,6,50.67,35.67,27.5,0.0,0.0,40.42,38.57,18,1,1,2019,SULAWESI TENGAH,KOTA PALU
18,18010020,SMA KARUNA DIPA PALU,40203519,S,15,79.2,69.07,45.17,73.75,91.25,64.55,65.69,18,1,2,2019,SULAWESI TENGAH,KOTA PALU
19,18010021,SMA KATOLIK SANTO ANDREAS PALU,40203516,S,40,71.85,63.8,38.81,57.5,30.0,50.07,56.06,18,1,2,2019,SULAWESI TENGAH,KOTA PALU
20,18010022,SMA GPID PALU,40203513,S,14,56.14,37.71,26.07,0.0,0.0,41.79,40.43,18,1,2,2019,SULAWESI TENGAH,KOTA PALU
21,18010023,SMA NEGERI MODEL TERPADU MADANI PALU,40203776,N,146,84.48,73.38,55.68,63.43,70.54,65.6,69.81,18,1,2,2019,SULAWESI TENGAH,KOTA PALU
22,18010024,MAN  2 KOTA PALU,40209856,N,157,70.75,49.36,32.69,35.21,37.25,47.72,49.56,18,1,2,2019,SULAWESI TENGAH,KOTA PALU
23,18010029,MA NEGERI 1 PALU,40209851,N,115,65.41,57.5,38.37,48.75,44.39,58.06,53.73,18,1,2,2019,SULAWESI TENGAH,KOTA PALU
24,18010032,MA ALKHAIRAAT PUSAT PALU,40209853,S,34,66.59,47.47,29.71,33.89,0.0,44.9,46.44,18,1,3,2019,SULAWESI TENGAH,KOTA PALU
25,18010035,SMA AL-AZHAR MANDIRI PALU,69756117,S,165,83.79,76.74,59.08,69.27,80.44,80.19,74.58,18,1,3,2019,SULAWESI TENGAH,KOTA PALU
26,18010036,SMA LABSCHOOL UNTAD,69770323,S,63,76.25,62.13,34.8,35.74,55.0,53.64,55.51,18,1,3,2019,SULAWESI TENGAH,KOTA PALU
27,18010037,SMAN OLAHRAGA TADULAKO PALU,69878007,N,43,60.65,43.49,29.07,28.75,0.0,44.36,44.03,18,1,3,2019,SULAWESI TENGAH,KOTA PALU
28,18010039,MAN INSAN CENDEKIA KOTA PALU,69980514,N,45,80.27,67.87,43.17,51.81,66.25,60.7,62.17,18,1,3,2019,SULAWESI TENGAH,KOTA PALU
29,18020001,SMA NEGERI 1 BANAWA,40200725,N,149,63.66,43.44,31.56,32.86,40.3,45.26,45.28,18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
30,18020002,SMA NEGERI 1 BANAWA TENGAH,40200728,N,61,54.13,37.64,28.07,0.0,0.0,39.55,39.85,18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
31,18020003,SMA NEGERI 1 RIO PAKAVA,40204387,N,77,61.43,38.44,29.35,37.6,31.25,43.37,42.45,18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
32,18020004,SMA NEGERI 1 SINDUE,40200726,N,72,59.78,35.97,28.26,30.21,41.0,37.73,40.18,18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
33,18020005,SMA NEGERI 1 SIRENJA,40200727,N,120,56.02,35.17,29.23,32.5,0.0,39.69,39.94,18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
34,18020006,SMA NEGERI 1 BALAESANG,40200737,N,92,60.89,37.74,29.13,38.85,36.48,39.09,41.51,18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
35,18020007,SMA NEGERI 2 BALAESANG,40204412,N,67,55.31,36.42,26.94,30.71,41.5,40.14,39.48,18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
36,18020008,SMA NEGERI 1 DAMPELAS,40200723,N,66,64.33,39.03,28.3,33.41,39.64,46.04,43.73,18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
37,18020009,SMA NEGERI 2 DAMPELAS,40200735,N,75,62.45,42.72,29.1,36.11,57.92,42.33,44.28,18,2,0,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
38,18020010,SMA NEGERI 1 SOJOL,40203841,N,106,59.64,38.91,30.5,41.56,0.0,40.66,42.45,18,2,1,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
39,18020013,MA ALKHAIRAAT  MALENI,40209840,S,40,53.25,36.25,27.13,36.88,0.0,34.92,37.99,18,2,1,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
40,18020014,MA SYEKH LOKIYA TOWALE,40209844,S,14,33.29,33.43,25.36,0.0,0.0,37.5,32.4,18,2,1,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
41,18020019,MA NAHDLATUL KHAIRAAT,40209846,S,14,51.0,32.14,27.32,32.0,39.38,40.5,36.91,18,2,1,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
42,18020021,MA ALKHAIRAAT TOMPE,40209849,S,15,45.73,32.93,30.0,0.0,0.0,40.17,37.21,18,2,2,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
43,18020023,MA AL KHAIRAAT KOLA-KOLA,40209843,S,8,56.25,36.0,26.56,0.0,0.0,39.69,39.63,18,2,2,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
44,18020024,SMA NEGERI 1 SINDUE TOMBUSABORA,40206618,N,44,54.64,37.91,27.95,0.0,0.0,43.58,41.02,18,2,2,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
45,18020028,SMA NEGERI 3 BALAESANG,69826572,N,36,59.44,37.61,29.51,39.17,40.0,39.38,41.49,18,2,2,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
46,18020029,SMA NEGERI 2 SOJOL,69830204,N,26,55.0,37.77,27.31,40.0,45.0,38.57,39.93,18,2,2,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
47,18020030,MA AL KHAIRAAT KABONGA BESAR,69816364,S,23,42.35,34.52,31.52,0.0,0.0,35.54,35.99,18,2,3,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
48,18020031,MA AL KHAIRAAT BATUSUYA GOO,69955797,S,12,54.33,32.5,26.67,0.0,0.0,37.5,37.75,18,2,3,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
49,18020034,SMA NEGERI 1 SINDUE TOBATA,69896670,N,74,54.35,36.41,28.07,47.5,33.25,37.34,38.94,18,2,3,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
50,18020035,SMA NEGERI 1 BALAESANG TANJUNG,69896536,N,15,50.93,33.47,31.33,0.0,0.0,39.67,38.85,18,2,3,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
51,18020036,SMA NEGERI 1 BANAWA SELATAN,69948239,N,30,45.27,32.6,27.92,0.0,0.0,38.25,36.01,18,2,3,2019,SULAWESI TENGAH,KABUPATEN DONGGALA
52,18030001,SMA NEGERI 1 POSO,40201359,N,138,67.74,45.93,31.52,35.81,41.82,41.53,46.3,18,3,0,2019,SULAWESI TENGAH,KABUPATEN POSO
53,18030002,SMA NEGERI 2 POSO,40201357,N,78,66.54,44.28,30.99,36.67,40.95,44.86,46.33,18,3,0,2019,SULAWESI TENGAH,KABUPATEN POSO
54,18030003,SMA NEGERI 3 POSO,40201356,N,156,72.09,48.26,33.32,55.0,42.83,47.01,50.11,18,3,0,2019,SULAWESI TENGAH,KABUPATEN POSO
55,18030004,SMA NEGERI 4 POSO,40201355,N,27,59.04,38.74,27.69,0.0,0.0,45.09,42.64,18,3,0,2019,SULAWESI TENGAH,KABUPATEN POSO
56,18030005,SMA NEGERI 1 POSO PESISIR UTARA,40201358,N,68,70.41,43.62,33.05,37.29,37.03,46.63,47.45,18,3,0,2019,SULAWESI TENGAH,KABUPATEN POSO
57,18030006,SMA NEGERI 1 LORE UTARA,40201327,N,80,64.8,45.7,32.97,50.0,56.48,46.58,48.32,18,3,0,2019,SULAWESI TENGAH,KABUPATEN POSO
58,18030008,SMA NEGERI 1 POSO PESISIR SELATAN,40204272,N,24,64.92,40.67,30.42,31.5,50.0,51.76,45.85,18,3,0,2019,SULAWESI TENGAH,KABUPATEN POSO
59,18030009,SMA NEGERI 1 LAGE,40204271,N,22,63.73,42.55,29.77,45.0,39.38,47.35,45.46,18,3,0,2019,SULAWESI TENGAH,KABUPATEN POSO
60,18030010,SMA NEGERI 1 PAMONA UTARA,40201343,N,67,68.42,46.66,32.35,32.77,41.88,48.24,46.17,18,3,1,2019,SULAWESI TENGAH,KABUPATEN POSO
61,18030011,SMA NEGERI 1 PAMONA SELATAN,40201326,N,43,68.65,44.88,29.71,37.22,36.43,42.5,45.92,18,3,1,2019,SULAWESI TENGAH,KABUPATEN POSO
62,18030012,SMA NEGERI 1 PAMONA TIMUR,40201342,N,12,69.17,37.0,27.29,51.67,37.5,54.29,46.08,18,3,1,2019,SULAWESI TENGAH,KABUPATEN POSO
63,18030013,SMA NEGERI 1 LORE SELATAN,40201328,N,26,63.69,46.62,30.87,42.5,43.33,43.64,46.19,18,3,1,2019,SULAWESI TENGAH,KABUPATEN POSO
64,18030014,SMA GKST 1 TENTENA,40201332,S,61,68.43,45.84,32.66,43.57,41.32,46.62,47.93,18,3,1,2019,SULAWESI TENGAH,KABUPATEN POSO
65,18030015,SMA GKST 2 TENTENA,40201331,S,60,73.5,49.17,37.13,36.18,45.96,50.92,51.37,18,3,1,2019,SULAWESI TENGAH,KABUPATEN POSO
66,18030016,SMA NEGERI 1 PAMONA BARAT,40203907,N,51,61.1,39.33,30.0,30.83,35.59,44.19,42.75,18,3,1,2019,SULAWESI TENGAH,KABUPATEN POSO
67,18030017,SMA NEGERI 2 PAMONA SELATAN,40203908,N,47,65.4,39.53,29.68,46.25,44.38,54.02,46.88,18,3,1,2019,SULAWESI TENGAH,KABUPATEN POSO
68,18030018,MAN POSO,40209876,N,38,66.37,40.0,29.41,38.75,40.0,41.9,44.26,18,3,1,2019,SULAWESI TENGAH,KABUPATEN POSO
69,18030019,MA ALKHAIRAAT POSO,40209873,S,11,50.55,33.27,28.64,0.0,0.0,39.32,37.95,18,3,1,2019,SULAWESI TENGAH,KABUPATEN POSO
70,18030021,MAN 2 POSO,40209872,S,21,69.33,46.1,32.74,47.5,48.75,48.57,49.16,18,3,2,2019,SULAWESI TENGAH,KABUPATEN POSO
71,18030025,SMA NEGERI HARMONI,69875557,N,20,73.5,51.4,34.0,0.0,49.06,48.13,51.85,18,3,2,2019,SULAWESI TENGAH,KABUPATEN POSO
72,18040008,SMAN 1 WITA PONDA,40202639,N,91,74.0,46.24,35.85,50.83,68.75,51.98,52.08,18,4,0,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
73,18040009,SMAN 1 BUMI RAYA,40202641,N,36,69.56,46.28,34.24,46.67,35.63,46.18,48.51,18,4,0,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
74,18040010,SMAN 1 BUNGKU,40202642,N,155,67.74,42.65,32.29,37.16,41.03,45.02,46.54,18,4,1,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
75,18040011,SMA ALKHAIRAAT KOLONO,40202646,S,52,63.81,40.92,31.88,35.88,51.5,47.0,45.1,18,4,1,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
76,18040012,SMA BHALDA BUNGKU,40204541,S,12,47.0,35.83,28.13,0.0,0.0,30.63,35.4,18,4,1,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
77,18040013,SMAN 1 BUNGKU SELATAN,40202650,N,77,53.58,36.62,29.16,47.5,30.0,40.75,40.06,18,4,1,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
78,18040014,SMAN 1 BAHODOPI,40202649,N,62,60.32,39.77,30.16,40.0,34.46,41.18,42.14,18,4,1,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
79,18040015,SMAN 1 MENUI,40202636,N,26,62.08,58.38,30.87,40.83,36.0,43.33,48.24,18,4,1,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
80,18040017,MAN MOROWALI,40209861,N,30,64.8,35.33,28.0,35.0,32.5,41.4,42.08,18,4,1,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
81,18040020,MA NURUL UMMAH LAMBELU,40209859,S,8,70.75,41.0,35.0,52.5,46.25,57.5,49.89,18,4,2,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
82,18040022,MA AL-KHAIRAAT WOSU,40209860,S,21,67.14,76.67,38.33,42.5,42.5,52.5,57.35,18,4,2,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
83,18040029,SMAN 1 BUNGKU PESISIR,69772601,N,30,52.13,35.47,28.08,0.0,37.5,39.46,38.67,18,4,2,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
84,18040030,SMAN 2 BUNGKU,69775312,N,57,69.19,45.96,39.47,50.0,41.25,54.86,52.11,18,4,3,2019,SULAWESI TENGAH,KABUPATEN MOROWALI
85,18050001,SMA NEGERI 1 LUWUK,40201612,N,209,60.95,43.67,31.06,33.96,36.85,43.31,44.12,18,5,0,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
86,18050002,SMA NEGERI 2 LUWUK,40201630,N,99,62.0,45.72,29.42,39.44,35.5,41.76,44.6,18,5,0,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
87,18050003,SMA NEGERI 1 KINTOM,40201724,N,39,53.64,54.87,28.65,0.0,0.0,44.1,45.32,18,5,0,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
88,18050004,SMA NEGERI 1 TOILI,40201628,N,200,71.68,50.9,42.35,43.65,52.22,50.16,53.78,18,5,0,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
89,18050005,SMA NEGERI 1 BALANTAK,40201706,N,29,62.69,39.52,29.57,30.0,38.75,43.75,43.59,18,5,0,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
90,18050006,SMA NEGERI 1 TOILI BARAT,40201629,N,138,62.59,40.19,32.66,45.83,39.17,44.48,44.93,18,5,0,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
91,18050007,SMA NEGERI 1 BUNTA,40201709,N,111,62.79,41.6,35.77,40.0,56.25,46.29,46.6,18,5,0,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
92,18050008,SMA MUHAMMADIYAH LUWUK,40201705,S,8,50.25,31.5,26.56,28.75,28.75,40.0,35.67,18,5,0,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
93,18050009,SMA NEGERI 2 LAMALA,40204324,N,29,54.48,33.86,29.83,0.0,45.36,37.05,39.31,18,5,0,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
94,18050010,SMA NEGERI 3 LUWUK,40201631,N,306,68.03,51.17,33.34,40.43,45.95,51.27,50.57,18,5,1,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
95,18050011,SMA KRISTEN GKLB LUWUK,40201704,S,17,65.53,42.82,29.56,32.5,41.25,42.71,44.66,18,5,1,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
96,18050012,SMA NEGERI 1 PAGIMANA,40201627,N,103,61.13,40.95,30.15,0.0,0.0,45.02,44.31,18,5,1,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
97,18050013,SMA NEGERI 1 BATUI,40201707,N,120,57.58,40.07,31.73,37.5,0.0,46.79,43.62,18,5,1,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
98,18050014,SMA ALKHAIRAAT BATUI,40204309,S,20,41.0,34.1,26.38,0.0,0.0,36.25,34.43,18,5,1,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
99,18050015,SMA NEGERI 1 LAMALA,40201668,N,19,57.68,42.32,30.26,38.5,43.75,47.08,43.69,18,5,1,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
100,18050016,SMA NEGERI 1 BUALEMO,40201708,N,35,64.34,41.2,29.43,38.5,40.0,44.03,44.21,18,5,1,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
101,18050017,SMA NEGERI 2 PAGIMANA,40204321,N,16,65.13,38.63,26.41,30.0,0.0,43.17,43.13,18,5,1,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
102,18050018,SMA KATOLIK SANTO YOSEPH LUWUK,40201703,S,32,75.0,65.19,40.08,45.0,50.0,57.5,58.62,18,5,1,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
103,18050019,MAN BANGGAI,40209818,N,46,73.26,51.26,34.51,43.0,47.5,51.25,52.33,18,5,1,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
104,18050022,MAS DARUL KHAIR MASING,40209812,S,15,61.47,38.93,27.67,0.0,0.0,42.0,42.52,18,5,2,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
105,18050024,MA DDI MIDARUL ULUM KILONGAN,40209819,S,16,64.75,55.63,32.5,0.0,0.0,51.25,51.03,18,5,2,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
106,18050025,MAS AL MUHAJIRIN SINORANG,40209810,S,27,51.7,35.04,29.17,40.83,31.25,35.28,37.73,18,5,2,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
107,18050031,MAS ALKHAIRAAT LUWUK,40209820,S,8,59.0,36.0,30.0,0.0,31.25,35.83,39.93,18,5,3,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
108,18050033,MA DARUL ULUM TOILI,40209826,S,35,70.97,41.83,30.5,41.11,0.0,47.88,47.36,18,5,3,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
109,18050034,SMA NEGERI 1 NUHON,40205585,N,33,55.33,38.12,30.08,40.0,28.75,38.83,40.45,18,5,3,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
110,18050035,SMA NEGERI 1 MASAMA,40206474,N,50,63.96,38.84,31.1,0.0,0.0,44.8,44.68,18,5,3,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
111,18050040,SMA NEGERI 2 BUNTA,40205691,N,27,66.81,42.3,30.65,37.5,44.64,46.75,46.1,18,5,4,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
112,18050044,SMA NEGERI 3 BUNTA,69773521,N,27,58.37,38.0,32.31,0.0,0.0,42.22,42.73,18,5,4,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
113,18050047,MA ALKHAIRAAT NONONG,69894917,S,14,36.0,35.14,29.11,0.0,0.0,35.54,33.95,18,5,4,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
114,18050050,SMAN 2 NUHON,69786242,N,19,58.53,36.11,33.16,0.0,39.0,62.32,46.0,18,5,5,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
115,18050051,SMA NEGERI 1 LUWUK TIMUR,69937574,N,26,47.92,35.38,27.88,0.0,0.0,39.71,37.73,18,5,5,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
116,18050054,MA DARUL YAQIN MULYASARI,69816360,S,10,49.6,33.0,26.0,0.0,0.0,43.75,38.09,18,5,5,2019,SULAWESI TENGAH,KABUPATEN BANGGAI
117,18060003,SMA NEGERI 1 TOTIKUM,40200247,N,63,59.37,39.52,32.3,38.13,33.25,41.01,42.56,18,6,0,2019,SULAWESI TENGAH,KABUPATEN BANGGAI KEPULAUAN
