No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,3301001,SMA NEGERI 1 MANOKWARI,60400133,N,283,85.98,77.9,81.46,66.52,90.4,85.66,0.0,33,1,1,2015,PAPUA BARAT,KABUPATEN MANOKWARI
2,3301002,SMA ST. PAULUS MANOKWARI,60400139,S,14,49.73,40.11,51.13,54.46,61.61,51.07,0.0,33,1,2,2015,PAPUA BARAT,KABUPATEN MANOKWARI
3,3301003,SMA YABT MANOKWARI,60401551,S,46,79.36,70.63,79.47,64.18,86.36,80.76,0.0,33,1,3,2015,PAPUA BARAT,KABUPATEN MANOKWARI
4,3301004,SMA YPK IMANUEL PASIR PUTIH,60402064,S,21,71.93,53.23,56.36,64.4,71.43,63.69,0.0,33,1,4,2015,PAPUA BARAT,KABUPATEN MANOKWARI
5,3301005,SMA NEGERI 2 MANOKWARI,60400131,N,100,83.41,62.23,75.65,62.33,68.65,75.53,0.0,33,1,5,2015,PAPUA BARAT,KABUPATEN MANOKWARI
6,3301006,SMA OIKUMENE MANOKWARI,60400136,S,46,76.78,60.17,77.93,31.96,80.33,59.84,0.0,33,1,6,2015,PAPUA BARAT,KABUPATEN MANOKWARI
7,3301007,SMA YAPIS MANOKWARI,60401552,S,33,82.97,47.71,69.25,46.21,69.55,71.82,0.0,33,1,7,2015,PAPUA BARAT,KABUPATEN MANOKWARI
8,3301008,SMA ADVENT MANOKWARI,60401549,S,25,68.67,44.72,65.48,62.0,72.4,71.3,0.0,33,1,8,2015,PAPUA BARAT,KABUPATEN MANOKWARI
9,3301009,SMA YPPGI WOSI MANOKWARI,60402063,S,11,70.27,58.27,62.73,62.73,72.27,73.18,0.0,33,1,9,2015,PAPUA BARAT,KABUPATEN MANOKWARI
10,3301010,SMA NEGERI 1 PRAFI,60400132,N,82,74.76,64.17,59.07,87.35,66.49,69.97,0.0,33,1,10,2015,PAPUA BARAT,KABUPATEN MANOKWARI
11,3301011,SMA NEGERI AMBERBAKEN,60402065,N,38,58.88,43.1,51.72,51.58,69.74,54.61,0.0,33,1,11,2015,PAPUA BARAT,KABUPATEN MANOKWARI
12,3301012,MA NEGERI PRAFI,11003342,N,52,70.64,39.25,46.02,50.24,41.97,46.97,0.0,33,1,12,2015,PAPUA BARAT,KABUPATEN MANOKWARI
13,3301013,SMA NEGERI 1 WARMARE,60403426,N,20,77.4,55.93,70.79,60.25,72.0,66.5,0.0,33,1,13,2015,PAPUA BARAT,KABUPATEN MANOKWARI
14,3301014,SMA BINA TARUNA MASNI,60400108,S,26,86.7,66.1,72.87,64.33,83.46,56.83,0.0,33,1,14,2015,PAPUA BARAT,KABUPATEN MANOKWARI
