No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,2801001,"SMA NEGERI 1 TAMANSARI, PANGKALPINANG",10901104,N,170,81.45,70.34,45.66,60.77,55.43,62.05,0.0,28,1,1,2015,BANGKA BELITUNG,KOTA PANGKALPINANG
2,2801002,"SMA NEGERI 2 BUKIT INTAN, PANGKALPINANG",10901134,N,77,76.5,59.47,31.68,46.52,41.88,49.83,0.0,28,1,2,2015,BANGKA BELITUNG,KOTA PANGKALPINANG
3,2801003,"SMA NEGERI 3 RANGKUI, PANGKALPINANG",10901135,N,88,79.84,55.83,36.25,47.24,51.31,56.16,0.0,28,1,3,2015,BANGKA BELITUNG,KOTA PANGKALPINANG
4,2801004,"SMA NEGERI 4 GABEK, PANGKALPINANG",10901153,N,35,78.27,54.82,41.96,40.81,55.64,62.67,0.0,28,1,4,2015,BANGKA BELITUNG,KOTA PANGKALPINANG
5,2801005,"SMA SANTO YOSEF RANGKUI, PANGKALPINANG",10901100,S,101,81.08,71.74,49.21,58.04,56.36,60.44,0.0,28,1,5,2015,BANGKA BELITUNG,KOTA PANGKALPINANG
6,2801008,"SMA THB BUKIT INTAN, PANGKALPINANG",10901103,S,32,59.3,39.65,22.32,25.1,25.78,26.75,0.0,28,1,8,2015,BANGKA BELITUNG,KOTA PANGKALPINANG
7,2801009,"SMA DEPATI AMIR PANGKALBALAM, PANGKALPINANG",10901097,S,15,66.19,37.26,24.51,21.99,28.83,32.63,0.0,28,1,9,2015,BANGKA BELITUNG,KOTA PANGKALPINANG
8,2801011,"MA NEGERI  RANGKUI, PANGKALPINANG",10901910,N,107,69.05,40.82,24.93,29.23,29.28,31.67,0.0,28,1,11,2015,BANGKA BELITUNG,KOTA PANGKALPINANG
9,2802001,"SMA NEGERI 1 SUNGAILIAT, BANGKA",10900232,N,95,83.54,68.98,48.95,53.37,56.26,64.61,0.0,28,2,1,2015,BANGKA BELITUNG,KABUPATEN BANGKA
10,2802002,"SMA NEGERI 1 PEMALI, BANGKA",10900235,N,102,77.59,68.69,54.39,63.41,63.48,64.12,0.0,28,2,2,2015,BANGKA BELITUNG,KABUPATEN BANGKA
11,2802003,"SMA NEGERI 1 MERAWANG, BANGKA",10900236,N,61,74.58,47.1,35.68,34.62,39.84,37.35,0.0,28,2,3,2015,BANGKA BELITUNG,KABUPATEN BANGKA
12,2802004,"SMA NEGERI 1 BELINYU, BANGKA",10900238,N,53,82.8,59.75,50.88,45.45,52.59,53.65,0.0,28,2,4,2015,BANGKA BELITUNG,KABUPATEN BANGKA
13,2802005,"SMA NEGERI 1 PUDING BESAR, BANGKA",10900233,N,58,74.1,44.47,29.92,35.13,35.56,41.69,0.0,28,2,5,2015,BANGKA BELITUNG,KABUPATEN BANGKA
14,2802006,"SMA NEGERI 1 MENDO BARAT, BANGKA",10900237,N,32,76.06,41.9,33.88,33.82,47.5,49.2,0.0,28,2,6,2015,BANGKA BELITUNG,KABUPATEN BANGKA
15,2802007,"SMA BAKTI SUNGAILIAT, BANGKA",10900213,S,8,73.39,34.63,21.56,20.89,24.06,28.19,0.0,28,2,7,2015,BANGKA BELITUNG,KABUPATEN BANGKA
16,2802008,"SMA SETIA BUDI SUNGAILIAT, BANGKA",10900224,S,65,76.04,53.84,29.27,32.25,34.12,40.53,0.0,28,2,8,2015,BANGKA BELITUNG,KABUPATEN BANGKA
17,2802009,"SMA HARAPAN SUNGAILIAT, BANGKA",10900211,S,12,77.86,56.93,26.45,27.47,31.25,37.01,0.0,28,2,9,2015,BANGKA BELITUNG,KABUPATEN BANGKA
18,2802011,"SMA PLUS BAHRUL ULUM, BANGKA",10901371,S,19,76.55,57.52,32.19,27.81,41.32,36.16,0.0,28,2,11,2015,BANGKA BELITUNG,KABUPATEN BANGKA
19,2802014,"MA NEGERI SUNGAILIAT, BANGKA",10901897,N,37,75.05,43.18,24.59,26.85,33.24,42.7,0.0,28,2,14,2015,BANGKA BELITUNG,KABUPATEN BANGKA
20,2802015,"MA AL ISLAM KEMUJA MENDO BARAT, BANGKA",10901891,S,23,75.36,41.47,26.8,28.32,41.09,39.3,0.0,28,2,15,2015,BANGKA BELITUNG,KABUPATEN BANGKA
21,2802021,"SMA NEGERI 1 RIAUSILIP, BANGKA",10901465,N,22,75.06,40.41,27.69,29.13,29.66,34.68,0.0,28,2,21,2015,BANGKA BELITUNG,KABUPATEN BANGKA
