No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,201001,"SMA NEGERI 1 BANDUNG, KOTA BANDUNG",20219271,N,311,80.05,74.22,50.47,54.21,59.44,63.71,0.0,2,1,1,2017,JAWA BARAT,KOTA BANDUNG
2,201002,"SMA NEGERI 2 BANDUNG, KOTA BANDUNG",20219254,N,329,81.98,77.61,63.53,60.81,70.93,68.78,0.0,2,1,2,2017,JAWA BARAT,KOTA BANDUNG
3,201003,"SMA NEGERI 3 BANDUNG, KOTA BANDUNG",20219327,N,338,85.22,81.92,75.56,69.89,74.73,72.6,0.0,2,1,3,2017,JAWA BARAT,KOTA BANDUNG
4,201004,"SMA NEGERI 4 BANDUNG, KOTA BANDUNG",20219312,N,259,81.51,71.95,62.36,63.04,62.52,64.48,0.0,2,1,4,2017,JAWA BARAT,KOTA BANDUNG
5,201005,"SMA NEGERI 5 BANDUNG, KOTA BANDUNG",20219309,N,349,83.3,79.46,63.12,64.89,68.57,64.68,0.0,2,1,5,2017,JAWA BARAT,KOTA BANDUNG
6,201006,"SMA NEGERI 6 BANDUNG, KOTA BANDUNG",20219306,N,201,78.21,63.91,45.3,46.32,54.55,54.51,0.0,2,1,6,2017,JAWA BARAT,KOTA BANDUNG
7,201007,"SMA NEGERI 7 BANDUNG, KOTA BANDUNG",20219316,N,206,76.7,62.29,36.44,45.94,47.8,54.16,0.0,2,1,7,2017,JAWA BARAT,KOTA BANDUNG
8,201008,"SMA NEGERI 8 BANDUNG, KOTA BANDUNG",20219326,N,396,83.23,76.96,65.9,68.27,66.74,66.74,0.0,2,1,8,2017,JAWA BARAT,KOTA BANDUNG
9,201009,"SMA NEGERI 9 BANDUNG, KOTA BANDUNG",20219324,N,214,78.71,65.4,49.66,49.1,55.34,57.57,0.0,2,1,9,2017,JAWA BARAT,KOTA BANDUNG
10,201010,"SMA NEGERI 10 BANDUNG, KOTA BANDUNG",20219257,N,222,79.35,63.14,45.36,49.3,54.86,58.1,0.0,2,1,10,2017,JAWA BARAT,KOTA BANDUNG
11,201011,"SMA NEGERI 11 BANDUNG, KOTA BANDUNG",20219243,N,237,82.85,73.69,55.83,54.38,67.64,67.67,0.0,2,1,11,2017,JAWA BARAT,KOTA BANDUNG
12,201012,"SMA NEGERI 12 BANDUNG, KOTA BANDUNG",20219241,N,230,81.94,72.57,56.1,55.74,66.0,63.7,0.0,2,1,12,2017,JAWA BARAT,KOTA BANDUNG
13,201013,"SMA NEGERI 13 BANDUNG, KOTA BANDUNG",20219240,N,178,78.49,59.79,43.29,49.1,45.57,55.44,0.0,2,1,13,2017,JAWA BARAT,KOTA BANDUNG
14,201014,"SMA NEGERI 14 BANDUNG, KOTA BANDUNG",20219239,N,218,78.76,68.19,54.74,54.05,52.5,56.46,0.0,2,1,14,2017,JAWA BARAT,KOTA BANDUNG
15,201015,"SMA NEGERI 15 BANDUNG, KOTA BANDUNG",20219238,N,266,77.25,60.03,40.59,48.21,47.93,49.39,0.0,2,1,15,2017,JAWA BARAT,KOTA BANDUNG
16,201016,"SMA NEGERI 16 BANDUNG, KOTA BANDUNG",20219237,N,259,74.66,54.91,35.85,41.46,37.5,52.53,0.0,2,1,16,2017,JAWA BARAT,KOTA BANDUNG
