No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,1701001,SMA NEGERI 4 MANADO,40102622,N,72,64.69,48.08,33.06,40.0,34.38,37.97,0.0,17,1,1,2017,SULAWESI UTARA,KOTA MANADO
2,1701007,SMA KRISTEN ELFATAH MANADO,40102610,S,16,43.38,52.25,22.66,0.0,0.0,25.47,0.0,17,1,7,2017,SULAWESI UTARA,KOTA MANADO
3,1701008,SMA KRISTEN YPKM MANADO,40102627,S,7,53.14,41.43,19.64,0.0,0.0,27.86,0.0,17,1,8,2017,SULAWESI UTARA,KOTA MANADO
4,1701009,SMA KATOLIK DON BOSCO MANADO,40102586,S,93,70.67,70.09,40.67,51.38,0.0,47.5,0.0,17,1,9,2017,SULAWESI UTARA,KOTA MANADO
5,1701010,SMA KATOLIK REX MUNDI MANADO,40102589,S,156,73.72,72.62,37.15,42.14,54.38,39.03,0.0,17,1,10,2017,SULAWESI UTARA,KOTA MANADO
6,1701011,SMA NEGERI 6 MANADO,40102747,N,8,55.5,41.5,25.63,32.5,0.0,30.71,0.0,17,1,11,2017,SULAWESI UTARA,KOTA MANADO
7,1701012,SMA BUDI UTOMO MANADO,40102584,S,5,39.2,23.2,20.5,0.0,0.0,27.5,0.0,17,1,12,2017,SULAWESI UTARA,KOTA MANADO
8,1701013,SMA KATOLIK LAURENTIUS MANADO,40102590,S,12,44.83,33.83,23.96,0.0,0.0,24.58,0.0,17,1,13,2017,SULAWESI UTARA,KOTA MANADO
9,1701014,SMA PIONEER MANADO,40102613,S,40,70.9,67.4,31.94,37.08,0.0,58.64,0.0,17,1,14,2017,SULAWESI UTARA,KOTA MANADO
10,1701016,SMA ADVENT KLABAT MANADO,40102608,S,23,64.17,53.39,26.63,0.0,31.74,0.0,0.0,17,1,16,2017,SULAWESI UTARA,KOTA MANADO
11,1701017,SMA KATOLIK IGNATIUS MANADO,40102592,S,27,71.26,56.0,29.63,0.0,39.17,43.13,0.0,17,1,17,2017,SULAWESI UTARA,KOTA MANADO
12,1701018,SMA NEGERI 1 MANADO,40102618,N,404,70.88,65.05,31.62,39.33,43.37,39.88,0.0,17,1,18,2017,SULAWESI UTARA,KOTA MANADO
13,1701019,SMA KRISTEN SYALOOM KAROMBASAN,40102626,S,7,55.43,38.57,23.21,0.0,26.43,0.0,0.0,17,1,19,2017,SULAWESI UTARA,KOTA MANADO
