No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,2101001,SMA NEGERI 1 AMBON,60102008,N,261,73.66,68.28,47.79,38.63,53.55,56.26,0.0,21,1,1,2017,MALUKU,AMBON
2,2101002,SMA NEGERI 2 AMBON,60102006,N,206,62.4,70.06,69.62,45.42,64.23,62.61,0.0,21,1,2,2017,MALUKU,AMBON
3,2101003,SMA NEGERI 3 AMBON,60102005,N,140,67.14,45.06,31.68,36.65,39.17,40.03,0.0,21,1,3,2017,MALUKU,AMBON
4,2101004,SMA NEGERI 4 AMBON,60102004,N,163,52.53,60.12,42.78,38.29,57.27,59.05,0.0,21,1,4,2017,MALUKU,AMBON
5,2101005,SMA NEGERI 5 AMBON,60102002,N,153,66.21,51.48,35.39,42.33,51.5,44.26,0.0,21,1,5,2017,MALUKU,AMBON
6,2101006,SMA NEGERI 6 AMBON,60102013,N,19,56.53,55.47,51.32,42.92,55.0,57.22,0.0,21,1,6,2017,MALUKU,AMBON
7,2101007,SMA NEGERI 7 AMBON,60102014,N,61,58.69,44.39,32.83,52.5,44.5,35.45,0.0,21,1,7,2017,MALUKU,AMBON
8,2101008,SMA NEGERI 8 AMBON,60102015,N,23,51.48,50.52,39.24,20.0,31.25,48.95,0.0,21,1,8,2017,MALUKU,AMBON
9,2101009,SMA NEGERI 9 AMBON,60102025,N,65,54.95,62.52,60.42,47.5,64.1,62.95,0.0,21,1,9,2017,MALUKU,AMBON
10,2101010,SMA NEGERI 10 AMBON,60102007,N,64,59.22,52.75,40.43,56.41,80.0,56.76,0.0,21,1,10,2017,MALUKU,AMBON
11,2101011,SMA NEGERI 11 AMBON,60102965,N,270,62.24,72.77,70.1,43.57,69.29,76.47,0.0,21,1,11,2017,MALUKU,AMBON
12,2101012,SMA NEGERI 12 AMBON,60103097,N,83,57.86,69.25,63.83,58.91,73.04,64.67,0.0,21,1,12,2017,MALUKU,AMBON
13,2101013,SMA NEGERI 13 AMBON,60102966,N,324,53.65,71.71,67.96,43.72,67.1,65.53,0.0,21,1,13,2017,MALUKU,AMBON
14,2101014,SMA MARIA MEDIATRIX,60102020,S,19,48.0,39.79,32.89,0.0,36.43,41.67,0.0,21,1,14,2017,MALUKU,AMBON
15,2101015,SMA LKMD LAHA,60103096,S,21,53.05,52.86,53.69,0.0,69.58,60.0,0.0,21,1,15,2017,MALUKU,AMBON
16,2101016,SMA XAVERIUS AMBON,60102016,S,38,65.84,56.95,31.38,52.5,39.0,48.15,0.0,21,1,16,2017,MALUKU,AMBON
17,2101017,SMA SWASTA KRISTEN YPKPM AMBON,60102021,S,109,59.36,38.28,29.77,36.03,36.5,37.29,0.0,21,1,17,2017,MALUKU,AMBON
18,2101018,SMA PGRI 1 AMBON,60102967,S,53,50.6,67.55,60.28,63.21,69.06,65.0,0.0,21,1,18,2017,MALUKU,AMBON
19,2101019,SMA PGRI 2 AMBON,60102017,S,12,42.83,27.83,17.5,23.75,0.0,30.0,0.0,21,1,19,2017,MALUKU,AMBON
20,2101020,SMA MUHAMMADIYAH AMBON,60102019,S,15,48.8,54.67,48.83,0.0,0.0,65.17,0.0,21,1,20,2017,MALUKU,AMBON
21,2101021,SMA KRISTEN REHOBOTH,60102022,S,19,73.79,68.74,54.61,55.0,54.09,50.0,0.0,21,1,21,2017,MALUKU,AMBON
22,2101022,SMA PERTIWI AMBON,60102018,S,18,56.44,54.78,70.0,0.0,70.0,59.56,0.0,21,1,22,2017,MALUKU,AMBON
23,2101023,SMA ANGKASA PATTIMURA AMBON,60102023,S,62,52.39,62.55,70.24,0.0,43.33,63.58,0.0,21,1,23,2017,MALUKU,AMBON
24,2101024,SMA KARTIKA XIII - 1 AMBON,60102963,S,35,50.23,60.4,63.43,61.67,53.21,56.59,0.0,21,1,24,2017,MALUKU,AMBON
25,2101025,SMA KRISTEN PASSO,60103095,S,8,49.0,35.25,25.94,62.5,57.5,32.92,0.0,21,1,25,2017,MALUKU,AMBON
26,2101026,SMA ADVENT MALUKU,60102024,S,6,58.67,42.67,40.0,0.0,29.38,43.75,0.0,21,1,26,2017,MALUKU,AMBON
27,2101028,SMA GEMAH 7 AMBON,60102961,S,11,46.36,43.45,35.68,0.0,0.0,23.18,0.0,21,1,28,2017,MALUKU,AMBON
28,2101029,SMA SWASTA 45 AMBON,60102003,S,7,50.29,71.14,58.21,0.0,63.33,62.5,0.0,21,1,29,2017,MALUKU,AMBON
29,2101030,SMA NEGERI SIWALIMA AMBON,60103098,N,67,75.31,69.31,57.28,53.5,61.0,63.24,0.0,21,1,30,2017,MALUKU,AMBON
30,2101031,SMA KRISTEN KALAM KUDUS,60102962,S,11,64.91,60.55,31.14,44.17,0.0,36.25,0.0,21,1,31,2017,MALUKU,AMBON
31,2101032,SMA NEGERI 14 AMBON,60103406,N,49,53.35,46.41,21.79,31.67,37.92,34.66,0.0,21,1,32,2017,MALUKU,AMBON
32,2101034,SMA ALHILAAL AMBON,60103930,S,16,44.63,49.88,47.5,0.0,68.75,40.71,0.0,21,1,34,2017,MALUKU,AMBON
33,2101101,MAN AMBON,60105600,N,100,63.64,71.52,73.93,65.83,76.29,72.7,0.0,21,1,101,2017,MALUKU,AMBON
34,2101102,MA AL-FATAH AMBON,60105601,S,19,56.0,69.16,75.53,42.5,0.0,70.0,0.0,21,1,102,2017,MALUKU,AMBON
35,2101103,MA NURUL IKHLAS,60105602,S,7,69.71,60.0,56.43,85.0,42.5,50.83,0.0,21,1,103,2017,MALUKU,AMBON
36,2101104,MA ITTAQOLLAH,60105603,S,8,66.75,39.5,54.06,50.0,0.0,36.25,0.0,21,1,104,2017,MALUKU,AMBON
37,2101105,MA  AL MABRUR AMBON,60105604,S,14,49.14,58.86,42.86,0.0,0.0,41.61,0.0,21,1,105,2017,MALUKU,AMBON
38,2102001,SMA  NEGERI 1 TUAL,60100819,N,169,61.69,39.53,29.19,36.03,39.17,36.49,0.0,21,2,1,2017,MALUKU,TUAL
39,2102002,SMA  NEGERI KUR,60102292,N,25,46.48,44.72,39.8,31.25,39.69,56.0,0.0,21,2,2,2017,MALUKU,TUAL
40,2102003,SMA  KRISTEN TUAL,60100795,S,53,49.25,28.79,20.71,23.57,33.13,25.46,0.0,21,2,3,2017,MALUKU,TUAL
41,2102004,SMA  RONEVAN TUAL,60100815,S,16,44.5,26.88,20.31,26.25,20.0,26.5,0.0,21,2,4,2017,MALUKU,TUAL
42,2102005,SMA  TERPADU AL-IKHLAS TUAL,60100807,S,22,54.64,33.09,19.55,16.25,40.0,30.66,0.0,21,2,5,2017,MALUKU,TUAL
43,2102006,SMA  MUHAMMADYAH  TUAL,60105446,S,21,40.67,26.29,20.0,0.0,22.5,22.63,0.0,21,2,6,2017,MALUKU,TUAL
44,2102007,SMA NEGERI 2 TUAL,60103463,N,49,48.86,28.2,19.54,25.42,22.5,26.13,0.0,21,2,7,2017,MALUKU,TUAL
45,2102008,SMA  NEGERI TAYANDO TAM,60103318,N,24,62.33,56.42,36.15,0.0,45.0,68.1,0.0,21,2,8,2017,MALUKU,TUAL
46,2102009,SMA NEGERI 3 TUAL,69761907,N,37,40.97,30.54,18.11,28.75,25.94,26.39,0.0,21,2,9,2017,MALUKU,TUAL
47,2102010,SMA NEGERI 4 TUAL,69849368,N,17,49.76,38.59,46.32,0.0,0.0,37.35,0.0,21,2,10,2017,MALUKU,TUAL
48,2102011,SMA NEGERI 5 TUAL,69849369,N,17,50.82,40.35,26.32,23.13,49.17,35.0,0.0,21,2,11,2017,MALUKU,TUAL
49,2103001,SMA NEGERI 1 MASOHI,60100161,N,139,68.88,48.42,40.77,43.18,66.0,51.52,0.0,21,3,1,2017,MALUKU,MALUKU TENGAH
50,2103002,SMA NEGERI 2 MASOHI,60100325,N,162,62.06,77.78,77.08,70.51,78.21,72.21,0.0,21,3,2,2017,MALUKU,MALUKU TENGAH
51,2103003,SMA NEGERI 1 AMAHAI,60103505,N,21,56.1,36.57,25.0,40.83,38.33,29.83,0.0,21,3,3,2017,MALUKU,MALUKU TENGAH
52,2103004,SMA NEGERI 2 AMAHAI,60100157,N,41,58.34,41.22,38.96,0.0,52.08,41.55,0.0,21,3,4,2017,MALUKU,MALUKU TENGAH
53,2103005,SMA NEGERI 1 SALAHUTU,60100164,N,93,47.76,53.46,79.52,55.42,78.33,67.7,0.0,21,3,5,2017,MALUKU,MALUKU TENGAH
54,2103006,SMA NEGERI 2 SALAHUTU,60100159,N,24,53.25,71.17,54.48,0.0,0.0,67.6,0.0,21,3,6,2017,MALUKU,MALUKU TENGAH
55,2103007,SMA NEGERI 3 SALAHUTU,60102249,N,83,69.78,57.35,64.16,0.0,0.0,52.2,0.0,21,3,7,2017,MALUKU,MALUKU TENGAH
56,2103008,SMA NEGERI 1 LEIHITU,60103512,N,58,65.66,71.0,49.91,48.75,70.0,54.8,0.0,21,3,8,2017,MALUKU,MALUKU TENGAH
57,2103009,SMA NEGERI 2 LEIHITU,60100319,N,31,47.68,63.55,62.58,57.5,72.81,70.8,0.0,21,3,9,2017,MALUKU,MALUKU TENGAH
58,2103010,SMA NEGERI 1 LEIHITU BARAT,60100324,N,56,45.46,48.71,50.18,34.81,60.83,63.78,0.0,21,3,10,2017,MALUKU,MALUKU TENGAH
59,2103011,SMA NEGERI 3 LEIHITU,69822771,N,20,67.6,64.3,52.75,62.5,52.5,66.83,0.0,21,3,11,2017,MALUKU,MALUKU TENGAH
60,2103012,SMA NEGERI 2 LEIHITU BARAT,60103514,N,24,60.17,60.33,68.96,0.0,0.0,63.13,0.0,21,3,12,2017,MALUKU,MALUKU TENGAH
61,2103013,SMA NEGERI 4 LEIHITU,60103513,N,52,60.15,65.15,50.67,39.5,42.68,52.95,0.0,21,3,13,2017,MALUKU,MALUKU TENGAH
62,2103014,SMA NEGERI 1 SAPARUA,60100315,N,75,66.93,61.87,70.63,75.83,88.89,73.97,0.0,21,3,14,2017,MALUKU,MALUKU TENGAH
63,2103015,SMA NEGERI 2 SAPARUA,60100321,N,41,70.73,74.63,74.27,0.0,0.0,68.96,0.0,21,3,15,2017,MALUKU,MALUKU TENGAH
64,2103016,SMA NEGERI 1  PULAU HARUKU,60100326,N,59,48.0,53.25,44.45,63.39,47.5,59.38,0.0,21,3,16,2017,MALUKU,MALUKU TENGAH
65,2103017,SMA NEGERI 2  PULAU HARUKU,60100320,N,37,56.7,57.14,33.99,63.93,60.0,64.22,0.0,21,3,17,2017,MALUKU,MALUKU TENGAH
66,2103018,SMA NEGERI 1 TNS,60100327,N,83,59.45,36.51,31.99,44.82,58.0,35.94,0.0,21,3,18,2017,MALUKU,MALUKU TENGAH
67,2103019,SMA NEGERI 1 BANDA,60100153,N,88,57.59,46.64,31.11,38.25,50.83,51.11,0.0,21,3,19,2017,MALUKU,MALUKU TENGAH
68,2103020,SMA NEGERI 1 SERAM UTARA,60100316,N,45,48.44,70.13,75.17,58.93,61.7,59.75,0.0,21,3,20,2017,MALUKU,MALUKU TENGAH
69,2103021,SMA NEGERI 1 SERAM UTARA TIMUR SETI,60100322,N,56,65.14,71.11,68.88,67.14,47.95,56.51,0.0,21,3,21,2017,MALUKU,MALUKU TENGAH
70,2103022,SMA NEGERI 1 SERAM UTARA BARAT,60102244,N,17,69.41,46.47,65.59,40.36,55.0,46.67,0.0,21,3,22,2017,MALUKU,MALUKU TENGAH
71,2103023,SMA NEGERI 2 SERAM UTARA,69770333,N,30,47.07,37.13,19.08,0.0,43.75,36.35,0.0,21,3,23,2017,MALUKU,MALUKU TENGAH
72,2103024,SMA NEGERI 1 TEHORU,60100317,N,34,48.12,42.06,45.37,56.14,58.75,58.38,0.0,21,3,24,2017,MALUKU,MALUKU TENGAH
73,2103025,SMA NEGERI 2 TEHORU,60103509,N,33,43.09,38.55,25.23,22.08,29.0,24.32,0.0,21,3,25,2017,MALUKU,MALUKU TENGAH
74,2103026,SMA NEGERI 1 TELUTIH,60103517,N,60,51.13,64.6,55.88,43.75,34.38,46.67,0.0,21,3,26,2017,MALUKU,MALUKU TENGAH
75,2103027,SMA NEGERI 3 AMAHAI,60103506,N,23,43.83,57.04,17.72,0.0,62.5,58.95,0.0,21,3,27,2017,MALUKU,MALUKU TENGAH
76,2103028,SMA YOS SOEDARSO MASOHI,60100314,S,13,54.46,29.69,21.73,25.83,0.0,34.0,0.0,21,3,28,2017,MALUKU,MALUKU TENGAH
77,2103029,SMA NEGERI 7 LEIHITU,60100346,N,16,46.63,69.0,48.75,0.0,0.0,46.88,0.0,21,3,29,2017,MALUKU,MALUKU TENGAH
78,2103030,SMA NEGERI 4 SALAHUTU,69822773,N,43,53.67,55.72,79.88,50.0,55.0,47.25,0.0,21,3,30,2017,MALUKU,MALUKU TENGAH
79,2103031,SMA NEGERI TELUK ELPAPUTIH,69832004,N,41,70.83,70.98,59.27,0.0,0.0,67.07,0.0,21,3,31,2017,MALUKU,MALUKU TENGAH
80,2103032,SMA NEGERI 2 BANDA,60103518,N,51,68.75,61.92,49.71,25.83,41.0,60.81,0.0,21,3,32,2017,MALUKU,MALUKU TENGAH
