No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,20010001,SMA NEGERI 1 KENDARI,40402619,N,262,74.27,61.35,52.83,68.97,60.47,55.17,62.19,20,1,0,2019,SULAWESI TENGGARA,KOTA KENDARI
2,20010002,SMA  NEGERI  9  KENDARI,40403136,N,149,71.36,47.49,35.17,38.41,46.58,49.26,50.49,20,1,0,2019,SULAWESI TENGGARA,KOTA KENDARI
3,20010003,SMA PGRI KENDARI,40402621,S,4,61.0,38.0,26.88,0.0,39.17,42.5,41.47,20,1,0,2019,SULAWESI TENGGARA,KOTA KENDARI
4,20010004,SMA SEJAHTERA KENDARI,40402620,S,2,63.0,37.0,36.25,0.0,0.0,41.25,44.38,20,1,0,2019,SULAWESI TENGGARA,KOTA KENDARI
5,20010005,SMA  NEGERI  3  KENDARI,40402617,N,115,63.15,39.55,32.76,36.33,50.71,44.29,44.52,20,1,0,2019,SULAWESI TENGGARA,KOTA KENDARI
6,20010006,SMA SWASTA DDI KENDARI,40402558,S,27,55.56,39.26,31.39,32.5,36.67,43.29,41.69,20,1,0,2019,SULAWESI TENGGARA,KOTA KENDARI
7,20010007,SMA SWASTA MUHAMMADIYAH KENDARI,40402635,S,13,65.54,43.85,26.54,45.0,0.0,47.71,45.86,20,1,0,2019,SULAWESI TENGGARA,KOTA KENDARI
8,20010008,SMA  NEGERI  4  KENDARI,40402616,N,511,74.54,60.8,40.58,48.2,50.36,55.38,57.38,20,1,0,2019,SULAWESI TENGGARA,KOTA KENDARI
9,20010009,SMA OIKUMENE KENDARI,40402622,S,18,53.67,39.33,29.86,30.63,0.0,44.82,41.13,20,1,0,2019,SULAWESI TENGGARA,KOTA KENDARI
10,20010011,SMA NEGERI 5 KENDARI,40402615,N,204,69.47,51.59,35.0,40.48,43.71,50.99,50.88,20,1,1,2019,SULAWESI TENGGARA,KOTA KENDARI
11,20010012,SMA NEGERI 11 KENDARI,40402556,N,23,60.61,40.78,30.0,37.5,34.38,52.5,43.42,20,1,1,2019,SULAWESI TENGGARA,KOTA KENDARI
12,20010014,SMA ILMIAH KENDARI,40402554,S,46,50.61,37.48,30.33,0.0,52.5,40.06,39.76,20,1,1,2019,SULAWESI TENGGARA,KOTA KENDARI
13,20010015,SMA NEGERI 7 KENDARI,40402623,N,84,63.31,40.62,31.04,42.5,38.21,44.73,44.77,20,1,1,2019,SULAWESI TENGGARA,KOTA KENDARI
14,20010016,SMA NEGERI 6 KENDARI,40402614,N,170,69.51,45.71,32.43,36.14,39.8,43.71,47.31,20,1,1,2019,SULAWESI TENGGARA,KOTA KENDARI
15,20010017,SMA ALJABAR KENDARI,69822768,S,7,40.0,30.0,27.5,0.0,37.5,37.08,33.66,20,1,1,2019,SULAWESI TENGGARA,KOTA KENDARI
16,20010018,SMA NEGERI 2 KENDARI,40402618,N,249,73.52,50.96,36.81,43.03,42.89,51.86,52.61,20,1,1,2019,SULAWESI TENGGARA,KOTA KENDARI
17,20010019,SMA NEGERI 8 KENDARI,40402624,N,107,54.24,39.42,29.88,33.21,52.5,39.97,40.8,20,1,1,2019,SULAWESI TENGGARA,KOTA KENDARI
18,20010021,SMA  KARTIKA XX-2 KENDARI,40402589,S,85,67.04,47.29,32.94,37.0,38.97,42.92,46.86,20,1,2,2019,SULAWESI TENGGARA,KOTA KENDARI
19,20010022,SMA SATRIA KENDARI,40403135,S,15,54.4,37.87,25.33,0.0,0.0,43.0,40.15,20,1,2,2019,SULAWESI TENGGARA,KOTA KENDARI
20,20010023,SMA HASRATI KENDARI,40402557,S,7,50.86,37.71,25.71,0.0,0.0,38.21,38.13,20,1,2,2019,SULAWESI TENGGARA,KOTA KENDARI
21,20010024,MAN 1 KENDARI,40405909,N,127,70.13,49.98,33.6,38.53,37.5,53.42,49.72,20,1,2,2019,SULAWESI TENGGARA,KOTA KENDARI
22,20010025,MA PESRI KENDARI,60730007,S,37,69.03,43.14,30.81,32.92,43.75,46.96,46.74,20,1,2,2019,SULAWESI TENGGARA,KOTA KENDARI
23,20010026,MA  DDI LABIBIA,60730008,S,14,53.57,37.57,30.0,33.21,0.0,0.0,38.59,20,1,2,2019,SULAWESI TENGGARA,KOTA KENDARI
24,20010028,MA DARUL MUKHLISIN,60730010,S,28,58.5,37.5,30.71,36.25,38.33,40.22,41.61,20,1,2,2019,SULAWESI TENGGARA,KOTA KENDARI
25,20010031,MA ASY-SYAFIIYAH KENDARI,60730011,S,7,64.29,36.0,28.57,0.0,0.0,44.64,43.38,20,1,3,2019,SULAWESI TENGGARA,KOTA KENDARI
26,20010032,MA AL-FATH,69788228,S,7,67.43,57.43,30.0,0.0,0.0,48.21,50.77,20,1,3,2019,SULAWESI TENGGARA,KOTA KENDARI
27,20010033,SMA NEGERI 10 KENDARI,69762786,N,67,63.43,40.03,31.79,37.5,37.5,45.65,44.95,20,1,3,2019,SULAWESI TENGGARA,KOTA KENDARI
28,20010034,SMA AL QURAN WAHDAH ISLAMIYAH,69953890,S,19,68.42,41.68,31.32,44.17,40.0,41.67,45.78,20,1,3,2019,SULAWESI TENGGARA,KOTA KENDARI
29,20010035,SMA TAHFIDZUL QUR`AN MU`ADZ BIN JABAL KENDARI,69969643,S,37,75.51,53.14,35.74,42.32,50.63,59.08,54.06,20,1,3,2019,SULAWESI TENGGARA,KOTA KENDARI
30,20010036,MAN INSAN CENDEKIA KOTA KENDARI,69975824,N,43,84.23,63.63,51.74,62.86,69.09,68.61,66.62,20,1,3,2019,SULAWESI TENGGARA,KOTA KENDARI
31,20020001,SMA NEGERI 1 BAUBAU,40402755,N,360,73.26,53.74,43.41,51.4,52.5,53.52,55.86,20,2,0,2019,SULAWESI TENGGARA,KOTA BAUBAU
32,20020002,SMA NEGERI 5 BAUBAU,40402977,N,104,61.67,40.5,31.83,37.5,41.25,43.42,44.21,20,2,0,2019,SULAWESI TENGGARA,KOTA BAUBAU
33,20020003,SMA NEGERI 6 BAUBAU,40402978,N,83,67.16,43.54,30.45,47.08,57.92,49.08,47.68,20,2,0,2019,SULAWESI TENGGARA,KOTA BAUBAU
34,20020004,SMA SWASTA 1 MUHAMMADIYAH BAUBAU,40402980,S,43,40.51,34.05,30.35,20.0,0.0,34.52,34.78,20,2,0,2019,SULAWESI TENGGARA,KOTA BAUBAU
35,20020006,SMA SWASTA DARUSSALAM,40404151,S,50,59.2,39.48,28.15,33.33,35.0,39.53,41.41,20,2,0,2019,SULAWESI TENGGARA,KOTA BAUBAU
36,20020007,SMA NEGERI 2 BAUBAU,40402768,N,385,74.5,56.06,46.55,47.73,67.5,59.77,58.28,20,2,0,2019,SULAWESI TENGGARA,KOTA BAUBAU
37,20020008,SMA NEGERI 3 BAUBAU,40402769,N,116,62.17,40.34,31.98,0.0,43.33,44.44,44.69,20,2,0,2019,SULAWESI TENGGARA,KOTA BAUBAU
38,20020009,SMA NEGERI 4 BAUBAU,40402770,N,129,65.57,40.42,33.22,38.18,33.5,47.06,46.06,20,2,0,2019,SULAWESI TENGGARA,KOTA BAUBAU
39,20020010,SMA SWASTA BATARAGURU BAUBAU,40402771,S,74,44.57,36.71,30.27,0.0,33.75,36.68,36.79,20,2,1,2019,SULAWESI TENGGARA,KOTA BAUBAU
40,20020011,SMA SWASTA MUTIARA BAUBAU,40402981,S,27,43.41,36.89,32.87,0.0,0.0,32.78,36.49,20,2,1,2019,SULAWESI TENGGARA,KOTA BAUBAU
41,20020013,MAN 1 BAUBAU,40405907,N,123,62.57,44.83,40.75,39.46,45.21,45.48,48.12,20,2,1,2019,SULAWESI TENGGARA,KOTA BAUBAU
42,20020014,MA AL-SYAIKH ABDUL WAHID,69725521,S,46,59.17,39.48,29.78,0.0,0.0,38.15,41.65,20,2,1,2019,SULAWESI TENGGARA,KOTA BAUBAU
43,20020015,MA AL-AMANAH BAUBAU,40405905,S,47,58.51,41.96,28.09,0.0,35.42,39.21,41.82,20,2,1,2019,SULAWESI TENGGARA,KOTA BAUBAU
44,20030001,SMA NEGERI 1 UNAAHA,40400242,N,165,65.89,46.81,32.44,42.5,36.06,47.68,47.73,20,3,0,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
45,20030002,SMA NEGERI 2 UNAAHA,40400232,N,66,54.36,38.27,29.09,34.25,35.0,41.01,39.97,20,3,0,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
46,20030003,SMA NEGERI 1 ANGGABERI,40403658,N,43,59.49,39.02,29.19,36.67,37.95,40.87,41.81,20,3,0,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
47,20030004,SMA NEGERI 1 ABUKI,40402857,N,44,59.59,39.45,26.93,0.0,0.0,41.42,41.85,20,3,0,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
48,20030005,SMA NEGERI 1 LAMBUYA,40400238,N,55,57.78,40.0,30.82,35.0,32.5,41.15,42.19,20,3,0,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
49,20030007,SMA NEGERI 1 UEPAI,40403663,N,49,60.37,37.63,31.17,35.47,37.34,43.09,41.98,20,3,0,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
50,20030008,SMA NEGERI 1 PURIALA,40404028,N,42,60.81,41.29,31.07,35.0,0.0,45.88,44.63,20,3,0,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
51,20030009,SMA NEGERI 1 WAWOTOBI,40400244,N,163,63.99,42.01,38.44,48.47,43.08,48.14,47.85,20,3,0,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
52,20030011,SMA CENDEKIA TUDAONE,40402864,S,6,0.0,32.0,25.83,0.0,0.0,41.67,24.88,20,3,1,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
53,20030012,SMA NEGERI 2 WAWOTOBI,40403355,N,21,51.71,38.76,37.14,45.0,42.5,39.56,42.03,20,3,1,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
54,20030014,SMA NEGERI 1 KONAWE,40403668,N,35,50.29,35.94,29.36,0.0,32.95,45.31,39.26,20,3,1,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
55,20030015,SMA NEGERI 1 WONGGEDUKU,40403665,N,56,54.86,35.64,30.8,0.0,28.33,40.19,40.22,20,3,1,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
56,20030016,SMA SWASTA NASIONAL WAWOTOBI,40402868,S,18,54.0,43.78,32.92,0.0,0.0,45.83,44.13,20,3,1,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
57,20030017,SMA NEGERI 1 PONDIDAHA,40400240,N,74,69.73,42.0,39.39,38.75,42.5,46.21,49.24,20,3,1,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
58,20030018,SMA NEGERI 1 AMONGGEDO,40404643,N,57,58.77,47.89,31.32,35.0,93.75,44.91,46.11,20,3,1,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
59,20030021,SMA NEGERI 1 SAMPARA,40400241,N,66,63.12,39.97,30.08,35.77,35.92,39.05,42.51,20,3,2,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
60,20030022,SMA NEGERI 1 BONDOALA,40403660,N,27,55.85,31.11,30.74,37.5,31.36,33.33,37.6,20,3,2,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
61,20030023,SMA NEGERI 1 BESULUTU,40402858,N,38,61.79,37.26,28.09,0.0,38.21,41.45,42.0,20,3,2,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
62,20030024,SMA NEGERI 1 SOROPIA,40402860,N,22,67.64,39.27,40.11,0.0,74.17,54.34,51.02,20,3,2,2019,SULAWESI TENGGARA,KABUPATEN KONAWE
