No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,301001,SMA NEGERI 1 SEMARANG,20328867,N,397,75.3,69.7,68.12,66.08,63.01,72.88,0.0,3,1,1,2016,JAWA TENGAH,KOTA SEMARANG
2,301002,SMA NEGERI 2 SEMARANG,20328896,N,387,77.44,63.27,64.93,60.9,66.67,65.29,0.0,3,1,2,2016,JAWA TENGAH,KOTA SEMARANG
3,301003,SMA NEGERI 3 SEMARANG,20328895,N,400,78.38,73.92,78.09,76.28,74.18,79.07,0.0,3,1,3,2016,JAWA TENGAH,KOTA SEMARANG
4,301004,SMA NEGERI 4 SEMARANG,20328894,N,289,77.24,67.18,68.42,62.77,63.88,67.06,0.0,3,1,4,2016,JAWA TENGAH,KOTA SEMARANG
5,301005,SMA NEGERI 5 SEMARANG,20328893,N,339,76.3,67.81,66.84,65.6,59.09,71.58,0.0,3,1,5,2016,JAWA TENGAH,KOTA SEMARANG
6,301006,SMA NEGERI 6 SEMARANG,20328892,N,336,73.86,59.09,55.23,51.61,55.31,62.29,0.0,3,1,6,2016,JAWA TENGAH,KOTA SEMARANG
7,301007,SMA NEGERI 7 SEMARANG,20328891,N,200,71.59,58.2,54.69,51.0,52.29,58.59,0.0,3,1,7,2016,JAWA TENGAH,KOTA SEMARANG
8,301008,SMA NEGERI 8 SEMARANG,20328866,N,178,68.85,51.35,46.59,44.66,50.37,60.69,0.0,3,1,8,2016,JAWA TENGAH,KOTA SEMARANG
9,301009,SMA NEGERI 9 SEMARANG,20328939,N,251,72.93,66.45,64.21,61.4,57.52,67.72,0.0,3,1,9,2016,JAWA TENGAH,KOTA SEMARANG
10,301010,SMA NEGERI 10 SEMARANG,20328878,N,148,71.76,59.47,56.32,52.21,56.3,62.67,0.0,3,1,10,2016,JAWA TENGAH,KOTA SEMARANG
11,301011,SMA NEGERI 11 SEMARANG,20328879,N,260,74.41,62.41,59.42,58.9,57.28,64.88,0.0,3,1,11,2016,JAWA TENGAH,KOTA SEMARANG
12,301012,SMA NEGERI 12 SEMARANG,20328911,N,173,72.27,57.79,58.22,56.42,55.09,65.2,0.0,3,1,12,2016,JAWA TENGAH,KOTA SEMARANG
13,301013,SMA NEGERI 13 SEMARANG,20328910,N,127,69.26,54.9,54.59,55.94,52.32,63.7,0.0,3,1,13,2016,JAWA TENGAH,KOTA SEMARANG
14,301014,SMA NEGERI 14 SEMARANG,20328899,N,179,68.86,55.05,54.66,50.34,51.05,54.65,0.0,3,1,14,2016,JAWA TENGAH,KOTA SEMARANG
15,301015,SMA NEGERI 15 SEMARANG,20328898,N,212,72.25,62.02,61.37,59.03,59.28,62.43,0.0,3,1,15,2016,JAWA TENGAH,KOTA SEMARANG
16,301016,SMA NEGERI 16 SEMARANG,20328897,N,102,65.14,59.63,59.8,55.39,45.66,62.77,0.0,3,1,16,2016,JAWA TENGAH,KOTA SEMARANG
17,301201,SMA ADVENT,20328938,S,5,65.2,40.4,43.0,30.5,43.0,46.0,0.0,3,1,201,2016,JAWA TENGAH,KOTA SEMARANG
18,301202,SMA AL FATTAH TERBOYO,20331894,S,15,54.93,24.93,19.67,18.67,28.0,28.83,0.0,3,1,202,2016,JAWA TENGAH,KOTA SEMARANG
19,301206,SMA CITISCHOOL,20331897,S,3,67.33,35.33,39.17,35.83,22.5,40.83,0.0,3,1,206,2016,JAWA TENGAH,KOTA SEMARANG
20,301209,SMA DON BOSKO,20331899,S,75,75.57,62.85,52.6,50.2,51.4,62.77,0.0,3,1,209,2016,JAWA TENGAH,KOTA SEMARANG
21,301210,SMA GITA BAHARI,20328922,S,47,63.96,59.06,62.5,60.74,50.85,69.79,0.0,3,1,210,2016,JAWA TENGAH,KOTA SEMARANG
22,301213,SMA INSTITUT INDONESIA SEMARANG,20331900,S,106,62.13,54.11,50.38,49.6,46.49,56.44,0.0,3,1,213,2016,JAWA TENGAH,KOTA SEMARANG
23,301214,SMA ISLAM HIDAYATULLAH,20328920,S,43,77.21,58.7,50.06,48.08,54.3,59.13,0.0,3,1,214,2016,JAWA TENGAH,KOTA SEMARANG
24,301216,SMA ISLAM SULTAN AGUNG 1,20328918,S,137,66.51,61.58,59.25,53.65,49.51,61.13,0.0,3,1,216,2016,JAWA TENGAH,KOTA SEMARANG
25,301217,SMA ISLAM SULTAN AGUNG 3,20328917,S,29,70.83,58.14,63.19,57.5,50.0,67.76,0.0,3,1,217,2016,JAWA TENGAH,KOTA SEMARANG
26,301218,SMA KARANGTURI,20328916,S,123,77.09,74.16,76.5,77.74,77.34,75.28,0.0,3,1,218,2016,JAWA TENGAH,KOTA SEMARANG
27,301219,SMA KEBON DALEM,20331902,S,22,76.91,60.91,57.39,53.3,60.45,59.77,0.0,3,1,219,2016,JAWA TENGAH,KOTA SEMARANG
28,301220,SMA KESATRIAN 1,20331903,S,136,63.38,54.81,48.79,49.39,47.02,51.23,0.0,3,1,220,2016,JAWA TENGAH,KOTA SEMARANG
29,301221,SMA KESATRIAN 2,20331904,S,143,66.8,58.08,48.34,48.11,48.39,58.76,0.0,3,1,221,2016,JAWA TENGAH,KOTA SEMARANG
30,301222,SMA KOLESE LOYOLA,20328915,S,197,79.64,71.73,71.57,73.32,82.51,70.84,0.0,3,1,222,2016,JAWA TENGAH,KOTA SEMARANG
31,301223,SMA KRISTA MITRA SEMARANG,20328914,S,53,77.77,63.92,56.65,56.46,62.55,59.01,0.0,3,1,223,2016,JAWA TENGAH,KOTA SEMARANG
32,301224,SMA KRISTEN YSKI,20328925,S,75,76.19,63.89,55.9,57.43,64.1,56.83,0.0,3,1,224,2016,JAWA TENGAH,KOTA SEMARANG
33,301227,SMA MARDISISWA,20328926,S,26,69.38,60.62,60.67,55.19,54.52,64.71,0.0,3,1,227,2016,JAWA TENGAH,KOTA SEMARANG
34,301228,SMA MASEHI 1 PSAK SEMARANG,20328937,S,35,64.69,57.03,57.0,49.64,50.29,61.36,0.0,3,1,228,2016,JAWA TENGAH,KOTA SEMARANG
35,301229,SMA MASEHI 2 PSAK SEMARANG,20331907,S,22,70.55,50.55,47.05,46.82,43.3,54.09,0.0,3,1,229,2016,JAWA TENGAH,KOTA SEMARANG
36,301232,SMA MUHAMMADIYAH 1 SEMARANG,20328935,S,20,64.7,42.6,29.13,51.38,34.38,57.0,0.0,3,1,232,2016,JAWA TENGAH,KOTA SEMARANG
37,301235,SMA NUSA BHAKTI,20328934,S,19,61.16,65.16,70.66,63.68,57.37,71.18,0.0,3,1,235,2016,JAWA TENGAH,KOTA SEMARANG
38,301236,SMA NUSAPUTERA,20328933,S,20,72.9,60.4,44.63,43.88,44.13,49.25,0.0,3,1,236,2016,JAWA TENGAH,KOTA SEMARANG
39,301237,SMA PGRI 1 SEMARANG,20328929,S,7,62.0,63.71,30.71,60.71,55.36,40.0,0.0,3,1,237,2016,JAWA TENGAH,KOTA SEMARANG
40,301242,SMA SANTO MICHAEL,20331911,S,12,54.33,31.5,25.83,28.96,27.92,35.83,0.0,3,1,242,2016,JAWA TENGAH,KOTA SEMARANG
41,301243,SMA SEDES SAPIENTIAE SEMARANG,20328913,S,146,76.96,63.56,63.25,57.98,65.74,62.29,0.0,3,1,243,2016,JAWA TENGAH,KOTA SEMARANG
42,301244,SMA SEMESTA,20328912,S,132,73.58,70.3,62.08,59.79,60.55,72.5,0.0,3,1,244,2016,JAWA TENGAH,KOTA SEMARANG
43,301246,SMA SETIABUDHI,20328877,S,24,57.67,44.08,27.6,50.1,36.98,53.33,0.0,3,1,246,2016,JAWA TENGAH,KOTA SEMARANG
44,301247,SMA SINT LOUIS,20328876,S,62,69.97,46.58,44.84,40.04,46.01,52.14,0.0,3,1,247,2016,JAWA TENGAH,KOTA SEMARANG
45,301250,SMA BINA NUSANTARA,20328874,S,19,58.0,60.42,26.84,40.79,31.58,57.11,0.0,3,1,250,2016,JAWA TENGAH,KOTA SEMARANG
46,301251,SMA TEUKU UMAR SEMARANG,20331914,S,22,66.36,46.0,37.27,47.27,41.25,50.8,0.0,3,1,251,2016,JAWA TENGAH,KOTA SEMARANG
