No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,1801001,SMA NEGERI  1 PALU,40203524,N,277,61.31,59.96,46.22,76.78,62.94,64.22,0.0,18,1,1,2016,SULAWESI TENGAH,KOTA PALU
2,1801003,SMA NEGERI 3 PALU,40203612,N,233,67.03,56.26,42.52,81.17,43.73,56.83,0.0,18,1,3,2016,SULAWESI TENGAH,KOTA PALU
3,1801004,SMA NEGERI 5 PALU,40203610,N,126,58.87,38.05,36.53,63.63,38.15,31.83,0.0,18,1,4,2016,SULAWESI TENGAH,KOTA PALU
4,1801005,SMA KARYA BHAKTI MAMBORO,40203518,S,26,50.46,30.46,34.42,43.27,37.5,48.75,0.0,18,1,5,2016,SULAWESI TENGAH,KOTA PALU
5,1801006,SMA NEGERI 7 PALU,40203608,N,92,62.96,45.74,49.24,66.22,67.31,58.67,0.0,18,1,6,2016,SULAWESI TENGAH,KOTA PALU
6,1801007,SMA NEGERI 9 PALU,40203875,N,62,58.81,51.35,45.44,65.0,59.52,52.62,0.0,18,1,7,2016,SULAWESI TENGAH,KOTA PALU
7,1801008,SMA KRISTEN BALA KESELAMATAN PALU,40203515,S,79,60.23,52.23,42.03,78.16,55.25,40.89,0.0,18,1,8,2016,SULAWESI TENGAH,KOTA PALU
8,1801009,SMA GKST PALU,40203514,S,15,67.47,33.73,27.67,29.17,31.67,36.33,0.0,18,1,9,2016,SULAWESI TENGAH,KOTA PALU
9,1801010,SMA MUHAMMADIYAH I PALU,40203512,S,20,44.9,28.3,19.38,25.63,27.0,24.5,0.0,18,1,10,2016,SULAWESI TENGAH,KOTA PALU
10,1801011,SMA ADVENT PALU,40203522,S,9,53.11,41.11,21.67,53.06,26.67,32.5,0.0,18,1,11,2016,SULAWESI TENGAH,KOTA PALU
11,1801012,SMA NEGERI 2 PALU,40203631,N,237,62.39,50.5,37.09,74.41,41.38,35.96,0.0,18,1,12,2016,SULAWESI TENGAH,KOTA PALU
12,1801013,SMA NEGERI 4 PALU,40203611,N,219,57.15,40.7,34.41,64.25,39.37,34.67,0.0,18,1,13,2016,SULAWESI TENGAH,KOTA PALU
13,1801015,SMA PGRI 2 PALU,40203510,S,19,48.11,30.63,19.74,37.11,22.89,28.42,0.0,18,1,15,2016,SULAWESI TENGAH,KOTA PALU
14,1801016,SMA NEGERI 6 PALU,40203609,N,52,57.08,45.04,29.13,74.81,34.09,30.82,0.0,18,1,16,2016,SULAWESI TENGAH,KOTA PALU
15,1801017,SMA NEGERI 8 PALU,40203607,N,22,53.55,34.36,30.23,76.14,47.05,36.36,0.0,18,1,17,2016,SULAWESI TENGAH,KOTA PALU
16,1801018,SMA ALKHAIRAAT PALU,40203521,S,42,59.76,43.05,23.21,55.48,27.8,32.8,0.0,18,1,18,2016,SULAWESI TENGAH,KOTA PALU
17,1801019,SMA SWADAYA PALU,40203509,S,6,49.67,38.33,19.17,20.42,22.5,21.25,0.0,18,1,19,2016,SULAWESI TENGAH,KOTA PALU
18,1801020,SMA KARUNA DIPA PALU,40203519,S,29,70.62,69.45,56.47,69.48,59.57,67.76,0.0,18,1,20,2016,SULAWESI TENGAH,KOTA PALU
19,1801021,SMA KATOLIK SANTO ANDREAS PALU,40203516,S,52,68.65,57.62,34.09,72.74,46.68,60.05,0.0,18,1,21,2016,SULAWESI TENGAH,KOTA PALU
20,1801022,SMA GPID PALU,40203513,S,15,53.6,42.4,26.83,52.0,21.67,32.5,0.0,18,1,22,2016,SULAWESI TENGAH,KOTA PALU
21,1801023,SMA NEGERI MODEL TERPADU MADANI PALU,40203776,N,139,72.33,65.48,62.55,61.53,67.41,65.45,0.0,18,1,23,2016,SULAWESI TENGAH,KOTA PALU
22,1801024,MA NEGERI 2 MODEL PALU,40203685,N,89,62.74,47.46,28.31,34.44,41.26,46.15,0.0,18,1,24,2016,SULAWESI TENGAH,KOTA PALU
23,1801029,MA NEGERI 1 PALU,40209851,N,82,55.49,46.85,25.7,73.08,25.49,30.67,0.0,18,1,29,2016,SULAWESI TENGAH,KOTA PALU
24,1801032,MA ALKHAIRAAT PUSAT PALU,40209853,S,37,59.84,43.84,27.97,67.97,38.51,38.65,0.0,18,1,32,2016,SULAWESI TENGAH,KOTA PALU
25,1801035,SMA AL-AZHAR,69756117,S,98,77.65,72.2,76.02,66.35,79.26,82.76,0.0,18,1,35,2016,SULAWESI TENGAH,KOTA PALU
26,1801036,SMA LABSCHOOL UNTAD,69770323,S,62,65.42,59.58,47.14,71.25,36.49,49.19,0.0,18,1,36,2016,SULAWESI TENGAH,KOTA PALU
27,1801037,SMAN OLAHRAGA TADULAKO PALU,69878007,N,18,57.56,46.22,53.19,64.44,22.5,47.64,0.0,18,1,37,2016,SULAWESI TENGAH,KOTA PALU
28,1802001,SMA NEGERI 1 BANAWA,40200725,N,88,55.45,50.32,37.95,69.15,36.05,49.43,0.0,18,2,1,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
29,1802002,SMA NEGERI 1 BANAWA TENGAH,40200728,N,45,56.04,47.02,21.17,76.39,34.5,35.17,0.0,18,2,2,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
30,1802003,SMA NEGERI 1 RIO PAKAVA,40204387,N,45,61.96,57.96,32.67,39.72,36.28,43.33,0.0,18,2,3,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
31,1802004,SMA NEGERI 1 SINDUE,40200726,N,120,57.8,43.07,30.23,60.1,33.92,38.4,0.0,18,2,4,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
32,1802005,SMA NEGERI 1 SIRENJA,40200727,N,61,55.02,28.52,21.43,22.66,30.12,29.02,0.0,18,2,5,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
33,1802006,SMA NEGERI 1 BALAESANG,40200737,N,76,57.47,36.13,26.81,71.91,28.98,35.95,0.0,18,2,6,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
34,1802007,SMA NEGERI 2 BALAESANG,40204412,N,57,54.67,33.89,24.39,43.64,31.1,34.25,0.0,18,2,7,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
35,1802008,SMA NEGERI 1 DAMPELAS,40200723,N,61,63.84,34.92,27.38,64.06,32.5,40.41,0.0,18,2,8,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
36,1802009,SMA NEGERI 2 DAMPELAS,40200735,N,53,53.09,31.58,20.75,27.78,25.24,31.13,0.0,18,2,9,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
37,1802010,SMA NEGERI 1 SOJOL,40203841,N,73,54.79,27.62,21.44,21.54,24.66,27.23,0.0,18,2,10,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
38,1802013,MA ALKHAIRAAT  MALENI,40209840,S,35,49.14,30.06,26.21,22.36,27.43,27.79,0.0,18,2,13,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
39,1802014,MA SYEKH LOKIYA TOWALE,40209844,S,20,31.9,28.0,26.13,17.13,21.0,19.0,0.0,18,2,14,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
40,1802016,MA NURUL KHAIRAAT SURUMANA,40209842,S,30,44.53,38.33,27.58,20.92,32.75,35.83,0.0,18,2,16,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
41,1802019,MA NAHDLATUL KHAIRAAT,40209846,S,20,49.6,25.6,38.0,21.5,24.0,26.13,0.0,18,2,19,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
42,1802020,MA MUHAMMADIYAH TOAYA,40209848,S,14,44.0,31.57,26.61,20.36,26.25,27.32,0.0,18,2,20,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
43,1802023,MA AL KHAIRAAT KOLA-KOLA,40206527,S,14,38.71,25.71,18.57,20.71,21.25,23.04,0.0,18,2,23,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
44,1802024,SMA NEGERI 1 SINDUE TOMBUSABORA,40806618,N,36,49.44,35.33,22.08,21.74,24.72,41.25,0.0,18,2,24,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
45,1802030,MA AL KHAIRAAT KABONGA BESAR,69816364,S,21,41.62,22.57,19.17,18.33,23.57,23.33,0.0,18,2,30,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
46,1802032,MA NAHDLATUL MAARIF SALUSUMPU,69816362,S,4,48.5,52.0,29.38,19.38,38.13,34.38,0.0,18,2,32,2016,SULAWESI TENGAH,KABUPATEN DONGGALA
47,1803001,SMA NEGERI 1 POSO,40201359,N,122,63.07,48.75,32.93,53.2,40.51,39.57,0.0,18,3,1,2016,SULAWESI TENGAH,KABUPATEN POSO
48,1803002,SMA NEGERI 2 POSO,40201357,N,57,66.77,58.07,45.61,54.65,43.6,47.06,0.0,18,3,2,2016,SULAWESI TENGAH,KABUPATEN POSO
49,1803003,SMA NEGERI 3 POSO,40201356,N,157,69.12,48.04,33.42,35.38,48.26,55.14,0.0,18,3,3,2016,SULAWESI TENGAH,KABUPATEN POSO
50,1803004,SMA NEGERI 4 POSO,40201355,N,23,59.91,41.3,30.54,30.43,35.54,43.04,0.0,18,3,4,2016,SULAWESI TENGAH,KABUPATEN POSO
51,1803005,SMA NEGERI 1 POSO PESISIR UTARA,40201358,N,49,58.86,28.82,23.21,25.87,27.96,32.91,0.0,18,3,5,2016,SULAWESI TENGAH,KABUPATEN POSO
52,1803006,SMA NEGERI 1 LORE UTARA,40201327,N,76,62.76,41.18,59.18,64.08,69.51,56.32,0.0,18,3,6,2016,SULAWESI TENGAH,KABUPATEN POSO
53,1803008,SMA NEGERI 1 POSO PESISIR SELATAN,40204272,N,26,65.23,50.69,38.27,41.54,31.35,44.9,0.0,18,3,8,2016,SULAWESI TENGAH,KABUPATEN POSO
54,1803009,SMA NEGERI 1 LAGE,40204271,N,22,56.36,46.64,23.07,57.39,30.91,36.48,0.0,18,3,9,2016,SULAWESI TENGAH,KABUPATEN POSO
55,1803010,SMA NEGERI 1 PAMONA UTARA,40201343,N,45,64.98,43.6,32.83,31.44,30.72,39.39,0.0,18,3,10,2016,SULAWESI TENGAH,KABUPATEN POSO
56,1803011,SMA NEGERI 1 PAMONA SELATAN,40201326,N,29,59.38,28.69,20.43,33.88,29.14,28.97,0.0,18,3,11,2016,SULAWESI TENGAH,KABUPATEN POSO
57,1803012,SMA NEGERI 1 PAMONA TIMUR,40201342,N,17,66.0,43.18,32.21,27.5,38.38,44.56,0.0,18,3,12,2016,SULAWESI TENGAH,KABUPATEN POSO
58,1803013,SMA NEGERI 1 LORE SELATAN,40201328,N,34,67.82,51.29,56.1,62.57,64.04,54.63,0.0,18,3,13,2016,SULAWESI TENGAH,KABUPATEN POSO
59,1803014,SMA GKST 1 TENTENA,40201332,S,36,65.5,42.5,25.49,23.33,32.43,35.07,0.0,18,3,14,2016,SULAWESI TENGAH,KABUPATEN POSO
60,1803015,SMA GKST 2 TENTENA,40201331,S,40,65.05,50.8,28.69,35.44,36.0,40.0,0.0,18,3,15,2016,SULAWESI TENGAH,KABUPATEN POSO
