No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,12010001,SMAN 1 BANDAR LAMPUNG,10807020,N,196,75.35,65.7,45.42,58.93,46.88,60.04,61.41,12,1,0,2019,LAMPUNG,KOTA BANDAR LAMPUNG
2,12010002,SMA KRISTEN BPK PENABUR BANDAR LAMPUNG,10807019,S,20,79.4,81.9,51.0,56.39,63.33,64.0,68.17,12,1,0,2019,LAMPUNG,KOTA BANDAR LAMPUNG
3,12010003,SMA UTAMA 2 BANDAR LAMPUNG,10807013,S,20,65.7,46.9,31.38,0.0,0.0,50.0,48.5,12,1,0,2019,LAMPUNG,KOTA BANDAR LAMPUNG
4,12010004,SMA NUSANTARA BANDAR LAMPUNG,10807037,S,15,49.07,42.53,33.17,0.0,46.07,59.69,44.53,12,1,0,2019,LAMPUNG,KOTA BANDAR LAMPUNG
5,12010006,SMAN 10 BANDAR LAMPUNG,10807021,N,273,75.42,61.53,40.46,47.5,49.54,51.29,57.05,12,1,0,2019,LAMPUNG,KOTA BANDAR LAMPUNG
6,12010007,SMAN 6 BANDAR LAMPUNG,10807067,N,121,71.04,52.35,34.36,44.46,41.82,47.53,51.1,12,1,0,2019,LAMPUNG,KOTA BANDAR LAMPUNG
7,12010008,SMA XAVERIUS BANDAR LAMPUNG,10807016,S,105,84.02,84.21,65.5,66.25,70.4,72.28,75.96,12,1,0,2019,LAMPUNG,KOTA BANDAR LAMPUNG
8,12010010,SMA UTAMA 3 BANDAR LAMPUNG,10807014,S,18,54.67,38.89,31.39,0.0,0.0,39.31,41.07,12,1,1,2019,LAMPUNG,KOTA BANDAR LAMPUNG
9,12010012,SMAN 2 BANDAR LAMPUNG,10807063,N,442,81.52,77.52,55.0,70.23,67.83,66.57,70.24,12,1,1,2019,LAMPUNG,KOTA BANDAR LAMPUNG
10,12010013,SMA IMMANUEL BANDAR LAMPUNG,10807032,S,49,74.49,66.04,39.8,42.14,48.53,56.9,58.06,12,1,1,2019,LAMPUNG,KOTA BANDAR LAMPUNG
11,12010015,SMA SRIWIJAYA KEDATON,10807010,S,4,35.5,35.5,30.0,0.0,0.0,32.5,33.38,12,1,1,2019,LAMPUNG,KOTA BANDAR LAMPUNG
12,12010018,SMAN 3 BANDAR LAMPUNG,10807064,N,211,76.74,70.44,49.54,53.13,55.89,60.57,63.99,12,1,1,2019,LAMPUNG,KOTA BANDAR LAMPUNG
13,12010019,SMA YP UNILA TANJUNGKARANG,10807017,S,256,74.52,62.89,40.36,41.43,47.08,56.76,57.23,12,1,1,2019,LAMPUNG,KOTA BANDAR LAMPUNG
14,12010020,SMA PERINTIS 1 BANDAR LAMPUNG,10807023,S,54,69.44,49.48,39.63,0.0,49.38,52.55,52.72,12,1,2,2019,LAMPUNG,KOTA BANDAR LAMPUNG
15,12010021,SMA ADIGUNA BANDAR LAMPUNG,10807143,S,12,62.5,47.33,33.96,0.0,0.0,43.13,46.73,12,1,2,2019,LAMPUNG,KOTA BANDAR LAMPUNG
16,12010022,SMA PERSADA BANDAR LAMPUNG,10807022,S,21,64.0,50.57,32.74,38.33,0.0,43.61,47.54,12,1,2,2019,LAMPUNG,KOTA BANDAR LAMPUNG
17,12010023,SMAN 9 BANDAR LAMPUNG,10807070,N,284,79.3,71.79,55.38,59.09,66.13,65.37,67.87,12,1,2,2019,LAMPUNG,KOTA BANDAR LAMPUNG
18,12010024,SMAN 7 BANDAR LAMPUNG,10807068,N,216,75.48,64.76,44.71,51.15,61.94,59.82,60.96,12,1,2,2019,LAMPUNG,KOTA BANDAR LAMPUNG
19,12010025,SMA WIJAYA BANDAR LAMPUNG,10807015,S,15,57.2,41.33,31.33,0.0,0.0,40.5,42.59,12,1,2,2019,LAMPUNG,KOTA BANDAR LAMPUNG
20,12010027,SMA TUNAS HARAPAN BANDAR LAMPUNG,10807006,S,9,49.78,34.89,28.06,0.0,0.0,38.06,37.7,12,1,2,2019,LAMPUNG,KOTA BANDAR LAMPUNG
21,12010029,SMA MUHAMMADIYAH 2 BANDAR LAMPUNG,10807035,S,70,69.54,51.89,33.54,37.5,0.0,54.67,52.35,12,1,2,2019,LAMPUNG,KOTA BANDAR LAMPUNG
22,12010030,SMA BUDAYA BANDAR LAMPUNG,10807028,S,22,58.45,40.82,28.75,0.0,0.0,41.7,42.43,12,1,3,2019,LAMPUNG,KOTA BANDAR LAMPUNG
23,12010031,SMAN 4 BANDAR LAMPUNG,10807065,N,145,70.03,58.97,38.26,40.0,46.83,49.77,53.98,12,1,3,2019,LAMPUNG,KOTA BANDAR LAMPUNG
24,12010033,SMAN 8 BANDAR LAMPUNG,10807069,N,216,65.47,45.61,33.54,33.5,36.73,43.57,46.89,12,1,3,2019,LAMPUNG,KOTA BANDAR LAMPUNG
25,12010036,SMAN 11 BANDAR LAMPUNG,10807040,N,70,70.29,46.03,33.64,35.0,62.5,47.59,49.24,12,1,3,2019,LAMPUNG,KOTA BANDAR LAMPUNG
26,12010037,SMA TAMAN MADYA TELUKBETUNG,10807007,S,34,68.24,51.29,30.51,0.0,0.0,47.43,49.37,12,1,3,2019,LAMPUNG,KOTA BANDAR LAMPUNG
27,12010038,SMA Y P P L,10807018,S,26,52.0,42.08,28.56,0.0,0.0,39.71,40.59,12,1,3,2019,LAMPUNG,KOTA BANDAR LAMPUNG
28,12010040,SMAN 5 BANDAR LAMPUNG,10807066,N,178,73.69,56.96,42.05,44.09,56.81,51.79,56.26,12,1,4,2019,LAMPUNG,KOTA BANDAR LAMPUNG
29,12010041,SMA AL-AZHAR 3 BANDAR LAMPUNG,10807039,S,255,72.05,58.53,37.88,40.48,46.7,52.88,54.51,12,1,4,2019,LAMPUNG,KOTA BANDAR LAMPUNG
30,12010042,SMAN 12 BANDAR LAMPUNG,10807058,N,178,70.72,58.74,40.51,44.58,49.5,52.99,55.6,12,1,4,2019,LAMPUNG,KOTA BANDAR LAMPUNG
31,12010043,SMA GAJAH MADA BANDAR LAMPUNG,10807031,S,80,66.45,41.73,31.38,40.5,0.0,45.27,46.13,12,1,4,2019,LAMPUNG,KOTA BANDAR LAMPUNG
32,12010045,SMA SURYA DHARMA 2 KEDATON,10807008,S,23,48.09,32.43,27.83,0.0,0.0,34.35,35.68,12,1,4,2019,LAMPUNG,KOTA BANDAR LAMPUNG
33,12010046,SMA PANGUDI LUHUR BANDAR LAMPUNG,10807038,S,9,64.22,36.44,29.44,30.0,46.67,45.63,43.16,12,1,4,2019,LAMPUNG,KOTA BANDAR LAMPUNG
34,12010047,SMA AL-KAUTSAR BANDAR LAMPUNG,10807024,S,237,84.52,76.5,58.22,68.67,62.62,72.36,72.15,12,1,4,2019,LAMPUNG,KOTA BANDAR LAMPUNG
35,12010048,MAN 1 BANDAR LAMPUNG,10648360,N,167,76.38,63.89,43.88,50.12,58.1,56.94,60.1,12,1,4,2019,LAMPUNG,KOTA BANDAR LAMPUNG
36,12010049,MAS AL HIKMAH,10648356,S,23,68.35,45.13,32.39,0.0,0.0,48.15,48.51,12,1,4,2019,LAMPUNG,KOTA BANDAR LAMPUNG
37,12010064,MAN 2 BANDAR LAMPUNG,10648367,N,151,74.7,53.55,37.42,40.0,45.16,53.06,53.89,12,1,6,2019,LAMPUNG,KOTA BANDAR LAMPUNG
38,12010071,MA MASYARIQUL ANWAR,10648363,S,13,58.77,38.62,27.69,38.33,0.0,44.5,42.04,12,1,7,2019,LAMPUNG,KOTA BANDAR LAMPUNG
39,12010077,SMAN 13 BANDAR LAMPUNG,10807059,N,177,74.59,56.52,38.52,42.5,56.0,54.19,55.71,12,1,7,2019,LAMPUNG,KOTA BANDAR LAMPUNG
40,12010079,SMA FRANSISCUS BANDAR LAMPUNG,10807030,S,97,81.88,77.84,58.17,54.5,59.6,66.12,69.83,12,1,7,2019,LAMPUNG,KOTA BANDAR LAMPUNG
41,12010082,SMAN 14 BANDAR LAMPUNG,10807060,N,162,73.68,57.77,39.61,45.3,57.5,49.14,55.02,12,1,8,2019,LAMPUNG,KOTA BANDAR LAMPUNG
42,12010086,SMAN 16 BANDAR LAMPUNG,10807062,N,163,69.78,51.8,37.38,40.71,42.5,51.27,51.79,12,1,8,2019,LAMPUNG,KOTA BANDAR LAMPUNG
43,12010089,SMAN 15 BANDAR LAMPUNG,10807061,N,110,75.4,54.65,39.86,37.75,52.4,50.45,54.62,12,1,8,2019,LAMPUNG,KOTA BANDAR LAMPUNG
44,12010090,SMA PERINTIS 2 BANDAR LAMPUNG,10809592,S,148,68.84,49.74,34.27,36.79,40.0,47.74,49.72,12,1,9,2019,LAMPUNG,KOTA BANDAR LAMPUNG
45,12010091,SMAN 17 BANDAR LAMPUNG,10809706,N,45,59.82,39.78,29.56,0.0,0.0,41.61,42.69,12,1,9,2019,LAMPUNG,KOTA BANDAR LAMPUNG
46,12010092,SMA DARMA BANGSA,10809885,S,16,79.25,75.38,38.75,36.88,33.13,47.5,58.66,12,1,9,2019,LAMPUNG,KOTA BANDAR LAMPUNG
47,12010093,SMA AL-HUSNA BANDAR LAMPUNG,10815098,S,9,52.0,41.78,28.89,0.0,0.0,41.11,40.95,12,1,9,2019,LAMPUNG,KOTA BANDAR LAMPUNG
48,12010097,SMA PELITA BANGSA,10816145,S,8,82.5,82.75,54.69,0.0,70.83,67.0,72.1,12,1,9,2019,LAMPUNG,KOTA BANDAR LAMPUNG
49,12010098,SMA TUNAS MEKAR INDONESIA,10815065,S,10,80.2,83.6,47.75,56.25,47.5,60.83,67.2,12,1,9,2019,LAMPUNG,KOTA BANDAR LAMPUNG
50,12010101,SMA GLOBAL MADANI,69727447,S,59,72.61,58.2,38.64,40.94,53.61,52.56,55.15,12,1,10,2019,LAMPUNG,KOTA BANDAR LAMPUNG
