KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,KOMPETENSI,RERATA NILAI,Tahun,Status
1,DKI JAKARTA,2.3999999999999986,-10.46,-5.130000000000003,-7.159999999999997,-5.090000000000003,2015-2016,S
2,JAWA BARAT,3.979999999999997,-0.5300000000000011,-4.160000000000004,-2.089999999999989,-0.7000000000000028,2015-2016,S
3,JAWA TENGAH,-0.3400000000000034,-2.799999999999997,-11.309999999999995,-10.320000000000007,-6.20000000000001,2015-2016,S
4,DI YOGYAKARTA,-1.0100000000000051,0.9799999999999969,-5.739999999999995,-2.8200000000000074,-2.1499999999999986,2015-2016,S
5,JAWA TIMUR,0.1700000000000017,-2.259999999999998,-8.380000000000003,-2.759999999999991,-3.3100000000000023,2015-2016,S
6,ACEH,0.3100000000000023,-5.0,-7.1200000000000045,-1.75,-3.3900000000000006,2015-2016,S
7,SUMATERA UTARA,5.460000000000008,-3.920000000000009,-11.060000000000002,-3.6599999999999966,-3.2900000000000063,2015-2016,S
8,SUMATERA BARAT,2.3100000000000023,-1.7199999999999989,-1.9799999999999969,-0.5900000000000034,-0.5,2015-2016,S
9,RIAU,4.970000000000006,-3.25,-5.160000000000004,-2.6099999999999994,-1.5100000000000051,2015-2016,S
10,JAMBI,4.880000000000003,0.1699999999999946,-1.9399999999999977,-2.509999999999991,0.14999999999999858,2015-2016,S
11,SUMATERA SELATAN,3.5,-3.1700000000000017,-6.719999999999999,-2.6500000000000057,-2.259999999999998,2015-2016,S
12,LAMPUNG,5.179999999999993,1.240000000000002,-0.21000000000000085,-3.980000000000004,0.5499999999999972,2015-2016,S
13,KALIMANTAN BARAT,3.0,-6.469999999999999,-10.149999999999999,-0.9300000000000068,-3.6400000000000006,2015-2016,S
14,KALIMANTAN TENGAH,2.5700000000000074,1.5100000000000051,-5.649999999999999,-3.3500000000000085,-1.2299999999999969,2015-2016,S
15,KALIMANTAN SELATAN,-0.769999999999996,1.9600000000000009,-2.6499999999999986,-2.8599999999999994,-1.0799999999999983,2015-2016,S
16,KALIMANTAN TIMUR,-3.5,2.5500000000000043,-3.509999999999998,-0.47999999999998977,-1.2299999999999969,2015-2016,S
17,SULAWESI UTARA,-7.869999999999997,-7.68,-15.149999999999999,-3.8299999999999983,-8.64,2015-2016,S
18,SULAWESI TENGAH,-2.0600000000000023,3.8700000000000045,-0.75,-0.7999999999999972,0.060000000000002274,2015-2016,S
19,SULAWESI SELATAN,-8.590000000000003,-12.020000000000003,-17.83,-2.549999999999997,-10.249999999999993,2015-2016,S
20,SULAWESI TENGGARA,-2.6199999999999974,8.280000000000001,-0.8399999999999963,-1.8599999999999994,0.7399999999999949,2015-2016,S
21,MALUKU,0.6400000000000006,2.1100000000000065,-6.289999999999999,-4.6499999999999915,-2.049999999999997,2015-2016,S
22,BALI,-12.730000000000004,-9.480000000000004,-27.0,-3.9000000000000057,-13.270000000000003,2015-2016,S
23,NUSA TENGGARA BARAT,-5.130000000000003,-1.5,-5.010000000000002,1.8900000000000006,-2.4399999999999977,2015-2016,S
24,NUSA TENGGARA TIMUR,-3.3900000000000006,5.57,-5.090000000000003,-3.469999999999999,-1.5900000000000034,2015-2016,S
25,PAPUA,1.7899999999999991,0.44999999999999574,0.4399999999999977,0.6099999999999994,0.8200000000000003,2015-2016,S
26,BENGKULU,5.719999999999999,0.8000000000000043,-0.6199999999999974,-0.2799999999999869,1.4099999999999966,2015-2016,S
27,MALUKU UTARA,0.01999999999999602,-5.25,-12.82,-3.3400000000000034,-5.350000000000001,2015-2016,S
28,BANGKA BELITUNG,2.289999999999999,1.1899999999999977,-2.75,-2.339999999999989,-0.4100000000000037,2015-2016,S
29,GORONTALO,-5.25,3.9499999999999957,0.5799999999999983,-2.240000000000009,-0.740000000000002,2015-2016,S
30,BANTEN,4.640000000000001,-1.8399999999999963,-4.580000000000002,-2.219999999999999,-1.0,2015-2016,S
31,KEPULAUAN RIAU,2.200000000000003,-1.2299999999999969,-3.1200000000000045,-1.3799999999999955,-0.8800000000000026,2015-2016,S
32,SULAWESI BARAT,-4.559999999999995,-0.44000000000000483,-5.93,-2.3499999999999943,-3.3200000000000003,2015-2016,S
33,PAPUA BARAT,0.509999999999998,-4.280000000000001,-2.990000000000002,-3.309999999999988,-2.519999999999996,2015-2016,S
34,KALIMANTAN UTARA,-2.1799999999999997,8.240000000000002,1.1700000000000017,-0.8100000000000023,1.6099999999999994,2015-2016,S
1,DKI JAKARTA,1.4799999999999969,-20.869999999999997,-7.049999999999997,-13.159999999999997,-9.899999999999999,2015-2017,S
2,JAWA BARAT,0.3399999999999963,-14.71,-10.870000000000005,-5.089999999999989,-7.580000000000005,2015-2017,S
3,JAWA TENGAH,-2.5600000000000023,-15.030000000000001,-11.990000000000002,-13.490000000000009,-10.77000000000001,2015-2017,S
4,DI YOGYAKARTA,-2.3700000000000045,-7.07,-3.969999999999999,-2.280000000000001,-3.9200000000000017,2015-2017,S
5,JAWA TIMUR,-1.990000000000009,-14.439999999999998,-9.939999999999998,-3.4099999999999966,-7.440000000000005,2015-2017,S
6,ACEH,-1.9200000000000017,-18.33,-11.170000000000002,-5.469999999999999,-9.219999999999999,2015-2017,S
7,SUMATERA UTARA,-3.5,-25.520000000000003,-29.260000000000005,-6.0,-16.070000000000007,2015-2017,S
8,SUMATERA BARAT,0.3100000000000023,-13.729999999999997,-5.059999999999995,-1.4099999999999966,-4.980000000000004,2015-2017,S
