,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
50989,1,2201001,SMA NEGERI 1 DENPASAR,50103127,N,441,80.64,84.62,83.5,83.75,86.43,87.7,0.0,22,1,1,2018,BALI,KOTA DENPASAR
50913,218,2108002,SMA NEGERI 2 KAIRATU,60101530,N,46,69.39,79.3,60.6,65.0,86.25,55.47,0.0,21,8,2,2018,MALUKU,SERAM BAGIAN BARAT
41638,69,301712,MA FUTUHIYYAH KUDU,20363040,S,37,65.03,35.95,26.76,60.0,86.25,39.49,0.0,3,1,712,2018,JAWA TENGAH,KOTA SEMARANG
39856,464,105159,SMA HIGHFIELD,69948835,S,8,80.5,88.75,73.13,94.17,86.25,73.33,0.0,1,5,159,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
50825,130,2103112,SMTK  TEON  NILA  SERUA,60103614,S,16,68.38,59.88,55.31,71.67,86.25,67.95,0.0,21,3,112,2018,MALUKU,MALUKU TENGAH
39407,15,101022,SMA KRISTEN 3 BPK PENABUR,20100187,S,137,83.87,79.75,82.97,77.92,85.96,77.99,0.0,1,1,22,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
50842,147,2104009,SMA NEGERI 4 BURU,60100979,N,32,66.0,63.5,91.02,83.33,85.83,56.73,0.0,21,4,9,2018,MALUKU,BURU
41456,1583,225008,"SMA NEGERI RANCAKALONG, KABUPATEN SUMEDANG",20208408,N,42,69.95,47.1,28.99,41.88,85.83,42.21,0.0,2,25,8,2018,JAWA BARAT,KABUPATEN SUMEDANG
39508,116,102094,SMA IPEKA PLUIT,20107382,S,54,84.15,76.44,74.49,70.59,85.42,81.75,0.0,1,2,94,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
49801,125,1901159,SMA ZION,40320336,S,69,78.99,83.36,70.36,64.5,85.37,80.56,0.0,19,1,159,2018,SULAWESI SELATAN,KOTA MAKASSAR
44878,427,613043,MAN INSAN CENDEKIA ACEH TIMUR,69956310,N,8,70.0,70.75,59.69,62.5,85.0,72.5,0.0,6,13,43,2018,ACEH,KABUPATEN ACEH TIMUR
44719,268,610008,SMA NEGERI 8 TAKENGON,10102283,N,110,60.64,49.55,30.45,45.36,85.0,45.65,0.0,6,10,8,2018,ACEH,KABUPATEN ACEH TENGAH
49143,100,1604061,MA DDI KARYA BARU LOA JANAN,30315178,S,34,67.76,55.71,56.03,45.0,85.0,64.5,0.0,16,4,61,2018,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA
46021,903,724013,SMA NEGERI 1 LAHUSA,10258260,N,57,72.21,79.37,42.63,65.96,85.0,43.75,0.0,7,24,13,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
49128,85,1604017,SMA NEGERI 1 TABANG,30405336,N,18,58.11,57.67,60.28,80.0,85.0,56.88,0.0,16,4,17,2018,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA
50786,91,2103043,SMA NEGERI 1 SERAM UTARA TIMUR KOBI,60104038,N,26,67.23,65.23,72.31,43.75,85.0,68.0,0.0,21,3,43,2018,MALUKU,MALUKU TENGAH
45634,516,710068,SMA SWASTA SAMANHUDI TANJUNGPURA,10201321,S,16,63.13,63.25,42.97,40.0,85.0,71.25,0.0,7,10,68,2018,SUMATERA UTARA,KABUPATEN LANGKAT
45847,729,715015,SMA SWASTA PANGLIMA POLEM RANTAU PRAPAT,10205374,S,29,72.48,64.97,75.26,84.17,85.0,74.38,0.0,7,15,15,2018,SUMATERA UTARA,KABUPATEN LABUHANBATU
47492,184,1106003,SMAN 3 KAYUAGUNG,10600496,N,122,76.28,64.25,64.2,43.75,84.71,85.61,0.0,11,6,3,2018,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR
50777,82,2103034,SMA PGRI SAPARUA,60100332,S,44,58.23,79.55,63.07,35.0,84.44,68.26,0.0,21,3,34,2018,MALUKU,MALUKU TENGAH
39465,73,102023,SMA KRISTEN 5 BPK PENABUR,20100601,S,164,82.91,79.07,80.32,77.04,84.41,85.07,0.0,1,2,23,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
50778,83,2103035,SMA PGRI OMA HARUKU,60100351,S,21,63.24,64.86,57.98,0.0,84.38,74.26,0.0,21,3,35,2018,MALUKU,MALUKU TENGAH
52399,65,2703012,SMA NEGERI 5 HALMAHERA BARAT,60203640,N,38,47.68,26.95,20.2,0.0,84.17,75.29,0.0,27,3,12,2018,MALUKU UTARA,KABUPATEN HALMAHERA BARAT
40011,138,202503,"MA AL-KAUTSAR, KOTA BANJAR",20277087,S,47,68.55,63.02,30.0,42.22,84.17,61.43,0.0,2,2,503,2018,JAWA BARAT,KOTA BANJAR
51878,382,2416023,SMAN 2 KUWUS,69775289,N,14,71.86,73.43,64.82,75.0,84.0,56.79,0.0,24,16,23,2018,NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI BARAT
39908,35,201037,"SMA KRISTEN 1 BPK PENABUR, KOTA BANDUNG",20219730,S,270,85.3,80.98,81.3,80.86,84.0,82.69,0.0,2,1,37,2018,JAWA BARAT,KOTA BANDUNG
50950,255,2108105,MA YASIFA,69788083,S,13,66.0,61.38,63.08,35.0,84.0,70.5,0.0,21,8,105,2018,MALUKU,SERAM BAGIAN BARAT
52177,183,2518003,SMA NEGERI NINIA,60303349,N,27,72.81,65.78,66.85,0.0,83.89,0.0,0.0,25,18,3,2018,PAPUA,KABUPATEN YAHUKIMO
50829,134,2103117,MA AL-FALAH KOBI MUKTI,60105618,S,21,75.71,62.57,76.55,0.0,83.85,63.13,0.0,21,3,117,2018,MALUKU,MALUKU TENGAH
52503,169,2707001,SMA NEGERI 3 HALAMAHERA TIMUR,60201364,N,50,75.84,71.04,49.2,53.75,83.75,38.49,0.0,27,7,1,2018,MALUKU UTARA,KABUPATEN HALMAHERA TIMUR
51648,152,2405007,SMAK SURIA ATAMBUA,50301403,S,50,76.92,63.68,42.55,49.21,83.75,66.6,0.0,24,5,7,2018,NUSA TENGGARA TIMUR,KABUPATEN BELU
50889,194,2107003,SMA NEGERI 1 PULAU GOROM,60101684,N,101,71.68,69.07,79.68,75.42,83.67,56.65,0.0,21,7,3,2018,MALUKU,SERAM BAGIAN TIMUR
39486,94,102058,SMA PERMATA INDAH,20107389,S,22,80.91,76.09,52.95,36.73,83.57,47.5,0.0,1,2,58,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
39484,92,102053,SMA KRISTEN YUSUF,20100603,S,39,83.69,80.92,78.72,70.96,83.5,80.0,0.0,1,2,53,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
39671,279,104044,SMA ISLAM AL-AZHAR 1,20107304,S,91,82.86,81.43,74.95,71.33,83.41,80.75,0.0,1,4,44,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
48903,98,1504043,SMAN BANUA KALSEL,30315142,N,73,83.1,82.27,75.89,87.03,83.37,83.55,0.0,15,4,43,2018,KALIMANTAN SELATAN,KABUPATEN BANJAR
51585,89,2403009,SMA KARYA SOE,50300665,S,34,67.59,51.35,50.07,57.5,83.33,32.21,0.0,24,3,9,2018,NUSA TENGGARA TIMUR,KABUPATEN TTS
52366,32,2702007,SMA NEGERI 7 TIDORE KEPULAUAN,60202071,N,19,56.95,70.74,79.34,0.0,83.21,47.0,0.0,27,2,7,2018,MALUKU UTARA,KOTA TIDORE KEPULAUAN
45204,86,701106,SMA SWASTA HANG KESTURI MEDAN,10210714,S,42,81.33,80.0,65.89,71.79,83.15,73.54,0.0,7,1,106,2018,SUMATERA UTARA,KOTA MEDAN
44551,100,606014,SMA NEGERI MODAL BANGSA,10100170,N,112,82.52,78.23,70.47,71.9,83.07,79.88,0.0,6,6,14,2018,ACEH,KABUPATEN ACEH BESAR
52510,176,2707008,SMA NEGERI 7 HALMAHERA TIMUR,60205564,N,38,57.53,68.42,52.76,0.0,82.94,39.05,0.0,27,7,8,2018,MALUKU UTARA,KABUPATEN HALMAHERA TIMUR
52851,147,3004025,SMA BINA NUSANTARA,20614920,S,85,80.19,82.61,71.5,67.77,82.88,75.16,0.0,30,4,25,2018,BANTEN,KOTA TANGERANG SELATAN
49145,102,1604066,SMA NEGERI 2 KOTA BANGUN,30405314,N,25,59.68,65.04,67.0,0.0,82.73,62.86,0.0,16,4,66,2018,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA
39420,28,101048,SMA SANTA URSULA,20108383,S,102,85.41,84.27,82.23,76.86,82.7,88.17,0.0,1,1,48,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
50495,117,2005005,SMA NEGERI 1 WOLOWA,40403043,N,67,65.79,45.91,64.96,67.02,82.66,72.5,0.0,20,5,5,2018,SULAWESI TENGGARA,KABUPATEN BUTON
39679,287,104053,SMA NEGERI 8,20102568,N,324,84.62,81.78,82.18,73.2,82.66,80.24,0.0,1,4,53,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
41646,77,302004,SMA NEGERI 4 SURAKARTA,20327969,N,227,84.77,80.54,77.07,75.57,82.56,81.34,0.0,3,2,4,2018,JAWA TENGAH,KOTA SURAKARTA
51054,66,2205007,MAN KARANGASEM,50105602,N,55,72.51,53.89,39.41,44.06,82.5,53.62,0.0,22,5,7,2018,BALI,KABUPATEN KARANGASEM
