,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
4184,310,204504,"MA AL-FALAK BOGOR, KOTA BOGOR",20277121,S,18,67.89,58.0,91.94,77.08,74.22,73.78,0.0,2,4,504,2016,JAWA BARAT,JAWA BARAT,KOTA BOGOR
47530,260,905118,MA HIDAYATUL MUBTADIIN PULAU KIJANG,10310987.0,S,18,72.44,41.22,47.08,54.72,74.22,58.0,0.0,9,5,118,2016,RIAU,RIAU,KABUPATEN INDRAGIRI HILIR
18343,868,325701,MA AL IKHLAS,20363142,S,43,74.42,55.12,68.14,59.13,74.19,85.07,0.0,3,25,701,2016,JAWA TENGAH,JAWA TENGAH,KABUPATEN PATI
63332,183,1508003,SMA NEGERI 3 BARABAI,30302134.0,N,112,76.02,58.63,68.95,68.33,74.14,68.23,0.0,15,8,3,2016,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KABUPATEN HULU SUNGAI TENGAH
34687,2553,537523,MA NURUL ISLAM,20580538.0,S,21,66.57,67.43,74.52,70.71,74.1,84.48,0.0,5,37,523,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
18324,849,325200,SMA BOPKRI 1 PATI,20339001,S,22,55.0,51.64,65.57,57.05,74.09,83.0,0.0,3,25,200,2016,JAWA TENGAH,JAWA TENGAH,KABUPATEN PATI
41774,678,715029,MA SWASTA AL-ITTIHAD AEK NABARA,10264788.0,S,23,75.13,73.04,70.76,73.59,74.0,78.26,0.0,7,15,29,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LABUHANBATU
69853,420,1910042,MAS AMIR AL-JANNAH BAJOE,40320405,S,10,50.0,55.0,64.0,67.0,74.0,70.0,0.0,19,10,42,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
41754,658,715002,SMA NEGERI 1 RANTAU UTARA,10205384.0,N,160,75.83,73.94,84.03,74.2,73.9,82.0,0.0,7,15,2,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LABUHANBATU
34780,2646,537620,MA AL - IKHLAS,60729928.0,S,18,69.67,63.44,83.47,70.69,73.89,84.89,0.0,5,37,620,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
61802,156,1407003,SMA NEGERI 1 JELAI,30203754.0,N,18,64.44,44.56,63.75,59.44,73.89,57.0,0.0,14,7,3,2016,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN SUKAMARA
89947,139,3107101,MA FATAHILLAH,11003338,S,18,68.89,67.78,65.56,58.33,73.89,65.56,0.0,31,7,101,2016,KEPULAUAN RIAU,KEPULAUAN RIAU,KABUPATEN KEPULAUAN ANAMBAS
70098,461,1911020,SMA NEGERI 1 SABBANGPARU,40310825,N,40,60.8,57.95,75.19,77.5,73.85,78.7,0.0,19,11,20,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN WAJO
74986,17,2201023,SMA NEGERI 7 DENPASAR,50103120,N,90,74.11,66.87,72.39,69.69,73.78,73.38,0.0,22,1,23,2016,BALI,BALI,KOTA DENPASAR
85090,71,2905007,MAN INSAN CENDEKIA,60728785,N,36,78.89,63.67,90.35,86.81,73.72,86.06,0.0,29,5,7,2016,GORONTALO,GORONTALO,KABUPATEN BONE BOLANGO
63339,190,1508010,MA NEGERI  2 BARABAI,30315538.0,N,72,62.17,56.92,62.33,49.44,73.72,67.81,0.0,15,8,10,2016,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KABUPATEN HULU SUNGAI TENGAH
41772,676,715026,MA SWASTA HABIBULLAH,10261582.0,S,21,68.48,76.57,73.33,72.5,73.71,78.48,0.0,7,15,26,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LABUHANBATU
52374,188,1105016,SMA MUHAMMADIYAH 1 BATURAJA,10604717.0,S,17,42.71,60.35,62.5,70.0,73.65,38.59,0.0,11,5,16,2016,SUMATERA SELATAN,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU
72208,113,2004054,SMAS ILMANAH,69849635,S,27,73.63,60.67,37.69,58.7,73.63,68.81,0.0,20,4,54,2016,SULAWESI TENGGARA,SULAWESI TENGGARA,KABUPATEN MUNA
1609,365,104104,SMA LABSCHOOL KEBAYORAN,20107313,S,50,79.64,77.84,88.95,85.55,73.6,85.4,0.0,1,4,104,2016,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
69851,418,1910039,SMA NEGERI 1 BONTOCANI,40310707,N,36,75.67,78.61,87.08,80.0,73.56,81.11,0.0,19,10,39,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
38141,453,621029,SMA NEGERI 1 KLUET TIMUR,10102731.0,N,24,70.42,57.67,85.1,77.81,73.5,77.92,0.0,6,21,29,2016,ACEH,ACEH,KABUPATEN ACEH SELATAN
37566,321,615006,SMAN 1 SINGKOHOR,10104048.0,N,37,68.97,53.68,88.04,80.27,73.46,71.73,0.0,6,15,6,2016,ACEH,ACEH,KABUPATEN ACEH SINGKIL
19412,1113,328730,MA SHOFA MARWA PLOSOHARJO,69788205,S,32,59.56,50.81,60.78,57.81,73.44,61.88,0.0,3,28,730,2016,JAWA TENGAH,JAWA TENGAH,KABUPATEN GROBOGAN
13501,2146,226567,MA AL-HIDAYAH WANGUNSARI,20280159,S,18,70.11,46.78,72.5,70.14,73.44,69.44,0.0,2,26,567,2016,JAWA BARAT,JAWA BARAT,KABUPATEN TASIKMALAYA
17469,704,322705,MA SULTAN AGUNG NGAWEN,20364947,S,35,71.26,45.89,65.43,58.0,73.43,82.57,0.0,3,22,705,2016,JAWA TENGAH,JAWA TENGAH,KABUPATEN BLORA
80996,343,2416002,SMA NEGERI 1 MACANG PACAR,50304770,N,82,60.1,57.63,65.58,63.48,73.39,69.71,0.0,24,16,2,2016,NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI BARAT
63449,216,1509016,MA NEGERI 5 AMUNTAI,30315560.0,N,19,67.68,49.68,68.82,75.92,73.37,72.63,0.0,15,9,16,2016,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KABUPATEN HULU SUNGAI UTARA
17672,729,323211,SMA PGRI JEPARA,20318347,S,42,67.71,43.05,66.13,58.75,73.33,82.24,0.0,3,23,211,2016,JAWA TENGAH,JAWA TENGAH,KABUPATEN JEPARA
65627,108,1706023,MA AL AQSHA KENDAHE,40105185,S,12,76.67,59.0,93.13,89.38,73.33,70.5,0.0,17,6,23,2016,SULAWESI UTARA,SULAWESI UTARA,KABUPATEN KEPULAUAN SANGIHE
