,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
89589,62,31020057,SMAS KRISTEN KALAM KUDUS 2,69967491,S,2,87.0,87.0,61.25,57.5,94.0,0.0,77.76,31,2,5,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA BATAM
86506,264,30040200,SMA JAGAT ARSY,69893350,S,4,79.0,60.0,28.13,42.5,88.0,57.0,57.07,30,4,20,2019,BANTEN,BANTEN,KOTA TANGERANG SELATAN
59313,157,13040043,MAN INSAN CENDEKIA SAMBAS,69976449.0,N,7,84.29,68.0,46.79,90.0,88.0,80.5,70.84,13,4,4,2019,KALIMANTAN BARAT,KALIMANTAN BARAT,KABUPATEN SAMBAS
2017,411,1040218,D ROYAL MOROCO INTERNATIONAL ISLAMIC SCHOOL,69930247,S,1,76.0,86.0,35.0,0.0,88.0,0.0,71.25,1,4,21,2019,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
21856,171,4050002,SMA 1 WONOSARI,20402126,N,92,88.41,79.3,70.27,83.13,87.5,82.19,80.31,4,5,0,2019,DI YOGYAKARTA,DI YOGYAKARTA,KABUPATEN GUNUNGKIDUL
21098,14,4010015,SMA NEGERI 1 YOGYAKARTA,20403174,N,22,91.18,86.73,78.3,86.79,87.0,87.67,85.82,4,1,1,2019,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
81434,476,24200004,SMA SEMINARI PIUS XII KISOL,50308606,S,15,87.73,77.2,69.5,84.38,86.67,74.0,79.07,24,20,0,2019,NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI TIMUR
1400,278,1030221,SMA SAINT JOHNS SCHOOL,20177837,S,1,94.0,100.0,75.0,0.0,86.0,0.0,88.75,1,3,22,2019,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
8488,1122,2130194,SMA IC MAGNETSCHOOL,69901004,S,1,94.0,88.0,47.5,0.0,86.0,0.0,78.88,2,13,19,2019,JAWA BARAT,JAWA BARAT,KABUPATEN BOGOR
86441,199,30040021,SMA SANTA URSULA BSD,20603376,S,83,87.06,91.42,84.88,88.77,84.74,84.46,87.64,30,4,2,2019,BANTEN,BANTEN,KOTA TANGERANG SELATAN
293,40,1010060,SMA KANISIUS,20100170,S,63,87.11,90.06,77.34,89.69,84.36,83.5,85.53,1,1,6,2019,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
22480,9,5010015,SMA NEGERI 5 SURABAYA,20532248,N,26,85.46,84.62,72.69,86.35,84.2,88.0,82.12,5,1,1,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
42412,808,7200019,SMA SWASTA UNGGUL DEL,10263538.0,S,22,87.73,87.36,79.2,88.0,84.0,86.67,84.89,7,20,1,2019,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR
28589,1340,5240006,SMA KATOLIK SEMINARI GARUM,20549326,S,8,79.25,68.5,56.25,85.83,84.0,72.0,71.05,5,24,0,2019,JAWA TIMUR,JAWA TIMUR,KABUPATEN BLITAR
16577,512,3150006,SMA NEGERI 1 WONOSOBO,20306807,N,92,87.39,74.85,63.83,77.17,83.9,83.26,77.16,3,15,0,2019,JAWA TENGAH,JAWA TENGAH,KABUPATEN WONOSOBO
1938,332,1040053,SMA NEGERI 8,20102568,N,36,86.78,90.89,79.31,91.79,83.67,81.5,85.71,1,4,5,2019,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
3347,35,2010037,"SMA KRISTEN 1 BPK PENABUR, KOTA BANDUNG",20219730,S,50,87.4,88.52,85.1,88.36,83.67,84.0,87.01,2,1,3,2019,JAWA BARAT,JAWA BARAT,KOTA BANDUNG
52027,100,11010123,SMAN SUMATERA SELATAN,10648016.0,N,27,86.59,82.96,71.2,94.29,83.64,81.56,81.62,11,1,12,2019,SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG
21087,3,4010003,SMA NEGERI 6 YOGYAKARTA,20403171,N,49,88.0,84.78,71.58,85.39,83.58,80.0,81.96,4,1,0,2019,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
89205,795,30080174,SMA PAHOA,20616061,S,76,87.89,90.11,81.32,92.13,83.52,83.6,86.85,30,8,17,2019,BANTEN,BANTEN,KABUPATEN TANGERANG
22505,34,5010052,SMA NEGERI 15 SURABAYA,20532237,N,47,86.64,84.09,65.05,83.24,83.1,81.6,79.65,5,1,5,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
14606,118,3020233,SMA KRISTEN PELITA NUSANTARA KASIH SURAKARTA,20340947,S,11,80.18,78.73,67.05,71.25,83.0,72.4,74.97,3,2,23,2019,JAWA TENGAH,JAWA TENGAH,KOTA SURAKARTA
2657,495,1050111,SMA LABSCHOOL JAKARTA,20103223,S,73,85.53,90.05,58.56,83.08,82.93,78.11,78.97,1,5,11,2019,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
21675,111,4040003,SMA NEGERI 1 KALASAN,20401145,N,86,86.35,80.23,66.1,80.54,82.92,82.83,78.64,4,4,0,2019,DI YOGYAKARTA,DI YOGYAKARTA,KABUPATEN SLEMAN
16749,530,3160004,SMA NEGERI 1 BOYOLALI,20308449,N,70,88.49,81.31,78.14,86.43,82.88,85.54,83.31,3,16,0,2019,JAWA TENGAH,JAWA TENGAH,KABUPATEN BOYOLALI
70046,452,19100067,SMA ISLAM ATHIRAH BONE,69765089,S,20,89.4,68.2,52.75,87.08,82.86,81.14,73.47,19,10,6,2019,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
86485,243,30040174,MA NEGERI INSAN CENDEKIA SERPONG,20623314,N,33,88.42,89.39,81.21,98.25,82.83,87.82,87.05,30,4,17,2019,BANTEN,BANTEN,KOTA TANGERANG SELATAN
2622,460,1050057,SMA NEGERI 61,20103307,N,70,86.2,87.54,74.57,87.39,82.82,82.33,83.11,1,5,5,2019,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
