,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
34695,2561,537531,MA DARUL IHSAN,20579585.0,S,15,75.33,74.53,98.5,82.17,61.87,92.67,0.0,5,37,531,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
33269,2324,535577,MA MIFTAHUL ULUM,20584391.0,S,11,72.91,74.55,97.5,75.45,61.27,26.55,0.0,5,35,577,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN PAMEKASAN
34725,2591,537562,MA AR RAHMAH,20584710.0,S,15,72.0,65.07,97.5,83.17,62.67,73.33,0.0,5,37,562,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
34604,2470,537002,SMA RAUDLATUL ULUM,20551882.0,S,26,82.77,75.85,97.5,76.25,63.46,91.31,0.0,5,37,2,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
38812,190,701250,SMA SWASTA SINGAPORE SCHOOL MEDAN,10260261.0,S,1,76.0,74.0,97.5,92.5,58.0,68.0,0.0,7,1,250,2016,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
30304,1746,529574,MA DARUL HASAN,69894867,S,20,53.5,61.6,97.13,64.13,55.1,38.4,0.0,5,29,574,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN PROBOLINGGO
34717,2583,537553,MA  AL-ISHLAH,20584689.0,S,10,70.0,75.6,97.0,77.75,61.2,94.4,0.0,5,37,553,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
34782,2648,537622,MA. NURUL ULUM,20584726.0,S,9,67.33,57.11,96.39,72.78,68.89,74.22,0.0,5,37,622,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
33249,2304,535555,MA SIROJUT TOLIBIN,20584414.0,S,33,63.7,73.64,96.14,78.41,66.91,49.33,0.0,5,35,555,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN PAMEKASAN
23640,414,510562,MA IHYAUL ULUM CANGAAN,20580212,S,12,75.0,72.5,95.42,82.29,60.5,83.83,0.0,5,10,562,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN GRESIK
38667,45,701046,SMA SWASTA SUTOMO 2 MEDAN,10210836.0,S,107,80.11,72.86,95.14,87.83,64.62,84.92,0.0,7,1,46,2016,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
40232,385,709088,MA SWASTA AL-WASHLIYAH PANTAI LABU,10200560.0,S,40,71.95,71.0,95.13,88.56,61.95,82.15,0.0,7,9,88,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN DELISERDANG
33217,2272,535523,MA SUMBER BUNGUR PAKONG,20584415.0,S,94,65.77,74.62,95.03,85.66,66.4,69.72,0.0,5,35,523,2016,JAWA TIMUR,JAWA TIMUR,KABUPATEN PAMEKASAN
