,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
44487,76,8030004,SMA NEGERI 1 SUMATERA BARAT,10310903.0,N,12,77.5,63.0,59.38,100.0,72.8,90.0,69.1,8,3,0,2019,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG PANJANG
86485,243,30040174,MA NEGERI INSAN CENDEKIA SERPONG,20623314,N,33,88.42,89.39,81.21,98.25,82.83,87.82,87.05,30,4,17,2019,BANTEN,BANTEN,KOTA TANGERANG SELATAN
85129,77,29050007,MAN INSAN CENDEKIA GORONTALO,60728785,N,24,87.67,79.5,81.25,95.28,78.5,85.09,84.06,29,5,0,2019,GORONTALO,GORONTALO,KABUPATEN BONE BOLANGO
22960,207,5030004,SMA ST. BONAVENTURA MADIUN,20534116,S,48,71.67,62.67,36.67,95.0,66.42,54.0,59.25,5,3,0,2019,JAWA TIMUR,JAWA TIMUR,KOTA MADIUN
52027,100,11010123,SMAN SUMATERA SELATAN,10648016.0,N,27,86.59,82.96,71.2,94.29,83.64,81.56,81.62,11,1,12,2019,SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG
3432,120,2010139,"SMA BINTANG MULIA, KOTA BANDUNG",20269170,S,28,82.57,87.29,61.43,93.33,74.0,75.43,77.02,2,1,13,2019,JAWA BARAT,JAWA BARAT,KOTA BANDUNG
64698,158,16050025,SMA NEGERI 2 SANGATTA UTARA,30405623.0,N,34,79.94,57.41,37.28,92.5,67.86,71.0,60.9,16,5,2,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KABUPATEN KUTAI TIMUR
89205,795,30080174,SMA PAHOA,20616061,S,76,87.89,90.11,81.32,92.13,83.52,83.6,86.85,30,8,17,2019,BANTEN,BANTEN,KABUPATEN TANGERANG
1290,168,1030008,SMA KRISTEN 1 PENABUR,20101306,S,67,87.94,91.67,82.09,92.0,81.36,80.86,87.14,1,3,0,2019,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
8486,1120,2130191,SMA NASIONAL PLUS BPK PENABUR,69946107,S,12,82.17,87.33,56.46,91.88,75.0,0.0,76.65,2,13,19,2019,JAWA BARAT,JAWA BARAT,KABUPATEN BOGOR
1938,332,1040053,SMA NEGERI 8,20102568,N,36,86.78,90.89,79.31,91.79,83.67,81.5,85.71,1,4,5,2019,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
