,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
65013,94,2406008,SMK NEGERI MARITAING,69725863,N,41,39.37,74.88,58.84,90.57,"65,92",24,6,8,2017,NUSA TENGGARA TIMUR,KABUPATEN ALOR
67402,76,2706007,SMK NEGERI 3 HALMAHERA TENGAH,60202576,N,24,72.58,74.67,62.5,69.11,"69,72",27,6,7,2017,MALUKU UTARA,KABUPATEN HALMAHERA TENGAH
41804,281,709112,SMK SWASTA PEMBANGUNAN GALANG 1,10200413,S,51,75.25,74.63,71.47,82.08,"75,86",7,9,112,2017,SUMATERA UTARA,KABUPATEN DELISERDANG
61576,37,2103112,SMK NEGERI TELUK ELPAPUTIH,69831987,N,17,67.06,74.59,84.41,87.93,"78,50",21,3,112,2017,MALUKU,MALUKU TENGAH
239,46,101061,SMK REX MUNDI,20108514,S,48,77.46,74.58,56.67,81.19,"72,48",1,1,61,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
61757,64,2107106,SMK PERSIAPAN BATUASA,60103637,S,18,66.67,74.56,68.47,84.03,"73,43",21,7,106,2017,MALUKU,SERAM BAGIAN TIMUR
64557,12,2401012,SMK KENCANA SAKTI,50305265,S,96,69.9,74.5,74.97,80.41,"74,95",24,1,12,2017,NUSA TENGGARA TIMUR,KOTA KUPANG
67110,28,2703012,SMK BINA INSANI JAILOLO,69888744,S,26,48.23,74.46,59.23,77.52,"64,86",27,3,12,2017,MALUKU UTARA,KABUPATEN HALMAHERA BARAT
44162,717,724109,SMK SWASTA NUSANTARA TERPADU,10258238,S,22,55.0,74.45,90.45,73.82,"73,43",7,24,109,2017,SUMATERA UTARA,KABUPATEN NIAS SELATAN
66179,68,2508003,SMK NEGERI 1 PANIAI,69888882,N,24,50.67,74.33,87.6,73.43,"71,51",25,8,3,2017,PAPUA,KABUPATEN PANIAI
67206,42,2704013,SMK WOMATEKEKOMOTEKE,60724610,S,22,51.36,74.27,54.09,74.86,"63,65",27,4,13,2017,MALUKU UTARA,KABUPATEN HALMAHERA UTARA
17839,2415,226114,"SMK DAARUL HIDAYAH, KABUPATEN TASIKMALAYA",20244749,S,57,71.12,74.14,57.54,80.05,"70,71",2,26,114,2017,JAWA BARAT,KABUPATEN TASIKMALAYA
73276,40,3308002,SMK NEGERI INANWATAN,69725941,N,19,72.11,74.11,62.37,74.97,"70,89",33,8,2,2017,PAPUA BARAT,KABUPATEN SORONG SELATAN
47636,224,910107,SMK MUTIARA MINAS,10495189,S,10,64.2,74.0,57.0,75.5,"67,68",9,10,107,2017,RIAU,KABUPATEN S I A K
19031,134,302238,SMK IT SMART INFORMATIKA,20362528,S,54,83.89,73.93,85.0,48.43,"72,81",3,2,238,2017,JAWA TENGAH,KOTA SURAKARTA
54064,79,1406107,SMKN KECIL TEWEH TIMUR,30203972,N,8,65.75,73.75,60.94,74.76,"68,80",14,6,107,2017,KALIMANTAN TENGAH,KABUPATEN BARITO UTARA
16668,2199,224116,"SMK BAHARI GUPPI YPAI CISOLOK, KABUPATEN SUKABUMI",20202282,S,32,75.06,73.75,75.16,78.41,"75,60",2,24,116,2017,JAWA BARAT,KABUPATEN SUKABUMI
69566,238,3004058,SMK MUSIK YMJ,20615180,S,15,75.33,73.73,43.67,70.31,"65,76",30,4,58,2017,BANTEN,KOTA TANGERANG SELATAN
45028,875,732108,SMK NEGERI 1 SAWO,10260665,N,84,75.02,73.69,81.52,83.87,"78,53",7,32,108,2017,SUMATERA UTARA,KABUPATEN NIAS UTARA
61817,75,2108108,SMK NEGERI WAESALA,60103565,N,25,62.08,73.36,56.0,73.05,"66,12",21,8,108,2017,MALUKU,SERAM BAGIAN BARAT
205,12,101014,SMK BUNDA MULIA 1,20107252,S,157,75.8,73.34,61.67,79.28,"72,52",1,1,14,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
64783,53,2403009,SMK KRISTEN NIKI-NIKI,50309053,S,79,64.73,73.27,20.38,69.55,"56,98",24,3,9,2017,NUSA TENGGARA TIMUR,KABUPATEN TTS
61230,103,2012104,SMKN 1 KAMBOWA,40404751,N,26,71.08,73.15,71.92,80.26,"74,10",20,12,104,2017,SULAWESI TENGGARA,KABUPATEN BUTON UTARA
44180,735,724127,SMK NEGERI 2 SIDUA ORI,10261296,N,46,68.48,73.13,78.97,74.15,"73,68",7,24,127,2017,SUMATERA UTARA,KABUPATEN NIAS SELATAN
16770,2301,224220,SMK UNGGUL KALPATARU,60726666,S,13,61.23,73.08,58.08,74.08,"66,62",2,24,220,2017,JAWA BARAT,KABUPATEN SUKABUMI
30510,342,511108,SMK PGRI 3 SIDOARJO,20540091,S,216,69.81,73.01,55.76,81.94,"70,13",5,11,108,2017,JAWA TIMUR,KABUPATEN SIDOARJO
41805,282,709114,SMK SWASTA PANCA JAYA 1,10200414,S,18,74.22,72.89,47.64,82.12,"69,22",7,9,114,2017,SUMATERA UTARA,KABUPATEN DELISERDANG
56980,127,1709014,SMK NEGERI 1 TARERAN,69725530,N,48,67.46,72.83,65.78,81.69,"71,94",17,9,14,2017,SULAWESI UTARA,KABUPATEN MINAHASA SELATAN
57679,81,1805052,SMKS IHSANUL FIKRI,69774534,S,17,67.76,72.59,62.5,77.29,"70,04",18,5,52,2017,SULAWESI TENGAH,KABUPATEN BANGGAI
41873,350,709209,SMK SWASTA ROKITA SARI 1,10200425,S,20,72.7,72.5,85.63,72.21,"75,76",7,9,209,2017,SUMATERA UTARA,KABUPATEN DELISERDANG
38751,6,601006,SMK FARMASI CUT MEUTIA,10110818,S,31,72.19,72.45,69.11,80.35,"73,53",6,1,6,2017,ACEH,KOTA BANDA ACEH
