,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
35174,1139,528135,SMK AR-ROUDHOH BEJI,20570161,S,121,89.47,78.33,73.74,75.97,"79,38",5,28,135,2016,JAWA TIMUR,KABUPATEN PASURUAN
187,56,101071,SMK F. DITKESAD,20107254,S,87,88.64,87.22,95.26,93.46,"91,15",1,1,71,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
30870,424,512122,SMK PACET,20549437,S,107,88.09,76.06,69.81,72.69,"76,66",5,12,122,2016,JAWA TIMUR,KABUPATEN MOJOKERTO
27810,117,404101,SMK NEGERI 2 DEPOK,20401315,N,464,87.96,81.01,90.7,84.79,"86,12",4,4,101,2016,DI YOGYAKARTA,KABUPATEN SLEMAN
37969,1575,536122,SMK AL AZHAR,20573055,S,20,87.7,45.7,81.25,63.07,"69,43",5,36,122,2016,JAWA TIMUR,KABUPATEN SAMPANG
45017,859,732116,SMK SWASTA KRISTEN BNKP LUZAMANU,69786329,S,36,86.72,82.0,66.04,77.84,"78,15",7,32,116,2016,SUMATERA UTARA,KABUPATEN NIAS UTARA
38264,1618,537114,SMK ISLAM AL - FUTUHIYYAH,20564459,S,20,86.7,76.9,90.88,76.23,"82,68",5,37,114,2016,JAWA TIMUR,KABUPATEN SUMENEP
43187,555,715120,SMK SWASTA FAJAR MANDIRI,10259162,S,15,86.67,93.2,96.33,73.13,"87,33",7,15,120,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43185,553,715118,SMK SWASTA METHODIST AEKNABARA,10205191,S,62,86.65,92.13,80.56,83.47,"85,70",7,15,118,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
2914,566,105256,SMK CARAKA NUSANTARA,20103769,S,63,86.6,69.87,84.96,89.38,"82,70",1,5,256,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
44887,826,731101,SMK SWASTA KH. DEWANTARA KOTAPINANG,10205193,S,380,86.52,93.2,85.41,80.4,"86,38",7,31,101,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU SELATAN
43197,565,715133,SMK SWASTA AL-AZIS,69786963,S,30,86.47,92.73,95.42,83.29,"89,48",7,15,133,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
5459,367,204908,SMK SMAK BOGOR (4 TH KELAS 3),20238524,N,252,86.36,80.1,77.79,0.0,"61,06",2,4,908,2016,JAWA BARAT,KOTA BOGOR
35177,1142,528138,SMK AL-AZHAR ASSYARIF BEJI PASURUAN,69757358,S,33,86.18,77.76,70.68,76.04,"77,67",5,28,138,2016,JAWA TIMUR,KABUPATEN PASURUAN
43191,559,715124,SMK SWASTA INDONESIA MEMBANGUN,10261712,S,52,86.12,86.31,93.08,76.43,"85,49",7,15,124,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
18492,7,301007,SMK NEGERI  7 SEMARANG,20337604,N,591,85.84,74.27,84.57,88.04,"83,18",3,1,7,2016,JAWA TENGAH,KOTA SEMARANG
43196,564,715132,SMK NEGERI 1 BILAH HILIR,69786966,N,94,85.81,92.45,95.03,76.79,"87,52",7,15,132,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
42583,446,711105,SMK SWASTA ISLAM SIMALUNGUN,10202752,S,14,85.71,76.86,75.89,83.94,"80,60",7,11,105,2016,SUMATERA UTARA,KABUPATEN SIMALUNGUN
3822,33,201134,"SMK BPK PENABUR BANDUNG, KOTA BANDUNG",20247289,S,55,85.49,73.31,78.09,87.38,"81,07",2,1,134,2016,JAWA BARAT,KOTA BANDUNG
30892,446,512148,SMK BRAWIJAYA BHAKTI HUSADA,20570795,S,6,85.33,78.33,70.83,73.7,"77,05",5,12,148,2016,JAWA TIMUR,KABUPATEN MOJOKERTO
