,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
31524,1078,514135,SMK MUHAMMADIYAH 3 KEPOH,20554940,S,19,90.47,89.92,82.76,73.59,"84,19",5,14,135,2015,JAWA TIMUR,KABUPATEN BOJONEGORO
68566,200,3002060,SMK TEKHMINDO,20607519,S,12,89.94,74.13,54.38,77.26,"73,93",30,2,60,2015,BANTEN,KOTA TANGERANG
61995,12,2201007,SMK FARMASI SARASWATI 3 DENPASAR,50103633,S,99,89.81,89.41,86.74,83.68,"87,41",22,1,7,2015,BALI,KOTA DENPASAR
56841,198,1708006,SMKN 1 LOLAK,69727634,N,37,89.65,81.24,84.46,76.04,"82,85",17,8,6,2015,SULAWESI UTARA,KABUPATEN BOLAANG MONGONDOW
62033,50,2201027,SMK KESEHATAN BALI MEDIKA,50103910,S,259,89.62,87.14,89.27,86.34,"88,09",22,1,27,2015,BALI,KOTA DENPASAR
27699,226,404101,SMK NEGERI 2 DEPOK,20401315,N,439,89.25,79.69,88.09,85.69,"85,68",4,4,101,2015,DI YOGYAKARTA,KABUPATEN SLEMAN
62877,318,2209021,SMK KESEHATAN BALI KHRESNA MEDIKA,50105598,S,47,89.01,82.68,84.52,81.87,"84,52",22,9,21,2015,BALI,KABUPATEN BADUNG
62427,150,2204003,SMK PARIWISATA YAPPARINDO KLUNGKUNG,50102351,S,267,88.82,71.84,87.37,85.31,"83,34",22,4,3,2015,BALI,KABUPATEN KLUNGKUNG
2690,1142,105256,SMK CARAKA NUSANTARA,20103769,S,58,88.79,73.21,93.75,85.79,"85,39",1,5,256,2015,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
68534,168,3002044,SMK HARAPAN JAYA,20606826,S,109,88.46,78.04,75.62,90.03,"83,04",30,2,44,2015,BANTEN,KOTA TANGERANG
18932,270,302238,SMK IT SMART INFORMATIKA,20362528,S,58,88.09,71.03,87.63,87.88,"83,66",3,2,238,2015,JAWA TENGAH,KOTA SURAKARTA
62223,112,2202027,SMK DWIJENDRA GIANYAR,50105408,S,30,88.07,67.87,71.58,80.65,"77,04",22,2,27,2015,BALI,KABUPATEN GIANYAR
59723,502,1914112,SMK NEGERI 8 BULUKUMBA,40316618,N,21,88.0,65.52,80.6,88.01,"80,53",19,14,112,2015,SULAWESI SELATAN,KABUPATEN BULUKUMBA
34081,1846,525126,SMK AL BADAR,20571032,S,10,87.88,68.57,75.25,89.22,"80,23",5,25,126,2015,JAWA TIMUR,KABUPATEN TULUNGAGUNG
27755,282,404131,SMK NEGERI 1 DEPOK,20401193,N,282,87.8,67.84,86.77,87.74,"82,54",4,4,131,2015,DI YOGYAKARTA,KABUPATEN SLEMAN
59181,324,1907102,SMK LABBIRI TAKALAR,40320560,S,12,87.73,90.83,92.71,67.71,"84,75",19,7,102,2015,SULAWESI SELATAN,KABUPATEN TAKALAR
5365,710,204908,SMK SMAK BOGOR (4 TH KELAS 3),20238524,N,224,87.72,80.85,81.07,0.0,"62,41",2,4,908,2015,JAWA BARAT,KOTA BOGOR
62875,316,2209020,SMK KESEHATAN GANA HUSADA,69725682,S,33,87.72,79.33,76.67,81.04,"81,19",22,9,20,2015,BALI,KABUPATEN BADUNG
