,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
24063,976,3240001,SMKN 1 KUDUS,20317499,N,520,86.44,63.18,63.44,66.36,"69,86",3,24,0,2019,JAWA TENGAH,KABUPATEN KUDUS
32673,743,5180103,SMK NEGERI 1 NGAWI,20508468,N,452,86.32,59.0,58.27,60.43,"66,01",5,18,10,2019,JAWA TIMUR,KABUPATEN NGAWI
27436,31,4020101,SMK NEGERI 1 BANTUL,20400416,N,501,86.16,63.69,62.59,62.3,"68,69",4,2,10,2019,DI YOGYAKARTA,KABUPATEN BANTUL
3530,577,1050901,SMKN 26 JAKARTA 4 TH,0,N,371,86.15,71.35,62.08,51.58,"67,79",1,5,90,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
27675,92,4030113,SMK NEGERI 2 PENGASIH,20402817,N,508,86.13,61.76,55.69,53.32,"64,23",4,3,11,2019,DI YOGYAKARTA,KABUPATEN KULON PROGO
21837,585,3150002,SMK NEGERI 1 WONOSOBO,20306811,N,509,85.93,62.37,58.77,57.74,"66,20",3,15,0,2019,JAWA TENGAH,KABUPATEN WONOSOBO
19321,159,3040002,SMK NEGERI 2 PEKALONGAN,20329512,N,343,85.87,61.43,66.88,64.83,"69,75",3,4,0,2019,JAWA TENGAH,KOTA PEKALONGAN
27171,1,4010101,SMK NEGERI 2 YOGYAKARTA,20403280,N,676,85.86,64.83,53.78,56.15,"65,16",4,1,10,2019,DI YOGYAKARTA,KOTA YOGYAKARTA
1439,150,1030021,SMK NEGERI 42,20101500,N,244,85.84,67.79,69.51,67.47,"72,65",1,3,2,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
3391,438,1050068,SMK NEGERI 48,20103784,N,271,85.62,67.11,71.85,66.3,"72,72",1,5,6,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
19552,191,3060001,SMK NEGERI 1 MAGELANG,20327608,N,611,85.41,66.07,57.57,56.52,"66,39",3,6,0,2019,JAWA TENGAH,KOTA MAGELANG
23885,929,3230003,SMK NEGERI 3 JEPARA,20318318,N,470,85.37,61.48,61.23,63.88,"67,99",3,23,0,2019,JAWA TENGAH,KABUPATEN JEPARA
27194,24,4010132,SMK INDONESIA YOGYAKARTA,20407373,S,200,85.31,63.0,57.56,56.18,"65,51",4,1,13,2019,DI YOGYAKARTA,KOTA YOGYAKARTA
19104,108,3020211,SMK KATOLIK ST. MIKAEL SURAKARTA,20328116,S,167,85.28,69.31,53.52,45.28,"63,35",3,2,21,2019,JAWA TENGAH,KOTA SURAKARTA
19966,252,3070236,SMK TELKOM SANDHY PUTRA PURWOKERTO,20301902,S,337,85.23,66.85,53.81,60.27,"66,54",3,7,23,2019,JAWA TENGAH,KABUPATEN BANYUMAS
20993,413,3110004,SMK NEGERI 2 KEBUMEN,20330335,N,634,85.21,59.48,59.27,53.03,"64,25",3,11,0,2019,JAWA TENGAH,KABUPATEN KEBUMEN
19431,172,3050002,SMK NEGERI 2 SALATIGA,20328460,N,566,85.16,66.55,57.19,57.01,"66,48",3,5,0,2019,JAWA TENGAH,KOTA SALATIGA
780,76,1020021,SMK NEGERI 12 JAKARTA,20100783,N,176,85.14,66.01,68.79,66.95,"71,72",1,2,2,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
19928,214,3070004,SMK NEGERI 2 PURWOKERTO,20302129,N,507,85.1,64.48,52.3,53.56,"63,86",3,7,0,2019,JAWA TENGAH,KABUPATEN BANYUMAS
22273,656,3170001,SMK NEGERI 1 KARANGANYAR,20340792,N,523,85.06,57.22,55.8,59.49,"64,39",3,17,0,2019,JAWA TENGAH,KABUPATEN KARANGANYAR
324,9,1010011,SMK SINT JOSEPH,20100110,S,8,85.0,50.75,44.06,53.13,"58,24",1,1,1,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
11296,1402,2130466,SMK BAKTI NUSA,NP853813,S,6,85.0,62.0,60.42,49.17,"64,15",2,13,46,2019,JAWA BARAT,KABUPATEN BOGOR
3502,549,1050256,SMK CARAKA NUSANTARA,20103769,S,43,84.98,66.74,71.4,63.72,"71,71",1,5,25,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
23326,828,3210002,SMK NEGERI 2 WONOGIRI,20311043,N,509,84.96,58.06,50.6,49.26,"60,72",3,21,0,2019,JAWA TENGAH,KABUPATEN WONOGIRI
3387,434,1050064,SMK NEGERI 10,20103791,N,231,84.9,64.23,64.51,60.69,"68,58",1,5,6,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
25719,1276,3310001,SMK NEGERI 1 BATANG,20322727,N,366,84.84,58.57,57.27,63.16,"65,96",3,31,0,2019,JAWA TENGAH,KABUPATEN BATANG
2226,265,1040019,SMK NEGERI 6,20102579,N,261,84.75,69.1,64.77,63.32,"70,49",1,4,1,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
22578,692,3180003,SMK NEGERI 1 KLATEN,20309691,N,518,84.74,61.38,60.47,62.47,"67,27",3,18,0,2019,JAWA TENGAH,KABUPATEN KLATEN
19093,97,3020200,SMK ANALIS KESEHATAN NASIONAL SURAKARTA,20331829,S,124,84.73,64.37,56.51,73.31,"69,73",3,2,20,2019,JAWA TENGAH,KOTA SURAKARTA
1437,148,1030019,SMK NEGERI 45,20101499,N,222,84.69,66.64,65.32,64.58,"70,31",1,3,1,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
4295,126,2010913,SMK NEGERI 13 BANDUNG (4 TH KELAS 3),202191,N,203,84.61,67.59,57.68,55.91,"66,45",2,1,91,2019,JAWA BARAT,KOTA BANDUNG
21679,561,3140002,SMK NEGERI 2 TEMANGGUNG,20321448,N,442,84.59,58.8,65.12,62.22,"67,68",3,14,0,2019,JAWA TENGAH,KABUPATEN TEMANGGUNG
1440,151,1030022,SMK NEGERI 9,20101496,N,205,84.54,63.56,75.98,65.32,"72,35",1,3,2,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
782,78,1020023,SMK NEGERI 23 JAKARTA,20107433,N,199,84.46,60.77,69.82,62.22,"69,32",1,2,2,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
45396,41,8010901,SMK - SMAK 4 TAHUN PADANG,10307616,N,280,84.42,64.41,61.46,70.52,"70,20",8,1,90,2019,SUMATERA BARAT,KOTA PADANG
46566,1,9010021,SMK KEHUTANAN NEGERI PEKANBARU,10497348,N,102,84.41,68.24,64.44,62.72,"69,95",9,1,2,2019,RIAU,KOTA PEKANBARU
20437,313,3090002,SMK NEGERI 2 CILACAP,20300692,N,538,84.38,58.86,51.28,54.82,"62,34",3,9,0,2019,JAWA TENGAH,KABUPATEN CILACAP
2231,270,1040024,SMK NEGERI 25,20102586,N,168,84.36,64.45,65.94,61.44,"69,05",1,4,2,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
22274,657,3170002,SMK NEGERI 2 KARANGANYAR,20312071,N,416,84.33,57.49,51.73,55.07,"62,16",3,17,0,2019,JAWA TENGAH,KABUPATEN KARANGANYAR
27690,107,4030135,SMK NEGERI 1 PANJATAN,20407363,N,217,84.33,54.85,52.56,49.33,"60,27",4,3,13,2019,DI YOGYAKARTA,KABUPATEN KULON PROGO
22067,615,3160002,SMK NEGERI 1 BOYOLALI,20308466,N,459,84.31,58.01,58.46,58.06,"64,71",3,16,0,2019,JAWA TENGAH,KABUPATEN BOYOLALI
2230,269,1040023,SMK NEGERI 20,20102587,N,228,84.21,65.54,64.7,67.76,"70,55",1,4,2,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
26952,1477,3350001,SMK NEGERI  1 ADIWERNA,20325261,N,758,84.21,58.25,51.66,53.79,"61,98",3,35,0,2019,JAWA TENGAH,KABUPATEN TEGAL
45390,35,8010149,SMK SMTI PADANG,10308148,N,182,84.18,60.8,48.3,50.03,"60,83",8,1,14,2019,SUMATERA BARAT,KOTA PADANG
22626,740,3180904,SMK NEGERI 2 KLATEN,20309526,N,508,84.17,61.93,53.54,54.84,"63,62",3,18,90,2019,JAWA TENGAH,KABUPATEN KLATEN
24298,1005,3250001,SMK NEGERI 1 PATI,20339059,N,468,84.15,57.56,55.29,60.96,"64,49",3,25,0,2019,JAWA TENGAH,KABUPATEN PATI
3393,440,1050070,SMK NEGERI 51,20103781,N,262,84.15,65.98,71.59,63.07,"71,20",1,5,7,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
29551,195,5040107,SMK NEGERI 2 KEDIRI,20534408,N,672,84.14,60.49,57.71,62.58,"66,23",5,4,10,2019,JAWA TIMUR,KOTA KEDIRI
332,17,1010019,SMK NEGERI 19,20100160,N,194,84.13,66.06,60.59,59.69,"67,62",1,1,1,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
27181,11,4010114,SMK NEGERI 6 YOGYAKARTA,20404182,N,378,84.1,63.93,53.01,64.13,"66,29",4,1,11,2019,DI YOGYAKARTA,KOTA YOGYAKARTA
20110,287,3080001,SMK NEGERI 1 BAWANG,20303942,N,667,84.07,59.42,56.19,59.21,"64,72",3,8,0,2019,JAWA TENGAH,KABUPATEN BANJARNEGARA
67628,1,28010101,"SMK NEGERI 1 TAMANSARI, PANGKALPINANG",10901156,N,291,84.06,62.54,64.24,61.42,"68,07",28,1,10,2019,BANGKA BELITUNG,KOTA PANGKALPINANG
2306,345,1040115,SMK NEGERI 57,20102598,N,335,84.04,71.44,53.47,70.43,"69,85",1,4,11,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
19089,93,3020006,SMK NEGERI 6 SURAKARTA,20328128,N,406,83.94,62.44,59.01,57.99,"65,85",3,2,0,2019,JAWA TENGAH,KOTA SURAKARTA
26600,1427,3340001,SMK NEGERI 1 PEMALANG,20324238,N,636,83.93,55.53,54.77,60.06,"63,57",3,34,0,2019,JAWA TENGAH,KABUPATEN PEMALANG
19237,138,3030002,SMK NEGERI 2 TEGAL,20329841,N,315,83.89,56.7,56.02,59.72,"64,08",3,3,0,2019,JAWA TENGAH,KOTA TEGAL
2232,271,1040025,SMK NEGERI 41,20102580,N,230,83.88,63.61,58.11,58.26,"65,97",1,4,2,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
19430,171,3050001,SMK NEGERI 1 SALATIGA,20328453,N,406,83.87,57.2,58.5,62.35,"65,48",3,5,0,2019,JAWA TENGAH,KOTA SALATIGA
40681,133,7010252,SMK SWASTA DR SJAHRIR,69727262,S,13,83.85,75.08,66.73,81.73,"76,85",7,1,25,2019,SUMATERA UTARA,KOTA MEDAN
1436,147,1030018,SMK NEGERI 17,20101502,N,174,83.74,60.01,64.31,66.82,"68,72",1,3,1,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
34333,1051,5260101,SMK NEGERI 1 POGALAN,20542523,N,562,83.68,58.06,53.27,62.66,"64,42",5,26,10,2019,JAWA TIMUR,KABUPATEN TRENGGALEK
21520,520,3130003,SMK NEGERI 3 PURWOREJO,20306070,N,278,83.59,54.65,49.42,61.04,"62,18",3,13,0,2019,JAWA TENGAH,KABUPATEN PURWOREJO
