No,Kode,Kabupaten,JumlahSekolah,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,Tahun,KdProv,Provinsi
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,14,2798,73.4,68.51,56.0,84.69,"70,65",2015,1,DKI JAKARTA
2.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,14,2798,80.7,79.32,79.69,83.36,"80,77",2015,1,DKI JAKARTA
3.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,9,2143,73.45,61.52,58.05,81.8,"68,71",2015,1,DKI JAKARTA
4.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,9,2143,84.35,81.81,81.8,85.83,"83,45",2015,1,DKI JAKARTA
5.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,9,2169,72.61,67.59,55.13,87.79,"70,78",2015,1,DKI JAKARTA
6.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,9,2169,82.72,81.45,81.95,85.15,"82,82",2015,1,DKI JAKARTA
7.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,18,3773,76.31,71.72,61.11,85.96,"73,78",2015,1,DKI JAKARTA
8.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,18,3773,80.42,79.66,79.54,82.53,"80,54",2015,1,DKI JAKARTA
9.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,14,3853,77.53,73.72,70.61,83.51,"76,34",2015,1,DKI JAKARTA
10.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,14,3853,80.17,80.5,79.82,83.88,"81,09",2015,1,DKI JAKARTA
11.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2015,1,DKI JAKARTA
12.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2015,1,DKI JAKARTA
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,14,2642,75.35,67.7,59.36,78.39,"70,20",2016,1,DKI JAKARTA
2.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,9,2143,74.37,62.76,55.92,77.64,"67,67",2016,1,DKI JAKARTA
3.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,9,1982,73.89,64.24,59.68,79.26,"69,27",2016,1,DKI JAKARTA
4.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,18,3714,75.98,71.49,67.28,79.2,"73,49",2016,1,DKI JAKARTA
5.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,14,3470,76.7,73.59,69.8,81.18,"75,32",2016,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2016,1,DKI JAKARTA
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,14,2823,75.96,56.87,52.15,80.67,"66,41",2017,1,DKI JAKARTA
2.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,9,2174,75.61,54.48,54.1,78.03,"65,56",2017,1,DKI JAKARTA
3.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,9,2074,76.78,57.56,56.55,82.35,"68,31",2017,1,DKI JAKARTA
4.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,18,3666,77.38,61.6,58.7,82.24,"69,98",2017,1,DKI JAKARTA
5.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,13,3175,78.11,62.88,62.81,81.66,"71,37",2017,1,DKI JAKARTA
6.0, 0106,KAB. ADMINISTRASI KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2017,1,DKI JAKARTA
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,14,2806,77.0,58.79,50.17,53.6,"59,89",2018,1,DKI JAKARTA
2.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,9,2122,78.76,59.52,53.61,52.64,"61,13",2018,1,DKI JAKARTA
3.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,9,2023,79.91,61.05,58.34,60.44,"64,94",2018,1,DKI JAKARTA
4.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,18,3649,78.62,61.35,55.35,61.43,"64,19",2018,1,DKI JAKARTA
5.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,14,3602,78.95,62.89,56.94,56.55,"63,83",2018,1,DKI JAKARTA
6.0, 0106,KAB. ADMINISTRASI KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2018,1,DKI JAKARTA
1.0, 0101,JAKARTA PUSAT,14,2825,80.45,60.64,52.97,56.73,"62,70",2019,1,DKI JAKARTA
2.0, 0102,JAKARTA UTARA,9,2084,80.05,57.94,52.55,53.14,"60,92",2019,1,DKI JAKARTA
3.0, 0103,JAKARTA BARAT,9,2047,82.52,61.88,61.73,61.52,"66,91",2019,1,DKI JAKARTA
4.0, 0104,JAKARTA SELATAN,18,3875,82.24,63.79,58.65,63.37,"67,01",2019,1,DKI JAKARTA
5.0, 0105,JAKARTA TIMUR,13,3365,81.64,61.91,56.42,57.39,"64,34",2019,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2019,1,DKI JAKARTA
13.0, 0201,KOTA BANDUNG,18,7504,73.07,67.25,61.08,79.43,"70,21",2015,2,JAWA BARAT
14.0, 0201,KOTA BANDUNG,18,7504,83.83,81.32,80.95,83.72,"82,46",2015,2,JAWA BARAT
15.0, 0202,KOTA BANJAR,4,1279,69.59,59.21,58.02,78.19,"66,25",2015,2,JAWA BARAT
16.0, 0202,KOTA BANJAR,4,1279,82.57,82.09,80.89,84.09,"82,41",2015,2,JAWA BARAT
17.0, 0203,KOTA BEKASI,10,2693,72.58,63.3,60.24,77.16,"68,32",2015,2,JAWA BARAT
18.0, 0203,KOTA BEKASI,10,2693,83.57,82.75,81.28,83.75,"82,84",2015,2,JAWA BARAT
19.0, 0204,KOTA BOGOR,7,2115,78.12,68.41,59.56,81.72,"71,95",2015,2,JAWA BARAT
20.0, 0204,KOTA BOGOR,7,2115,81.29,82.03,80.42,83.86,"81,90",2015,2,JAWA BARAT
21.0, 0205,KOTA CIMAHI,4,1791,78.13,71.97,64.68,79.76,"73,64",2015,2,JAWA BARAT
22.0, 0205,KOTA CIMAHI,4,1791,79.79,81.01,81.29,82.14,"81,06",2015,2,JAWA BARAT
23.0, 0206,KOTA CIREBON,2,848,66.77,54.93,39.11,80.33,"60,29",2015,2,JAWA BARAT
24.0, 0206,KOTA CIREBON,2,848,79.27,77.49,77.48,80.78,"78,76",2015,2,JAWA BARAT
25.0, 0207,KOTA DEPOK,3,934,71.27,62.71,53.11,80.68,"66,94",2015,2,JAWA BARAT
26.0, 0207,KOTA DEPOK,3,934,84.43,85.32,84.72,85.55,"85,01",2015,2,JAWA BARAT
27.0, 0208,KOTA SUKABUMI,4,1485,69.6,57.33,39.89,78.44,"61,32",2015,2,JAWA BARAT
28.0, 0208,KOTA SUKABUMI,4,1485,84.09,80.33,78.77,83.4,"81,65",2015,2,JAWA BARAT
29.0, 0209,KOTA TASIKMALAYA,4,1720,71.53,66.67,61.12,79.63,"69,74",2015,2,JAWA BARAT
30.0, 0209,KOTA TASIKMALAYA,4,1720,83.97,82.08,83.63,83.7,"83,35",2015,2,JAWA BARAT
31.0, 0210,KABUPATEN BANDUNG,8,2108,69.55,61.91,56.46,78.25,"66,54",2015,2,JAWA BARAT
32.0, 0210,KABUPATEN BANDUNG,8,2108,81.41,78.97,77.64,82.33,"80,09",2015,2,JAWA BARAT
33.0, 0211,KABUPATEN BANDUNG BARAT,6,1029,68.1,61.2,57.84,80.91,"67,01",2015,2,JAWA BARAT
34.0, 0211,KABUPATEN BANDUNG BARAT,6,1029,81.94,80.74,79.93,83.07,"81,42",2015,2,JAWA BARAT
35.0, 0212,KABUPATEN BEKASI,13,3380,64.48,59.41,56.83,78.37,"64,77",2015,2,JAWA BARAT
36.0, 0212,KABUPATEN BEKASI,13,3380,82.29,80.72,80.77,83.03,"81,70",2015,2,JAWA BARAT
37.0, 0213,KABUPATEN BOGOR,8,1748,70.79,64.87,50.65,80.08,"66,60",2015,2,JAWA BARAT
38.0, 0213,KABUPATEN BOGOR,8,1748,83.6,82.84,81.71,83.68,"82,96",2015,2,JAWA BARAT
39.0, 0214,KABUPATEN CIAMIS,6,1769,70.76,55.21,51.75,76.9,"63,66",2015,2,JAWA BARAT
40.0, 0214,KABUPATEN CIAMIS,6,1769,84.34,83.25,82.69,84.6,"83,72",2015,2,JAWA BARAT
41.0, 0215,KABUPATEN CIANJUR,27,3892,67.85,66.81,65.49,76.82,"69,24",2015,2,JAWA BARAT
42.0, 0215,KABUPATEN CIANJUR,27,3892,86.47,84.78,84.64,85.92,"85,45",2015,2,JAWA BARAT
43.0, 0216,KABUPATEN CIREBON,7,2573,66.76,47.17,37.01,81.36,"58,08",2015,2,JAWA BARAT
44.0, 0216,KABUPATEN CIREBON,7,2573,80.29,79.81,79.56,81.82,"80,37",2015,2,JAWA BARAT
45.0, 0217,KABUPATEN GARUT,14,3215,66.67,59.03,55.87,81.61,"65,80",2015,2,JAWA BARAT
46.0, 0217,KABUPATEN GARUT,14,3215,83.43,83.19,82.29,85.15,"83,52",2015,2,JAWA BARAT
47.0, 0218,KABUPATEN INDRAMAYU,19,4546,60.37,43.8,31.14,76.34,"52,91",2015,2,JAWA BARAT
48.0, 0218,KABUPATEN INDRAMAYU,19,4546,84.39,83.66,83.67,86.04,"84,44",2015,2,JAWA BARAT
49.0, 0219,KABUPATEN KARAWANG,18,4841,60.41,42.53,29.05,77.89,"52,47",2015,2,JAWA BARAT
50.0, 0219,KABUPATEN KARAWANG,18,4841,83.02,81.28,80.85,81.89,"81,76",2015,2,JAWA BARAT
51.0, 0220,KABUPATEN KUNINGAN,9,3001,66.13,47.54,35.17,81.37,"57,55",2015,2,JAWA BARAT
52.0, 0220,KABUPATEN KUNINGAN,9,3001,81.82,79.38,79.39,83.83,"81,11",2015,2,JAWA BARAT
53.0, 0221,KABUPATEN MAJALENGKA,11,3376,67.83,49.64,37.49,80.84,"58,95",2015,2,JAWA BARAT
54.0, 0221,KABUPATEN MAJALENGKA,11,3376,83.49,81.36,81.98,83.54,"82,59",2015,2,JAWA BARAT
55.0, 0222,KABUPATEN PURWAKARTA,5,1922,65.83,60.47,56.99,78.7,"65,50",2015,2,JAWA BARAT
56.0, 0222,KABUPATEN PURWAKARTA,5,1922,83.1,80.61,80.05,83.98,"81,94",2015,2,JAWA BARAT
57.0, 0223,KABUPATEN SUBANG,12,2478,66.47,63.0,59.56,78.21,"66,81",2015,2,JAWA BARAT
58.0, 0223,KABUPATEN SUBANG,12,2478,83.1,80.61,80.27,85.14,"82,28",2015,2,JAWA BARAT
59.0, 0224,KABUPATEN SUKABUMI,11,1889,60.41,47.05,32.5,78.42,"54,60",2015,2,JAWA BARAT
60.0, 0224,KABUPATEN SUKABUMI,11,1889,82.87,80.09,78.82,81.78,"80,89",2015,2,JAWA BARAT
61.0, 0225,KABUPATEN SUMEDANG,7,1592,71.64,65.99,54.43,81.12,"68,30",2015,2,JAWA BARAT
62.0, 0225,KABUPATEN SUMEDANG,7,1592,86.0,85.35,85.74,86.05,"85,79",2015,2,JAWA BARAT
63.0, 0226,KABUPATEN TASIKMALAYA,12,2145,67.18,62.09,58.68,80.2,"67,04",2015,2,JAWA BARAT
64.0, 0226,KABUPATEN TASIKMALAYA,12,2145,81.75,82.24,81.06,83.53,"82,15",2015,2,JAWA BARAT
65.0, 0227,KABUPATEN PANGANDARAN,3,1152,67.25,58.27,56.84,75.07,"64,36",2015,2,JAWA BARAT
66.0, 0227,KABUPATEN PANGANDARAN,3,1152,84.06,81.33,81.53,82.83,"82,44",2015,2,JAWA BARAT
7.0, 0201,KOTA BANDUNG,17,6536,71.58,62.62,44.41,76.65,"63,82",2016,2,JAWA BARAT
8.0, 0202,KOTA BANJAR,4,1495,70.58,48.8,33.67,76.62,"57,42",2016,2,JAWA BARAT
9.0, 0203,KOTA BEKASI,11,3703,72.45,59.15,42.28,76.53,"62,60",2016,2,JAWA BARAT
10.0, 0204,KOTA BOGOR,6,1923,75.69,66.14,49.16,76.86,"66,96",2016,2,JAWA BARAT
11.0, 0205,KOTA CIMAHI,4,1815,76.68,70.9,61.38,75.6,"71,14",2016,2,JAWA BARAT
12.0, 0206,KOTA CIREBON,2,919,69.43,51.69,35.2,75.17,"57,87",2016,2,JAWA BARAT
13.0, 0207,KOTA DEPOK,3,1138,70.88,58.49,41.89,73.77,"61,26",2016,2,JAWA BARAT
14.0, 0208,KOTA SUKABUMI,4,1607,69.93,54.3,36.0,76.9,"59,28",2016,2,JAWA BARAT
15.0, 0209,KOTA TASIKMALAYA,4,1781,72.7,53.06,40.8,77.29,"60,96",2016,2,JAWA BARAT
16.0, 0210,KABUPATEN BANDUNG,9,2268,72.76,56.31,38.37,75.81,"60,81",2016,2,JAWA BARAT
17.0, 0211,KABUPATEN BANDUNG BARAT,8,1181,66.14,48.18,30.41,75.16,"54,97",2016,2,JAWA BARAT
18.0, 0212,KABUPATEN BEKASI,13,3666,66.54,52.74,41.54,77.08,"59,48",2016,2,JAWA BARAT
19.0, 0213,KABUPATEN BOGOR,9,2118,72.4,62.25,43.59,74.41,"63,16",2016,2,JAWA BARAT
20.0, 0214,KABUPATEN CIAMIS,7,2043,68.37,48.76,34.8,75.91,"56,96",2016,2,JAWA BARAT
21.0, 0215,KABUPATEN CIANJUR,28,4741,64.6,53.07,42.16,75.08,"58,73",2016,2,JAWA BARAT
22.0, 0216,KABUPATEN CIREBON,7,2621,71.19,57.14,48.3,79.33,"63,99",2016,2,JAWA BARAT
23.0, 0217,KABUPATEN GARUT,14,3755,64.83,47.72,34.05,75.75,"55,59",2016,2,JAWA BARAT
24.0, 0218,KABUPATEN INDRAMAYU,19,4751,63.2,45.7,29.69,73.9,"53,12",2016,2,JAWA BARAT
25.0, 0219,KABUPATEN KARAWANG,18,4785,63.91,48.31,34.33,74.3,"55,21",2016,2,JAWA BARAT
26.0, 0220,KABUPATEN KUNINGAN,9,3265,68.64,49.86,36.87,76.98,"58,09",2016,2,JAWA BARAT
27.0, 0221,KABUPATEN MAJALENGKA,10,3582,67.87,49.77,35.85,73.18,"56,67",2016,2,JAWA BARAT
28.0, 0222,KABUPATEN PURWAKARTA,6,2571,66.72,46.21,27.27,76.66,"54,22",2016,2,JAWA BARAT
29.0, 0223,KABUPATEN SUBANG,15,2299,63.83,46.91,33.9,72.77,"54,35",2016,2,JAWA BARAT
30.0, 0224,KABUPATEN SUKABUMI,11,1879,65.32,52.67,39.64,76.19,"58,46",2016,2,JAWA BARAT
31.0, 0225,KABUPATEN SUMEDANG,7,1564,71.98,60.16,48.3,77.67,"64,53",2016,2,JAWA BARAT
32.0, 0226,KABUPATEN TASIKMALAYA,11,2161,65.49,47.68,34.3,74.78,"55,56",2016,2,JAWA BARAT
33.0, 0227,KABUPATEN PANGANDARAN,3,1061,63.96,43.32,27.13,70.43,"51,21",2016,2,JAWA BARAT
7.0, 0201,KOTA BANDUNG,16,6693,72.42,53.61,43.81,78.62,"62,12",2017,2,JAWA BARAT
8.0, 0202,KOTA BANJAR,4,1475,68.22,39.59,35.63,77.29,"55,18",2017,2,JAWA BARAT
9.0, 0203,KOTA BEKASI,11,2920,74.44,53.02,46.88,76.55,"62,72",2017,2,JAWA BARAT
10.0, 0204,KOTA BOGOR,5,1721,76.76,59.98,50.26,77.94,"66,24",2017,2,JAWA BARAT
11.0, 0205,KOTA CIMAHI,3,1249,74.26,62.58,53.6,77.91,"67,09",2017,2,JAWA BARAT
12.0, 0206,KOTA CIREBON,2,1076,68.75,42.59,36.44,74.93,"55,68",2017,2,JAWA BARAT
13.0, 0207,KOTA DEPOK,3,1398,71.65,50.6,41.17,76.01,"59,86",2017,2,JAWA BARAT
14.0, 0208,KOTA SUKABUMI,4,1595,68.33,43.9,36.61,75.88,"56,18",2017,2,JAWA BARAT
15.0, 0209,KOTA TASIKMALAYA,4,1695,69.43,42.89,40.18,76.72,"57,31",2017,2,JAWA BARAT
16.0, 0210,KABUPATEN BANDUNG,10,2614,66.84,42.31,35.14,73.76,"54,51",2017,2,JAWA BARAT
17.0, 0211,KABUPATEN BANDUNG BARAT,8,1420,66.32,39.8,34.11,73.96,"53,55",2017,2,JAWA BARAT
18.0, 0212,KABUPATEN BEKASI,13,4212,63.13,38.05,34.61,70.71,"51,63",2017,2,JAWA BARAT
19.0, 0213,KABUPATEN BOGOR,10,2241,70.81,48.88,40.31,74.17,"58,54",2017,2,JAWA BARAT
20.0, 0214,KABUPATEN CIAMIS,7,2157,68.41,40.88,38.3,75.55,"55,79",2017,2,JAWA BARAT
21.0, 0215,KABUPATEN CIANJUR,28,4801,63.48,39.08,34.26,74.51,"52,83",2017,2,JAWA BARAT
22.0, 0216,KABUPATEN CIREBON,7,2801,67.9,40.06,37.77,75.1,"55,21",2017,2,JAWA BARAT
23.0, 0217,KABUPATEN GARUT,14,4091,64.24,37.84,32.99,73.88,"52,24",2017,2,JAWA BARAT
24.0, 0218,KABUPATEN INDRAMAYU,19,5279,62.76,35.84,31.99,73.33,"50,98",2017,2,JAWA BARAT
25.0, 0219,KABUPATEN KARAWANG,18,4859,61.63,36.45,32.37,71.6,"50,51",2017,2,JAWA BARAT
26.0, 0220,KABUPATEN KUNINGAN,9,3360,67.46,39.21,36.9,75.67,"54,81",2017,2,JAWA BARAT
27.0, 0221,KABUPATEN MAJALENGKA,11,3794,68.05,39.46,36.6,73.86,"54,49",2017,2,JAWA BARAT
28.0, 0222,KABUPATEN PURWAKARTA,15,3670,62.15,36.51,29.59,72.19,"50,11",2017,2,JAWA BARAT
29.0, 0223,KABUPATEN SUBANG,15,2265,63.6,35.08,31.49,72.07,"50,56",2017,2,JAWA BARAT
30.0, 0224,KABUPATEN SUKABUMI,11,1786,62.9,38.76,33.96,72.93,"52,14",2017,2,JAWA BARAT
31.0, 0225,KABUPATEN SUMEDANG,7,1797,67.84,40.86,34.96,74.88,"54,64",2017,2,JAWA BARAT
32.0, 0226,KABUPATEN TASIKMALAYA,12,2320,66.36,37.85,35.67,75.13,"53,75",2017,2,JAWA BARAT
33.0, 0227,KABUPATEN PANGANDARAN,3,1080,64.61,36.24,32.77,71.26,"51,22",2017,2,JAWA BARAT
7.0, 0201,KOTA BANDUNG,18,7793,71.81,53.89,38.82,52.62,"54,29",2018,2,JAWA BARAT
8.0, 0202,KOTA BANJAR,4,1764,68.07,41.48,33.82,44.28,"46,91",2018,2,JAWA BARAT
9.0, 0203,KOTA BEKASI,12,3716,74.61,55.5,40.79,48.71,"54,90",2018,2,JAWA BARAT
10.0, 0204,KOTA BOGOR,6,2168,77.72,64.88,51.04,54.91,"62,14",2018,2,JAWA BARAT
11.0, 0205,KOTA CIMAHI,4,2171,75.71,59.99,52.55,56.67,"61,23",2018,2,JAWA BARAT
12.0, 0206,KOTA CIREBON,2,1333,68.58,44.6,32.74,44.18,"47,53",2018,2,JAWA BARAT
13.0, 0207,KOTA DEPOK,4,1332,72.23,54.27,38.63,45.8,"52,73",2018,2,JAWA BARAT
14.0, 0208,KOTA SUKABUMI,4,1707,67.47,44.9,33.26,48.15,"48,45",2018,2,JAWA BARAT
15.0, 0209,KOTA TASIKMALAYA,4,1967,67.59,43.39,34.78,51.66,"49,36",2018,2,JAWA BARAT
16.0, 0210,KABUPATEN BANDUNG,11,3171,67.11,45.35,33.05,43.92,"47,36",2018,2,JAWA BARAT
17.0, 0211,KABUPATEN BANDUNG BARAT,8,1607,67.63,43.07,32.55,47.02,"47,57",2018,2,JAWA BARAT
18.0, 0212,KABUPATEN BEKASI,13,5138,62.94,39.27,31.71,37.52,"42,86",2018,2,JAWA BARAT
19.0, 0213,KABUPATEN BOGOR,10,2560,70.48,51.81,36.27,47.12,"51,42",2018,2,JAWA BARAT
20.0, 0214,KABUPATEN CIAMIS,7,2374,68.64,42.91,34.56,46.48,"48,15",2018,2,JAWA BARAT
21.0, 0215,KABUPATEN CIANJUR,28,5427,61.55,39.91,31.46,45.8,"44,68",2018,2,JAWA BARAT
22.0, 0216,KABUPATEN CIREBON,7,3490,67.41,42.38,33.88,46.11,"47,45",2018,2,JAWA BARAT
23.0, 0217,KABUPATEN GARUT,14,4337,63.9,39.52,30.72,41.3,"43,86",2018,2,JAWA BARAT
24.0, 0218,KABUPATEN INDRAMAYU,19,5746,62.42,38.06,30.57,39.87,"42,73",2018,2,JAWA BARAT
25.0, 0219,KABUPATEN KARAWANG,19,6007,61.9,37.96,30.39,38.95,"42,30",2018,2,JAWA BARAT
26.0, 0220,KABUPATEN KUNINGAN,9,3770,67.26,40.42,33.06,44.87,"46,40",2018,2,JAWA BARAT
27.0, 0221,KABUPATEN MAJALENGKA,11,4220,67.32,41.02,32.62,43.5,"46,12",2018,2,JAWA BARAT
28.0, 0222,KABUPATEN PURWAKARTA,15,4310,61.78,37.79,28.97,38.51,"41,76",2018,2,JAWA BARAT
29.0, 0223,KABUPATEN SUBANG,15,2994,64.04,37.71,30.82,40.55,"43,28",2018,2,JAWA BARAT
30.0, 0224,KABUPATEN SUKABUMI,11,2046,62.73,40.62,31.48,39.42,"43,56",2018,2,JAWA BARAT
31.0, 0225,KABUPATEN SUMEDANG,7,2247,67.0,42.2,31.74,44.35,"46,32",2018,2,JAWA BARAT
32.0, 0226,KABUPATEN TASIKMALAYA,12,2556,64.96,37.97,31.93,45.17,"45,01",2018,2,JAWA BARAT
33.0, 0227,KABUPATEN PANGANDARAN,4,1166,65.26,38.63,30.14,40.71,"43,69",2018,2,JAWA BARAT
7.0, 0201,KOTA BANDUNG,18,7671,76.43,55.47,40.73,52.81,"56,36",2019,2,JAWA BARAT
8.0, 0202,KOTA BANJAR,4,1852,70.16,42.16,34.8,46.3,"48,36",2019,2,JAWA BARAT
9.0, 0203,KOTA BEKASI,15,4521,75.48,52.57,39.94,48.33,"54,08",2019,2,JAWA BARAT
10.0, 0204,KOTA BOGOR,5,2026,79.05,59.35,46.62,55.56,"60,15",2019,2,JAWA BARAT
11.0, 0205,KOTA CIMAHI,3,1772,76.73,54.85,44.15,55.56,"57,82",2019,2,JAWA BARAT
12.0, 0206,KOTA CIREBON,2,1383,72.23,46.9,35.61,47.68,"50,61",2019,2,JAWA BARAT
13.0, 0207,KOTA DEPOK,4,1632,74.73,53.14,38.56,50.0,"54,11",2019,2,JAWA BARAT
14.0, 0208,KOTA SUKABUMI,4,1803,69.89,45.5,34.94,47.31,"49,41",2019,2,JAWA BARAT
15.0, 0209,KOTA TASIKMALAYA,4,2291,70.14,43.79,36.46,50.67,"50,27",2019,2,JAWA BARAT
16.0, 0210,KABUPATEN BANDUNG,11,3544,70.23,45.66,35.21,47.21,"49,58",2019,2,JAWA BARAT
17.0, 0211,KABUPATEN BANDUNG BARAT,9,1864,69.06,43.31,34.09,46.42,"48,22",2019,2,JAWA BARAT
18.0, 0212,KABUPATEN BEKASI,13,5126,65.6,40.95,33.62,40.62,"45,20",2019,2,JAWA BARAT
19.0, 0213,KABUPATEN BOGOR,11,2732,74.53,52.4,38.16,48.19,"53,32",2019,2,JAWA BARAT
20.0, 0214,KABUPATEN CIAMIS,7,2524,72.17,44.42,37.15,47.63,"50,34",2019,2,JAWA BARAT
21.0, 0215,KABUPATEN CIANJUR,28,5745,64.13,42.56,34.43,47.38,"47,13",2019,2,JAWA BARAT
22.0, 0216,KABUPATEN CIREBON,7,3455,68.77,42.35,35.92,45.88,"48,23",2019,2,JAWA BARAT
23.0, 0217,KABUPATEN GARUT,14,4426,65.98,41.82,34.5,43.18,"46,37",2019,2,JAWA BARAT
24.0, 0218,KABUPATEN INDRAMAYU,19,5878,65.1,39.79,33.2,40.8,"44,72",2019,2,JAWA BARAT
25.0, 0219,KABUPATEN KARAWANG,18,6735,65.89,40.61,33.47,42.08,"45,51",2019,2,JAWA BARAT
26.0, 0220,KABUPATEN KUNINGAN,9,3885,70.17,42.44,35.96,45.93,"48,63",2019,2,JAWA BARAT
27.0, 0221,KABUPATEN MAJALENGKA,11,4582,69.01,42.66,36.08,45.6,"48,34",2019,2,JAWA BARAT
28.0, 0222,KABUPATEN PURWAKARTA,15,4218,64.53,39.57,31.87,41.79,"44,44",2019,2,JAWA BARAT
29.0, 0223,KABUPATEN SUBANG,16,3531,65.35,38.88,32.49,41.4,"44,53",2019,2,JAWA BARAT
30.0, 0224,KABUPATEN SUKABUMI,11,2387,63.92,41.28,33.86,42.52,"45,40",2019,2,JAWA BARAT
31.0, 0225,KABUPATEN SUMEDANG,7,2247,70.08,44.03,35.51,47.14,"49,19",2019,2,JAWA BARAT
32.0, 0226,KABUPATEN TASIKMALAYA,12,2929,67.21,42.26,35.8,47.13,"48,10",2019,2,JAWA BARAT
33.0, 0227,KABUPATEN PANGANDARAN,4,1433,67.24,39.67,32.37,42.32,"45,40",2019,2,JAWA BARAT
67.0, 0301,KOTA SEMARANG,12,5264,78.55,67.3,77.22,86.34,"77,35",2015,3,JAWA TENGAH
68.0, 0301,KOTA SEMARANG,12,5264,81.85,81.21,80.67,83.6,"81,83",2015,3,JAWA TENGAH
69.0, 0302,KOTA SURAKARTA,9,3835,76.18,60.02,63.87,81.25,"70,33",2015,3,JAWA TENGAH
70.0, 0302,KOTA SURAKARTA,9,3835,83.41,81.4,81.77,85.38,"82,99",2015,3,JAWA TENGAH
71.0, 0303,KOTA TEGAL,3,972,77.0,64.54,63.79,88.03,"73,34",2015,3,JAWA TENGAH
72.0, 0303,KOTA TEGAL,3,972,79.87,78.56,78.47,82.98,"79,97",2015,3,JAWA TENGAH
73.0, 0304,KOTA PEKALONGAN,4,939,77.28,59.19,63.99,86.54,"71,75",2015,3,JAWA TENGAH
74.0, 0304,KOTA PEKALONGAN,4,939,80.12,78.25,79.42,83.29,"80,27",2015,3,JAWA TENGAH
75.0, 0305,KOTA SALATIGA,3,1274,80.15,63.65,69.56,83.7,"74,27",2015,3,JAWA TENGAH
76.0, 0305,KOTA SALATIGA,3,1274,81.96,81.15,80.22,84.44,"81,94",2015,3,JAWA TENGAH
77.0, 0306,KOTA MAGELANG,3,1217,84.76,72.34,81.12,88.23,"81,61",2015,3,JAWA TENGAH
78.0, 0306,KOTA MAGELANG,3,1217,81.33,81.47,83.11,85.79,"82,93",2015,3,JAWA TENGAH
79.0, 0307,KABUPATEN BANYUMAS,9,2659,79.49,61.54,64.27,86.61,"72,98",2015,3,JAWA TENGAH
80.0, 0307,KABUPATEN BANYUMAS,9,2659,82.36,80.72,80.96,84.69,"82,18",2015,3,JAWA TENGAH
81.0, 0308,KABUPATEN BANJARNEGARA,5,1316,79.83,61.2,66.93,83.51,"72,87",2015,3,JAWA TENGAH
82.0, 0308,KABUPATEN BANJARNEGARA,5,1316,85.25,84.28,84.38,86.29,"85,05",2015,3,JAWA TENGAH
83.0, 0309,KABUPATEN CILACAP,7,2492,81.69,66.22,73.55,86.9,"77,09",2015,3,JAWA TENGAH
84.0, 0309,KABUPATEN CILACAP,7,2492,81.53,78.93,81.75,82.96,"81,29",2015,3,JAWA TENGAH
85.0, 0310,KABUPATEN PURBALINGGA,11,2107,78.56,57.77,60.92,83.93,"70,30",2015,3,JAWA TENGAH
86.0, 0310,KABUPATEN PURBALINGGA,11,2107,79.95,76.9,78.19,82.03,"79,27",2015,3,JAWA TENGAH
87.0, 0311,KABUPATEN KEBUMEN,7,2345,83.02,64.23,74.47,89.8,"77,88",2015,3,JAWA TENGAH
88.0, 0311,KABUPATEN KEBUMEN,7,2345,87.14,82.85,84.75,84.43,"84,79",2015,3,JAWA TENGAH
89.0, 0312,KABUPATEN MAGELANG,3,585,80.29,60.42,69.63,90.69,"75,26",2015,3,JAWA TENGAH
