No,Kode,Kabupaten,JumlahSekolah,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,Tahun,KdProv,Provinsi_x,Provinsi_y,Provinsi
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,66,7202,68.05,63.46,47.22,85.76,"66,12",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
2.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,66,7202,80.62,79.78,79.67,82.86,"80,73",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
3.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,78,8510,62.24,55.83,39.26,83.75,"60,27",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
4.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,78,8510,82.48,81.06,80.96,83.74,"82,06",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
5.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,118,12368,65.53,66.21,48.55,88.34,"67,16",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
6.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,118,12368,83.52,82.73,82.37,84.51,"83,28",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
7.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,136,15424,67.01,63.92,43.54,86.26,"65,18",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
8.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,136,15424,80.3,78.98,78.37,81.64,"79,82",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
9.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,199,20726,66.97,65.9,49.48,85.65,"67,00",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
10.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,199,20726,82.5,81.83,81.51,83.72,"82,39",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
11.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
12.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,62,7053,70.68,58.53,46.46,79.1,"63,69",2016,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
2.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,78,8514,64.66,50.17,37.18,75.92,"56,98",2016,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
3.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,118,12710,66.83,51.81,38.18,81.94,"59,69",2016,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
4.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,136,15442,69.38,57.64,45.33,78.0,"62,59",2016,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
5.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,200,20654,68.19,57.2,43.87,80.12,"62,35",2016,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2016,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,61,7282,69.49,48.78,42.57,76.31,"59,29",2017,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
2.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,78,8793,65.46,41.63,37.18,72.87,"54,29",2017,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
3.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,115,13251,65.84,42.42,37.14,75.33,"55,18",2017,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
4.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,133,15245,68.92,47.17,40.27,76.03,"58,10",2017,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
5.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,197,20132,67.92,45.7,40.65,74.45,"57,18",2017,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
6.0, 0106,KAB. ADMINISTRASI KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2017,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,61,7804,70.13,51.06,42.64,48.26,"53,02",2018,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
2.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,77,9312,66.94,44.71,37.04,42.8,"47,87",2018,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
3.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,116,14072,66.78,45.05,37.64,45.83,"48,83",2018,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
4.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,131,15831,69.65,48.87,39.48,49.44,"51,86",2018,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
5.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,195,21453,69.09,47.89,39.63,46.27,"50,72",2018,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
6.0, 0106,KAB. ADMINISTRASI KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2018,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
1.0, 0101,JAKARTA PUSAT,58,7430,73.12,52.73,44.42,50.26,"55,13",2019,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
2.0, 0102,JAKARTA UTARA,76,9440,68.45,45.42,37.86,43.68,"48,85",2019,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
3.0, 0103,JAKARTA BARAT,117,14790,68.49,45.78,38.62,45.71,"49,65",2019,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
4.0, 0104,JAKARTA SELATAN,132,15918,71.82,49.59,41.11,49.84,"53,09",2019,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
5.0, 0105,JAKARTA TIMUR,194,21215,70.66,48.2,39.69,46.3,"51,21",2019,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2019,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
13.0, 0201,KOTA BANDUNG,128,18349,68.16,60.02,54.67,78.02,"65,22",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
14.0, 0201,KOTA BANDUNG,128,18349,83.54,81.88,81.63,84.12,"82,79",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
15.0, 0202,KOTA BANJAR,13,2150,65.82,55.31,53.87,77.35,"63,09",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
16.0, 0202,KOTA BANJAR,13,2150,82.48,81.58,80.73,83.51,"82,08",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
17.0, 0203,KOTA BEKASI,127,17649,64.15,54.67,50.95,77.61,"61,85",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
18.0, 0203,KOTA BEKASI,127,17649,82.77,81.81,81.18,83.64,"82,35",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
19.0, 0204,KOTA BOGOR,87,11812,64.62,52.2,39.06,79.7,"58,90",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
20.0, 0204,KOTA BOGOR,87,11812,82.46,81.77,80.93,83.27,"82,11",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
21.0, 0205,KOTA CIMAHI,24,5637,68.36,55.48,43.01,77.47,"61,08",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
22.0, 0205,KOTA CIMAHI,24,5637,79.86,79.0,78.73,81.53,"79,78",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
23.0, 0206,KOTA CIREBON,26,3018,62.27,46.09,33.32,77.97,"54,91",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
24.0, 0206,KOTA CIREBON,26,3018,80.17,78.98,78.84,81.85,"79,96",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
25.0, 0207,KOTA DEPOK,112,10034,63.59,52.37,36.82,79.47,"58,06",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
26.0, 0207,KOTA DEPOK,112,10034,84.88,84.17,83.83,86.24,"84,78",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
27.0, 0208,KOTA SUKABUMI,29,3311,64.15,50.69,34.54,78.72,"57,03",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
28.0, 0208,KOTA SUKABUMI,29,3311,83.58,81.2,80.9,83.71,"82,35",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
29.0, 0209,KOTA TASIKMALAYA,41,5364,67.56,63.51,59.84,78.49,"67,35",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
30.0, 0209,KOTA TASIKMALAYA,41,5364,83.74,81.33,82.0,83.44,"82,63",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
31.0, 0210,KABUPATEN BANDUNG,113,11551,64.77,54.89,50.3,77.15,"61,78",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
32.0, 0210,KABUPATEN BANDUNG,113,11551,81.89,80.19,79.54,81.98,"80,90",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
33.0, 0211,KABUPATEN BANDUNG BARAT,75,5720,62.6,55.29,51.58,78.14,"61,90",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
34.0, 0211,KABUPATEN BANDUNG BARAT,75,5720,83.28,81.44,81.32,83.48,"82,38",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
35.0, 0212,KABUPATEN BEKASI,132,14132,59.47,53.94,50.85,76.82,"60,27",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
36.0, 0212,KABUPATEN BEKASI,132,14132,83.87,82.63,82.46,84.27,"83,31",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
37.0, 0213,KABUPATEN BOGOR,285,26544,62.74,54.31,38.39,77.7,"58,29",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
38.0, 0213,KABUPATEN BOGOR,285,26544,83.9,82.81,82.52,84.31,"83,39",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
39.0, 0214,KABUPATEN CIAMIS,46,4900,66.65,53.74,50.54,76.3,"61,81",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
40.0, 0214,KABUPATEN CIAMIS,46,4900,83.79,82.28,82.11,83.9,"83,02",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
41.0, 0215,KABUPATEN CIANJUR,97,9714,67.4,66.58,64.58,76.34,"68,73",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
42.0, 0215,KABUPATEN CIANJUR,97,9714,85.61,84.27,84.11,85.47,"84,87",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
43.0, 0216,KABUPATEN CIREBON,85,12661,60.06,41.86,30.55,76.99,"52,37",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
44.0, 0216,KABUPATEN CIREBON,85,12661,82.37,81.32,81.3,83.34,"82,08",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
45.0, 0217,KABUPATEN GARUT,110,10866,61.73,53.02,51.01,79.08,"61,21",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
46.0, 0217,KABUPATEN GARUT,110,10866,82.78,81.59,81.43,83.65,"82,36",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
47.0, 0218,KABUPATEN INDRAMAYU,88,10322,57.07,42.55,29.81,75.85,"51,32",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
48.0, 0218,KABUPATEN INDRAMAYU,88,10322,84.83,84.02,83.91,85.6,"84,59",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
49.0, 0219,KABUPATEN KARAWANG,90,12502,54.62,39.31,26.63,76.73,"49,32",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
50.0, 0219,KABUPATEN KARAWANG,90,12502,82.77,81.45,81.24,82.02,"81,87",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
51.0, 0220,KABUPATEN KUNINGAN,35,7008,63.15,44.43,32.72,80.77,"55,27",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
52.0, 0220,KABUPATEN KUNINGAN,35,7008,81.92,80.12,80.04,83.84,"81,48",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
53.0, 0221,KABUPATEN MAJALENGKA,43,6468,64.7,46.57,33.85,79.09,"56,05",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
54.0, 0221,KABUPATEN MAJALENGKA,43,6468,83.23,80.93,81.17,83.41,"82,19",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
55.0, 0222,KABUPATEN PURWAKARTA,34,4474,61.45,54.87,51.66,76.68,"61,17",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
56.0, 0222,KABUPATEN PURWAKARTA,34,4474,83.16,81.74,81.38,84.06,"82,59",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
57.0, 0223,KABUPATEN SUBANG,77,8223,66.7,66.03,63.59,76.28,"68,15",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
58.0, 0223,KABUPATEN SUBANG,77,8223,83.65,82.03,81.93,83.91,"82,88",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
59.0, 0224,KABUPATEN SUKABUMI,124,9341,62.82,54.47,44.66,77.25,"59,80",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
60.0, 0224,KABUPATEN SUKABUMI,124,9341,83.89,82.44,81.89,83.56,"82,95",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
61.0, 0225,KABUPATEN SUMEDANG,66,6156,71.44,65.82,59.92,80.83,"69,50",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
62.0, 0225,KABUPATEN SUMEDANG,66,6156,85.03,84.26,84.7,86.35,"85,09",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
63.0, 0226,KABUPATEN TASIKMALAYA,91,8164,66.52,60.7,56.66,79.7,"65,90",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
64.0, 0226,KABUPATEN TASIKMALAYA,91,8164,83.37,82.75,82.38,83.9,"83,10",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
65.0, 0227,KABUPATEN PANGANDARAN,16,1663,65.51,55.98,54.49,75.61,"62,90",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
66.0, 0227,KABUPATEN PANGANDARAN,16,1663,83.71,81.34,81.55,83.01,"82,40",2015,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
7.0, 0201,KOTA BANDUNG,126,18468,68.76,53.89,36.02,75.56,"58,56",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
8.0, 0202,KOTA BANJAR,13,2225,69.06,48.6,31.36,76.23,"56,31",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
9.0, 0203,KOTA BEKASI,135,18871,68.16,53.48,40.75,77.09,"59,87",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
10.0, 0204,KOTA BOGOR,92,11181,69.9,59.15,52.99,76.86,"64,73",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
11.0, 0205,KOTA CIMAHI,25,5931,69.97,54.92,40.34,74.42,"59,91",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
12.0, 0206,KOTA CIREBON,27,2896,66.03,45.93,31.05,74.73,"54,44",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
13.0, 0207,KOTA DEPOK,120,10400,69.58,59.42,48.62,75.94,"63,39",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
14.0, 0208,KOTA SUKABUMI,30,3305,67.29,51.06,32.54,76.63,"56,88",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
15.0, 0209,KOTA TASIKMALAYA,42,5262,68.78,50.63,39.33,75.72,"58,62",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
16.0, 0210,KABUPATEN BANDUNG,121,12257,67.44,49.4,32.09,74.65,"55,90",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
17.0, 0211,KABUPATEN BANDUNG BARAT,82,6150,64.55,46.46,27.38,75.58,"53,49",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
18.0, 0212,KABUPATEN BEKASI,143,14884,64.02,50.19,36.8,76.02,"56,76",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
19.0, 0213,KABUPATEN BOGOR,312,28948,68.43,58.29,48.9,75.04,"62,67",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
20.0, 0214,KABUPATEN CIAMIS,49,5224,67.32,46.97,32.13,75.41,"55,46",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
21.0, 0215,KABUPATEN CIANJUR,109,10630,65.66,55.72,46.62,74.28,"60,57",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
22.0, 0216,KABUPATEN CIREBON,92,13167,65.9,49.88,38.09,77.0,"57,72",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
23.0, 0217,KABUPATEN GARUT,121,11166,63.48,44.6,30.29,74.4,"53,19",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
24.0, 0218,KABUPATEN INDRAMAYU,98,10522,61.25,43.79,28.36,74.17,"51,89",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
25.0, 0219,KABUPATEN KARAWANG,93,14519,60.36,44.33,30.57,72.96,"52,06",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
26.0, 0220,KABUPATEN KUNINGAN,36,6901,67.02,46.81,33.72,76.44,"56,00",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
27.0, 0221,KABUPATEN MAJALENGKA,46,6427,66.5,47.05,32.37,73.1,"54,76",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
28.0, 0222,KABUPATEN PURWAKARTA,38,4857,63.79,44.38,26.09,75.19,"52,36",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
29.0, 0223,KABUPATEN SUBANG,88,8038,62.91,49.03,37.77,72.44,"55,54",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
30.0, 0224,KABUPATEN SUKABUMI,134,9469,68.26,59.02,49.63,76.91,"63,46",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
31.0, 0225,KABUPATEN SUMEDANG,72,6576,67.33,60.46,54.65,78.09,"65,13",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
32.0, 0226,KABUPATEN TASIKMALAYA,97,8482,67.89,55.31,43.27,75.96,"60,61",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
33.0, 0227,KABUPATEN PANGANDARAN,18,1621,64.41,43.98,27.79,72.04,"52,06",2016,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
7.0, 0201,KOTA BANDUNG,125,17423,68.35,45.69,37.55,75.94,"56,88",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
8.0, 0202,KOTA BANJAR,13,2162,66.57,37.97,34.31,75.58,"53,61",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
9.0, 0203,KOTA BEKASI,137,19290,64.56,39.77,33.84,73.04,"52,80",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
10.0, 0204,KOTA BOGOR,94,10635,66.84,42.84,36.28,74.02,"55,00",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
11.0, 0205,KOTA CIMAHI,24,5179,68.23,45.62,39.37,75.08,"57,08",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
12.0, 0206,KOTA CIREBON,27,2955,65.26,38.18,33.14,74.27,"52,71",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
13.0, 0207,KOTA DEPOK,124,10717,65.88,43.02,35.43,75.56,"54,97",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
14.0, 0208,KOTA SUKABUMI,32,3273,65.84,40.32,33.77,74.63,"53,64",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
15.0, 0209,KOTA TASIKMALAYA,44,5179,65.18,38.69,35.11,74.56,"53,39",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
16.0, 0210,KABUPATEN BANDUNG,123,13549,64.24,39.31,33.2,72.31,"52,27",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
17.0, 0211,KABUPATEN BANDUNG BARAT,84,6775,62.33,36.61,31.1,73.33,"50,84",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
18.0, 0212,KABUPATEN BEKASI,158,16320,60.07,36.95,33.08,70.08,"50,05",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
19.0, 0213,KABUPATEN BOGOR,333,30476,61.89,36.89,30.67,72.31,"50,44",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
20.0, 0214,KABUPATEN CIAMIS,54,5570,65.94,38.41,35.25,73.96,"53,39",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
21.0, 0215,KABUPATEN CIANJUR,136,11491,62.44,38.18,33.49,73.43,"51,89",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
22.0, 0216,KABUPATEN CIREBON,95,13719,62.47,34.84,32.28,71.92,"50,38",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
23.0, 0217,KABUPATEN GARUT,133,11867,61.82,35.57,31.35,72.14,"50,22",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
24.0, 0218,KABUPATEN INDRAMAYU,108,11990,60.06,34.13,30.49,72.01,"49,17",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
25.0, 0219,KABUPATEN KARAWANG,97,15312,59.3,34.68,30.97,69.72,"48,67",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
26.0, 0220,KABUPATEN KUNINGAN,37,7075,65.43,37.18,35.07,74.96,"53,16",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
27.0, 0221,KABUPATEN MAJALENGKA,49,7345,65.74,37.14,34.14,72.24,"52,32",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
28.0, 0222,KABUPATEN PURWAKARTA,51,5385,60.79,35.99,29.56,71.56,"49,48",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
29.0, 0223,KABUPATEN SUBANG,95,8627,60.84,35.39,31.21,71.57,"49,75",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
30.0, 0224,KABUPATEN SUKABUMI,142,9799,63.87,44.97,44.35,73.64,"56,71",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
31.0, 0225,KABUPATEN SUMEDANG,76,6277,64.35,37.92,32.3,73.12,"51,92",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
32.0, 0226,KABUPATEN TASIKMALAYA,107,9094,65.19,41.72,40.11,74.48,"55,38",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
33.0, 0227,KABUPATEN PANGANDARAN,22,1923,63.63,35.21,31.54,71.27,"50,41",2017,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
7.0, 0201,KOTA BANDUNG,125,18208,68.17,47.89,35.24,46.85,"49,54",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
8.0, 0202,KOTA BANJAR,15,2619,66.2,40.06,32.43,42.94,"45,41",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
9.0, 0203,KOTA BEKASI,142,21717,65.5,43.34,32.87,41.05,"45,69",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
10.0, 0204,KOTA BOGOR,102,12853,66.76,45.21,35.77,44.91,"48,16",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
11.0, 0205,KOTA CIMAHI,25,6393,69.39,48.55,39.24,48.69,"51,47",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
12.0, 0206,KOTA CIREBON,28,3517,64.57,39.98,31.32,42.74,"44,65",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
13.0, 0207,KOTA DEPOK,126,12223,65.65,44.34,32.42,44.58,"46,75",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
14.0, 0208,KOTA SUKABUMI,32,3545,65.69,42.39,32.47,45.68,"46,56",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
15.0, 0209,KOTA TASIKMALAYA,50,5737,64.29,39.86,31.93,45.08,"45,29",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
16.0, 0210,KABUPATEN BANDUNG,127,16790,63.27,40.73,30.95,41.96,"44,23",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
17.0, 0211,KABUPATEN BANDUNG BARAT,94,8020,62.6,38.19,30.37,42.08,"43,31",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
18.0, 0212,KABUPATEN BEKASI,170,19640,59.61,37.27,29.96,35.57,"40,60",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
19.0, 0213,KABUPATEN BOGOR,343,36249,60.64,38.2,29.91,40.97,"42,43",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
20.0, 0214,KABUPATEN CIAMIS,61,6296,65.74,39.86,32.14,42.92,"45,17",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
21.0, 0215,KABUPATEN CIANJUR,157,13858,60.35,38.54,30.97,43.12,"43,25",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
22.0, 0216,KABUPATEN CIREBON,99,15501,61.79,36.73,30.35,39.84,"42,18",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
23.0, 0217,KABUPATEN GARUT,152,13845,61.35,36.77,29.99,40.53,"42,16",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
24.0, 0218,KABUPATEN INDRAMAYU,115,13532,59.52,35.83,29.38,37.61,"40,59",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
25.0, 0219,KABUPATEN KARAWANG,106,18209,58.19,35.67,29.53,36.33,"39,93",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
26.0, 0220,KABUPATEN KUNINGAN,39,8593,64.96,38.69,31.75,42.25,"44,41",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
27.0, 0221,KABUPATEN MAJALENGKA,50,8182,64.86,38.98,31.19,40.89,"43,98",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
28.0, 0222,KABUPATEN PURWAKARTA,51,6003,60.43,36.84,28.63,37.47,"40,84",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
29.0, 0223,KABUPATEN SUBANG,100,10631,60.3,36.22,29.6,37.94,"41,02",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
30.0, 0224,KABUPATEN SUKABUMI,148,11195,60.27,37.96,30.65,41.36,"42,56",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
31.0, 0225,KABUPATEN SUMEDANG,81,7270,63.14,38.53,29.87,40.97,"43,13",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
32.0, 0226,KABUPATEN TASIKMALAYA,118,10395,64.38,41.03,34.09,46.34,"46,46",2018,2,JAWA BARAT,JAWA BARAT,JAWA BARAT
