No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,30010001,SMK NEGERI 1 SERANG,20605058,N,788,72.81,48.94,38.22,52.66,"53,16",30,1,0,2019,BANTEN,KOTA SERANG
2,30010002,SMK NEGERI 2 SERANG,20605059,N,811,62.46,38.91,31.28,37.39,"42,51",30,1,0,2019,BANTEN,KOTA SERANG
3,30010003,SMK NEGERI 3 SERANG,20605126,N,375,66.87,38.48,32.27,41.53,"44,79",30,1,0,2019,BANTEN,KOTA SERANG
4,30010004,SMK NEGERI 4 SERANG,20607900,N,485,59.11,34.69,31.62,38.67,"41,02",30,1,0,2019,BANTEN,KOTA SERANG
5,30010005,SMK PGRI 1 KOTA SERANG,20605120,S,484,57.46,35.15,30.03,34.47,"39,28",30,1,0,2019,BANTEN,KOTA SERANG
6,30010006,SMK PGRI 2 KOTA SERANG,20605121,S,118,59.27,35.58,30.15,38.24,"40,81",30,1,0,2019,BANTEN,KOTA SERANG
7,30010007,SMK PGRI 3 KOTA SERANG,20605122,S,374,62.26,37.26,33.42,44.08,"44,26",30,1,0,2019,BANTEN,KOTA SERANG
8,30010008,SMK PASUNDAN 1 KOTA SERANG,20605117,S,357,59.13,35.4,30.76,39.38,"41,17",30,1,0,2019,BANTEN,KOTA SERANG
9,30010009,SMK PASUNDAN 2 KOTA SERANG,20605098,S,108,51.74,32.69,28.89,36.25,"37,39",30,1,0,2019,BANTEN,KOTA SERANG
10,30010010,SMK 17 KOTA SERANG,20605136,S,82,62.98,39.34,30.85,41.59,"43,69",30,1,1,2019,BANTEN,KOTA SERANG
11,30010011,SMK INFORMATIKA KOTA SERANG,20605129,S,137,73.05,50.72,34.62,49.4,"51,95",30,1,1,2019,BANTEN,KOTA SERANG
12,30010012,SMK PELAYARAN NUSANTARA KOTA SERANG,20605119,S,43,60.05,38.37,31.63,45.47,"43,88",30,1,1,2019,BANTEN,KOTA SERANG
13,30010013,SMK HASANUDIN 2 KOTA SERANG,20605128,S,56,53.82,31.89,29.38,36.88,"37,99",30,1,1,2019,BANTEN,KOTA SERANG
15,30010016,SMK KESEHATAN HUSADA PRATAMA KOTA SERANG,20605131,S,231,67.65,43.77,33.97,45.7,"47,77",30,1,1,2019,BANTEN,KOTA SERANG
16,30010018,SMK PRISMA KOTA SERANG,20605124,S,62,60.55,37.81,31.69,38.75,"42,20",30,1,1,2019,BANTEN,KOTA SERANG
17,30010019,SMK MUHAMMADIYAH SERANG,20605134,S,13,61.54,39.38,30.19,42.31,"43,36",30,1,1,2019,BANTEN,KOTA SERANG
18,30010020,SMK NEGERI 5 SERANG,20614350,N,373,61.42,37.14,33.65,43.18,"43,85",30,1,2,2019,BANTEN,KOTA SERANG
