No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,2601101,SMK NEGERI 1 BENGKULU,10702433,N,325,70.12,43.88,38.06,72.35,"56,10",26,1,101,2017,BENGKULU,KOTA BENGKULU
2,2601102,SMK NEGERI 2 BENGKULU,10702432,N,306,64.67,34.93,33.44,70.47,"50,88",26,1,102,2017,BENGKULU,KOTA BENGKULU
3,2601103,SMK NEGERI 3 BENGKULU,10702431,N,327,62.67,34.58,30.07,74.49,"50,45",26,1,103,2017,BENGKULU,KOTA BENGKULU
4,2601104,SMK NEGERI 4 BENGKULU,10703107,N,135,56.41,30.73,27.85,67.98,"45,74",26,1,104,2017,BENGKULU,KOTA BENGKULU
5,2601105,SMK NEGERI 5 BENGKULU,10702429,N,171,63.08,34.5,29.61,75.46,"50,66",26,1,105,2017,BENGKULU,KOTA BENGKULU
6,2601106,SMK-S1 BENGKULU,10702411,S,58,61.52,33.66,29.91,68.13,"48,31",26,1,106,2017,BENGKULU,KOTA BENGKULU
7,2601107,SMK-S2 BENGKULU,10702714,S,32,49.19,34.25,22.73,67.92,"43,52",26,1,107,2017,BENGKULU,KOTA BENGKULU
8,2601108,SMK-S3 BENGKULU,10702425,S,30,61.13,31.0,23.17,67.89,"45,80",26,1,108,2017,BENGKULU,KOTA BENGKULU
9,2601109,SMK-S4 BENGKULU,10702424,S,27,55.78,32.44,22.87,74.56,"46,41",26,1,109,2017,BENGKULU,KOTA BENGKULU
10,2601110,SMK-S8 BENGKULU,10702513,S,107,55.51,31.31,26.07,65.02,"44,48",26,1,110,2017,BENGKULU,KOTA BENGKULU
11,2601111,SMK-S9 BENGKULU,10702512,S,25,57.76,38.4,27.6,66.02,"47,45",26,1,111,2017,BENGKULU,KOTA BENGKULU
12,2601112,SMK-S10 BENGKULU,10702420,S,17,61.06,47.41,33.09,75.79,"54,34",26,1,112,2017,BENGKULU,KOTA BENGKULU
13,2601113,SMK-S11 BENGKULU,10702421,S,47,52.89,28.13,22.66,0.0,"25,92",26,1,113,2017,BENGKULU,KOTA BENGKULU
14,2601114,SMK-S13 BENGKULU,10702427,S,12,54.33,28.83,20.83,69.62,"43,40",26,1,114,2017,BENGKULU,KOTA BENGKULU
15,2601115,SMK-S15 BENGKULU,10702517,S,15,59.2,31.87,57.83,71.49,"55,10",26,1,115,2017,BENGKULU,KOTA BENGKULU
16,2601116,SMK-S16 FARMASI BENGKULU,10702516,S,180,71.87,44.94,39.86,73.45,"57,53",26,1,116,2017,BENGKULU,KOTA BENGKULU
17,2601117,SMK-S17 BUDI MULYA,10703052,S,39,50.87,30.21,23.08,65.09,"42,31",26,1,117,2017,BENGKULU,KOTA BENGKULU
18,2601119,SMKN 6 KOTA BENGKULU,10703975,N,81,60.84,30.99,31.98,74.83,"49,66",26,1,119,2017,BENGKULU,KOTA BENGKULU
19,2601120,SMKS 18 AL-YASIR,69754346,S,28,68.64,63.5,70.18,82.5,"71,21",26,1,120,2017,BENGKULU,KOTA BENGKULU
20,2601121,SMKS 19 KESEHATAN BUDI MULYA,69754345,S,7,56.86,27.71,22.14,62.19,"42,23",26,1,121,2017,BENGKULU,KOTA BENGKULU
21,2601123,SMKS 21 QAWIY SHABAB,69788530,S,23,64.0,36.61,27.39,63.82,"47,96",26,1,123,2017,BENGKULU,KOTA BENGKULU
22,2601124,SMK NEGERI 7 KOTA BENGKULU,69888466,N,105,61.94,35.49,28.43,74.28,"50,04",26,1,124,2017,BENGKULU,KOTA BENGKULU
23,2602201,SMK NEGERI 1 ARGAMAKMUR,10700258,N,238,63.61,32.37,32.24,73.0,"50,31",26,2,201,2017,BENGKULU,KABUPATEN BENGKULU UTARA
24,2602202,SMK NEGERI 2 ARGAMAKMUR,10700287,N,177,63.71,33.88,32.02,68.99,"49,65",26,2,202,2017,BENGKULU,KABUPATEN BENGKULU UTARA
25,2602203,SMK NEGERI 1 PADANG JAYA,10702995,N,118,65.64,33.76,33.52,76.86,"52,45",26,2,203,2017,BENGKULU,KABUPATEN BENGKULU UTARA
26,2602204,SMK NEGERI 1 PUTRI HIJAU,10702996,N,123,60.18,32.47,33.82,42.03,"42,13",26,2,204,2017,BENGKULU,KABUPATEN BENGKULU UTARA
27,2602205,SMK NEGERI 1 KETAHUN,10702997,N,132,62.12,34.77,30.51,66.88,"48,57",26,2,205,2017,BENGKULU,KABUPATEN BENGKULU UTARA
28,2602207,SMK NEGERI 1 BATIK NAU,10703132,N,35,57.31,31.54,28.79,69.38,"46,76",26,2,207,2017,BENGKULU,KABUPATEN BENGKULU UTARA
29,2602208,SMK NEGERI 1 HULU PALIK,10703311,N,66,56.15,27.73,27.16,73.13,"46,04",26,2,208,2017,BENGKULU,KABUPATEN BENGKULU UTARA
30,2602209,SMK NEGERI 1 AIR NAPAL,10703421,N,37,59.24,28.76,30.88,30.68,"37,39",26,2,209,2017,BENGKULU,KABUPATEN BENGKULU UTARA
31,2602210,SMK NEGERI 1 NAPAL PUTIH,10703513,N,31,58.77,27.55,29.68,40.56,"39,14",26,2,210,2017,BENGKULU,KABUPATEN BENGKULU UTARA
32,2602211,SMK NEGERI 2 PUTRI HIJAU,10703524,N,149,62.21,32.19,32.42,68.0,"48,71",26,2,211,2017,BENGKULU,KABUPATEN BENGKULU UTARA
33,2602212,SMK NEGERI 1 GIRI MULYA,69888780,N,20,67.3,32.8,34.5,71.67,"51,57",26,2,212,2017,BENGKULU,KABUPATEN BENGKULU UTARA
34,2603301,SMK NEGERI 1 CURUP TIMUR,10700598,N,180,65.14,33.89,30.69,69.18,"49,73",26,3,301,2017,BENGKULU,KABUPATEN REJANG LEBONG
35,2603302,SMK NEGERI 2 CURUP TIMUR,10700611,N,78,59.51,29.49,27.85,70.18,"46,76",26,3,302,2017,BENGKULU,KABUPATEN REJANG LEBONG
36,2603303,SMK NEGERI 1 CURUP,10700610,N,176,63.51,35.94,32.93,71.58,"50,99",26,3,303,2017,BENGKULU,KABUPATEN REJANG LEBONG
37,2603304,SMK NEGERI 1 CURUP SELATAN,10702880,N,51,60.2,32.04,29.95,72.37,"48,64",26,3,304,2017,BENGKULU,KABUPATEN REJANG LEBONG
38,2603305,SMK NEGERI 1 SELUPU REJANG,10702882,N,118,63.07,33.39,31.21,47.63,"43,83",26,3,305,2017,BENGKULU,KABUPATEN REJANG LEBONG
39,2603306,SMK NEGERI 1 BERMANI ULU RAYA,10702879,N,97,65.2,48.06,32.71,75.94,"55,48",26,3,306,2017,BENGKULU,KABUPATEN REJANG LEBONG
40,2603307,SMK NEGERI 1 PU. TANDING,10702881,N,36,63.89,45.5,50.49,36.94,"49,21",26,3,307,2017,BENGKULU,KABUPATEN REJANG LEBONG
41,2603308,SMK-S1 CURUP,10700674,S,31,48.9,62.13,31.05,72.59,"53,67",26,3,308,2017,BENGKULU,KABUPATEN REJANG LEBONG
42,2603309,SMK-S2 CURUP,10700613,S,23,53.39,30.7,47.83,67.66,"49,90",26,3,309,2017,BENGKULU,KABUPATEN REJANG LEBONG
43,2603310,SMK-S3 CURUP,10700614,S,42,62.14,32.24,27.98,73.96,"49,08",26,3,310,2017,BENGKULU,KABUPATEN REJANG LEBONG
44,2603312,SMK-S5 CURUP,10700688,S,107,55.33,30.28,29.11,65.1,"44,96",26,3,312,2017,BENGKULU,KABUPATEN REJANG LEBONG
45,2603313,SMK-S6 CURUP,10700642,S,35,59.2,51.49,58.36,78.76,"61,95",26,3,313,2017,BENGKULU,KABUPATEN REJANG LEBONG
46,2604005,SMK NEGERI 5 BENGKULU SELATAN,10700989,N,6,49.33,33.33,24.17,34.58,"35,35",26,4,5,2017,BENGKULU,KABUPATEN BENGKULU SELATAN
47,2604401,SMK NEGERI 1 BENGKULU SELATAN,10703236,N,245,63.47,33.56,31.05,70.07,"49,54",26,4,401,2017,BENGKULU,KABUPATEN BENGKULU SELATAN
48,2604402,SMK NEGERI 2 BENGKULU SELATAN,10703237,N,108,53.44,32.46,28.13,73.0,"46,76",26,4,402,2017,BENGKULU,KABUPATEN BENGKULU SELATAN
49,2604403,SMK NEGERI 3 BENGKULU SELATAN,10703238,N,72,57.47,29.0,27.88,68.17,"45,63",26,4,403,2017,BENGKULU,KABUPATEN BENGKULU SELATAN
50,2604404,SMK NEGERI 4 BENGKULU SELATAN,10703239,N,56,56.11,30.11,26.88,67.97,"45,27",26,4,404,2017,BENGKULU,KABUPATEN BENGKULU SELATAN
51,2604406,SMK AL-QURANIYAH BENGKULU SELATAN,10700993,S,2,51.0,25.0,28.75,62.15,"41,73",26,4,406,2017,BENGKULU,KABUPATEN BENGKULU SELATAN
52,2605003,SMK NEGERI 3 SELUMA,10703205,N,189,62.98,33.22,29.43,69.89,"48,88",26,5,3,2017,BENGKULU,KABUPATEN SELUMA
53,2605501,SMK NEGERI 1 SELUMA,10701571,N,151,56.94,28.23,24.37,68.49,"44,51",26,5,501,2017,BENGKULU,KABUPATEN SELUMA
54,2605502,SMK NEGERI 2 SELUMA,10702681,N,55,56.25,30.18,24.09,66.23,"44,19",26,5,502,2017,BENGKULU,KABUPATEN SELUMA
55,2605504,SMKN 4 SELUMA,69727454,N,26,56.0,29.92,24.9,0.0,"27,71",26,5,504,2017,BENGKULU,KABUPATEN SELUMA
