No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
2,2301001,SMK NEGERI 1 MATARAM,50204507,N,180,65.66,64.26,41.57,78.23,"62,43",23,1,1,2015,NUSA TENGGARA BARAT,KOTA MATARAM
4,2301002,SMK NEGERI 2 MATARAM,50204506,N,492,63.48,63.94,45.19,75.26,"61,97",23,1,2,2015,NUSA TENGGARA BARAT,KOTA MATARAM
6,2301003,SMK NEGERI 4 MATARAM,50204504,N,274,64.92,60.39,48.89,74.48,"62,17",23,1,3,2015,NUSA TENGGARA BARAT,KOTA MATARAM
8,2301005,SMK NEGERI 3 MATARAM,50204505,N,526,62.9,67.56,71.11,76.42,"69,50",23,1,5,2015,NUSA TENGGARA BARAT,KOTA MATARAM
10,2301009,SMK YARSI MATARAM,50219656,S,49,61.74,65.02,73.11,86.32,"71,55",23,1,9,2015,NUSA TENGGARA BARAT,KOTA MATARAM
12,2301016,SMK NEGERI 5 MATARAM,50204465,N,177,56.47,54.96,31.99,75.97,"54,85",23,1,16,2015,NUSA TENGGARA BARAT,KOTA MATARAM
14,2301017,SMK HASANUDIN MATARAM,50204509,S,17,50.74,31.18,21.76,72.7,"44,10",23,1,17,2015,NUSA TENGGARA BARAT,KOTA MATARAM
16,2301018,SMK MUHAMMADIYAH MATARAM,50204508,S,76,56.86,50.87,34.67,67.68,"52,52",23,1,18,2015,NUSA TENGGARA BARAT,KOTA MATARAM
18,2301023,SMK BINA BANGSA MATARAM,50204510,S,20,35.5,32.8,19.13,71.37,"39,70",23,1,23,2015,NUSA TENGGARA BARAT,KOTA MATARAM
20,2301027,SMK PARIWISATA MATARAM,50204468,S,101,47.97,62.63,56.51,81.27,"62,10",23,1,27,2015,NUSA TENGGARA BARAT,KOTA MATARAM
22,2301028,SMK SARASWATI MATARAM,50204466,S,30,58.09,57.13,31.58,70.43,"54,31",23,1,28,2015,NUSA TENGGARA BARAT,KOTA MATARAM
24,2301054,SMK NEGERI 6 MATARAM,50204487,N,99,49.81,60.2,27.73,73.89,"52,91",23,1,54,2015,NUSA TENGGARA BARAT,KOTA MATARAM
26,2301055,SMK NEGERI 7 MATARAM,50204486,N,96,56.68,56.46,38.59,79.13,"57,72",23,1,55,2015,NUSA TENGGARA BARAT,KOTA MATARAM
28,2301076,SMK TELEKOMUNIKASI MATARAM,50204536,S,7,56.16,54.86,49.64,71.17,"57,96",23,1,76,2015,NUSA TENGGARA BARAT,KOTA MATARAM
30,2301105,SMK DARUL FALAH,50219602,S,40,56.87,29.2,25.44,69.13,"45,16",23,1,105,2015,NUSA TENGGARA BARAT,KOTA MATARAM
32,2301110,SMKPP NEGERI MATARAM,50219969,N,203,61.3,62.2,70.32,80.7,"68,63",23,1,110,2015,NUSA TENGGARA BARAT,KOTA MATARAM
34,2301113,SMK NEGERI 8 MATARAM,50219553,N,164,67.34,70.05,75.41,86.58,"74,85",23,1,113,2015,NUSA TENGGARA BARAT,KOTA MATARAM
36,2301169,SMK NEGERI 9 MATARAM,50220276,N,116,53.79,63.34,48.86,73.52,"59,88",23,1,169,2015,NUSA TENGGARA BARAT,KOTA MATARAM
38,2301206,SMK TARBIYATUL QURRO,50222361,S,23,46.17,59.13,59.46,70.57,"58,83",23,1,206,2015,NUSA TENGGARA BARAT,KOTA MATARAM
40,2301215,SMKS BHAKTI KENCANA MATARAM,69755864,S,10,52.23,65.2,47.25,72.86,"59,39",23,1,215,2015,NUSA TENGGARA BARAT,KOTA MATARAM
42,2302004,SMK NEGERI 1 KOTA BIMA,50204719,N,275,47.84,30.5,23.65,73.86,"43,96",23,2,4,2015,NUSA TENGGARA BARAT,KOTA BIMA
44,2302013,SMK PGRI KOTA BIMA,50219697,S,87,34.87,31.2,23.16,60.47,"37,43",23,2,13,2015,NUSA TENGGARA BARAT,KOTA BIMA
46,2302014,SMK NEGERI 2 KOTA BIMA,50204717,N,252,40.83,28.83,22.65,71.7,"41,00",23,2,14,2015,NUSA TENGGARA BARAT,KOTA BIMA
48,2302019,SMK NEGERI 3 KOTA BIMA,50204716,N,82,48.09,32.95,23.11,77.05,"45,30",23,2,19,2015,NUSA TENGGARA BARAT,KOTA BIMA
50,2302020,SMK 45 KOTA BIMA,50204718,S,79,34.98,27.52,20.76,70.77,"38,51",23,2,20,2015,NUSA TENGGARA BARAT,KOTA BIMA
52,2302062,SMK NEGERI 4 KOTA BIMA,50219695,N,60,43.61,28.53,21.0,72.84,"41,50",23,2,62,2015,NUSA TENGGARA BARAT,KOTA BIMA
54,2302111,SMKPP NEGERI BIMA,50219770,N,77,47.7,38.88,23.38,78.18,"47,04",23,2,111,2015,NUSA TENGGARA BARAT,KOTA BIMA
56,2302146,SMK KESEHATAN BIMA SEHAT,50219767,S,25,49.42,31.44,22.5,81.64,"46,25",23,2,146,2015,NUSA TENGGARA BARAT,KOTA BIMA
58,2302167,SMK KESEHATAN AISYIAH KOTA BIMA,50219696,S,16,54.33,32.13,24.53,76.56,"46,89",23,2,167,2015,NUSA TENGGARA BARAT,KOTA BIMA
