No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,3101501,SMK NEGERI 1 TANJUNGPINANG,11000438,N,388,74.47,73.64,55.46,80.55,"71,03",31,1,501,2016,KEPULAUAN RIAU,KOTA TANJUNGPINANG
2,3101502,SMK NEGERI 2 TANJUNGPINANG,11000439,N,146,65.14,45.96,37.11,73.19,"55,35",31,1,502,2016,KEPULAUAN RIAU,KOTA TANJUNGPINANG
3,3101503,SMK NEGERI 3 TANJUNGPINANG,11000426,N,240,67.28,48.28,28.04,72.86,"54,12",31,1,503,2016,KEPULAUAN RIAU,KOTA TANJUNGPINANG
4,3101504,SMK PEMBANGUNAN TANJUNGPINANG,11000416,S,146,71.52,66.9,35.17,78.94,"63,13",31,1,504,2016,KEPULAUAN RIAU,KOTA TANJUNGPINANG
5,3101505,SMK INDRASAKTI TANJUNGPINANG,11000425,S,4,56.0,42.0,30.0,73.95,"50,49",31,1,505,2016,KEPULAUAN RIAU,KOTA TANJUNGPINANG
6,3101506,SMK RAJA HAJI TANJUNGPINANG,11000415,S,25,64.72,45.44,30.8,72.53,"53,37",31,1,506,2016,KEPULAUAN RIAU,KOTA TANJUNGPINANG
7,3101508,SMK PARIWISATA  ENGKU KELANA TANJUNGPINANG,11001979,S,17,59.06,58.82,28.09,68.33,"53,58",31,1,508,2016,KEPULAUAN RIAU,KOTA TANJUNGPINANG
8,3101509,SMK PELITA NUSANTARA TANJUNGPINANG,41000539,S,6,67.67,77.0,37.92,73.78,"64,09",31,1,509,2016,KEPULAUAN RIAU,KOTA TANJUNGPINANG
9,3101510,SMK NEGERI 4 TANJUNGPINANG,11002495,N,150,71.21,61.15,39.47,79.17,"62,75",31,1,510,2016,KEPULAUAN RIAU,KOTA TANJUNGPINANG
10,3101511,SMK MAITREYAWIRA TANJUNGPINANG,11003164,S,51,67.33,72.43,42.65,74.63,"64,26",31,1,511,2016,KEPULAUAN RIAU,KOTA TANJUNGPINANG
