No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,3001001,SMK NEGERI 1 SERANG,20605058,N,770,68.2,44.28,36.52,48.52,"49,38",30,1,1,2018,BANTEN,KOTA SERANG
2,3001002,SMK NEGERI 2 SERANG,20605059,N,755,60.45,37.86,28.95,38.26,"41,38",30,1,2,2018,BANTEN,KOTA SERANG
3,3001003,SMK NEGERI 3 SERANG,20605126,N,371,61.26,35.5,29.54,39.43,"41,43",30,1,3,2018,BANTEN,KOTA SERANG
4,3001004,SMK NEGERI 4 SERANG,20607900,N,514,57.63,33.3,28.61,36.92,"39,12",30,1,4,2018,BANTEN,KOTA SERANG
5,3001005,SMK PGRI 1 KOTA SERANG,20605120,S,475,56.91,34.4,27.94,33.13,"38,10",30,1,5,2018,BANTEN,KOTA SERANG
6,3001006,SMK PGRI 2 KOTA SERANG,20605121,S,107,53.29,32.65,27.38,33.22,"36,64",30,1,6,2018,BANTEN,KOTA SERANG
7,3001007,SMK PGRI 3 KOTA SERANG,20605122,S,365,60.66,33.55,29.66,37.07,"40,24",30,1,7,2018,BANTEN,KOTA SERANG
8,3001008,SMK PASUNDAN 1 KOTA SERANG,20605117,S,329,58.59,35.2,29.23,37.88,"40,23",30,1,8,2018,BANTEN,KOTA SERANG
9,3001009,SMK PASUNDAN 2 KOTA SERANG,20605098,S,115,53.83,33.23,27.26,29.85,"36,04",30,1,9,2018,BANTEN,KOTA SERANG
10,3001010,SMK 17 KOTA SERANG,20605136,S,74,61.81,35.57,28.68,42.8,"42,22",30,1,10,2018,BANTEN,KOTA SERANG
11,3001011,SMK INFORMATIKA KOTA SERANG,20605129,S,176,67.98,47.7,33.13,48.62,"49,36",30,1,11,2018,BANTEN,KOTA SERANG
12,3001012,SMK PELAYARAN NUSANTARA KOTA SERANG,20605119,S,40,56.95,34.5,29.25,38.81,"39,88",30,1,12,2018,BANTEN,KOTA SERANG
13,3001013,SMK HASANUDIN 2 KOTA SERANG,20605128,S,83,51.69,30.89,28.61,35.48,"36,67",30,1,13,2018,BANTEN,KOTA SERANG
14,3001015,SMK KIMIA PGRI KOTA SERANG,20605133,S,157,68.93,46.08,50.4,40.45,"51,47",30,1,15,2018,BANTEN,KOTA SERANG
15,3001016,SMK KESEHATAN HUSADA PRATAMA KOTA SERANG,20605131,S,281,69.77,43.47,30.03,45.84,"47,28",30,1,16,2018,BANTEN,KOTA SERANG
16,3001018,SMK PRISMA KOTA SERANG,20605124,S,99,60.75,38.67,28.21,31.49,"39,78",30,1,18,2018,BANTEN,KOTA SERANG
17,3001019,SMK MUHAMMADIYAH SERANG,20605134,S,20,61.1,36.1,31.63,48.38,"44,30",30,1,19,2018,BANTEN,KOTA SERANG
18,3001020,SMK NEGERI 5 SERANG,20614350,N,379,58.53,32.65,28.77,43.9,"40,96",30,1,20,2018,BANTEN,KOTA SERANG
19,3001021,SMK AL-AZIS,20615913,S,12,55.83,31.5,25.21,30.21,"35,69",30,1,21,2018,BANTEN,KOTA SERANG
20,3001022,SMK BANTEN JAYA,20615948,S,21,57.71,36.29,27.38,41.43,"40,70",30,1,22,2018,BANTEN,KOTA SERANG
21,3001023,SMK AL- FALAH MADANI,20615209,S,97,52.02,30.29,27.94,28.79,"34,76",30,1,23,2018,BANTEN,KOTA SERANG
22,3001024,SMK TEKNOLOGI RACHMATOELLAH KOTA SERANG,20614835,S,9,36.0,27.11,25.0,27.5,"28,90",30,1,24,2018,BANTEN,KOTA SERANG
23,3001025,SMK NEGERI 6 KOTA SERANG,20616187,N,306,54.41,30.46,27.28,36.94,"37,27",30,1,25,2018,BANTEN,KOTA SERANG
24,3001026,SMK INTAN HUSADA,20614870,S,38,64.58,42.21,33.09,47.57,"46,86",30,1,26,2018,BANTEN,KOTA SERANG
25,3001027,SMK AL - HAD NUSANTARA,20615516,S,38,55.37,32.0,26.78,43.95,"39,53",30,1,27,2018,BANTEN,KOTA SERANG
26,3001028,SMK PGRI 4 KOTA SERANG,20615515,S,88,46.39,29.45,25.63,37.78,"34,81",30,1,28,2018,BANTEN,KOTA SERANG
27,3001029,SMK ARRASYADIYYAH,20616226,S,43,50.28,31.21,26.22,40.99,"37,18",30,1,29,2018,BANTEN,KOTA SERANG
28,3001030,SMK HARAPAN BANGSA,20616189,S,129,50.81,30.53,26.36,38.82,"36,63",30,1,30,2018,BANTEN,KOTA SERANG
29,3001031,SMK AL - BANA,20616188,S,56,55.36,30.93,26.96,45.22,"39,62",30,1,31,2018,BANTEN,KOTA SERANG
30,3001032,SMK INSAN AQILAH,20616070,S,91,52.07,34.97,26.81,35.41,"37,32",30,1,32,2018,BANTEN,KOTA SERANG
31,3001033,SMK ARDANIAH,20616195,S,6,66.67,45.33,29.17,49.58,"47,69",30,1,33,2018,BANTEN,KOTA SERANG
32,3001036,SMK SAINS MEDIKA KOTA SERANG,20622292,S,24,71.33,47.17,37.4,50.21,"51,53",30,1,36,2018,BANTEN,KOTA SERANG
33,3001037,SMK AL-MUBAROK KOTA SERANG,20622235,S,24,60.75,37.5,28.02,39.27,"41,39",30,1,37,2018,BANTEN,KOTA SERANG
34,3001038,SMK INSAN MADANI KOTA SERANG,69762643,S,34,48.41,29.47,25.51,36.54,"34,98",30,1,38,2018,BANTEN,KOTA SERANG
35,3001039,SMK KESEHATAN WIDYA HUSADA,69762644,S,19,60.53,33.16,27.63,38.82,"40,04",30,1,39,2018,BANTEN,KOTA SERANG
36,3001041,SMK AL WUTSQO,69734158,S,20,55.5,33.1,27.88,32.38,"37,22",30,1,41,2018,BANTEN,KOTA SERANG
37,3001042,SMK INSAN AQILAH 2,69786238,S,6,64.0,50.0,30.83,49.17,"48,50",30,1,42,2018,BANTEN,KOTA SERANG
