No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,8010001,SMK NEGERI 1 PADANG,10304847,N,319,64.08,40.1,34.85,42.22,"45,31",8,1,0,2019,SUMATERA BARAT,KOTA PADANG
2,8010002,SMK NEGERI 2 PADANG,10304848,N,427,68.91,43.14,37.25,46.62,"48,98",8,1,0,2019,SUMATERA BARAT,KOTA PADANG
3,8010003,SMK NEGERI 3 PADANG,10304849,N,426,71.57,43.6,41.6,52.47,"52,31",8,1,0,2019,SUMATERA BARAT,KOTA PADANG
4,8010004,SMK NEGERI 4 PADANG,10304850,N,343,68.36,39.97,34.4,47.7,"47,61",8,1,0,2019,SUMATERA BARAT,KOTA PADANG
5,8010005,SMK NEGERI 5 PADANG,10304851,N,342,67.82,43.44,36.3,41.1,"47,17",8,1,0,2019,SUMATERA BARAT,KOTA PADANG
6,8010006,SMK NEGERI 6 PADANG,10303507,N,378,69.07,42.74,36.07,50.13,"49,50",8,1,0,2019,SUMATERA BARAT,KOTA PADANG
7,8010007,SMK NEGERI 7 PADANG,10304188,N,241,67.06,40.87,34.51,62.89,"51,33",8,1,0,2019,SUMATERA BARAT,KOTA PADANG
8,8010008,SMK NEGERI 8 PADANG,10304852,N,319,64.01,36.84,34.17,46.76,"45,45",8,1,0,2019,SUMATERA BARAT,KOTA PADANG
9,8010009,SMK NEGERI 9 PADANG,10304853,N,375,69.37,43.66,36.09,56.6,"51,43",8,1,0,2019,SUMATERA BARAT,KOTA PADANG
10,8010010,SMK NEGERI 10 PADANG,10307617,N,158,64.56,41.3,33.18,43.75,"45,70",8,1,1,2019,SUMATERA BARAT,KOTA PADANG
11,8010011,SMK NEGERI 1 SUMATERA BARAT,10310780,N,286,70.5,44.55,36.39,48.23,"49,92",8,1,1,2019,SUMATERA BARAT,KOTA PADANG
12,8010101,SMK NUSATAMA PADANG,10304854,S,376,69.53,40.89,37.41,52.32,"50,04",8,1,10,2019,SUMATERA BARAT,KOTA PADANG
13,8010102,SMK MUHAMMADIYAH 1 PADANG,10304845,S,195,62.65,37.99,32.1,41.19,"43,48",8,1,10,2019,SUMATERA BARAT,KOTA PADANG
14,8010104,SMK KOSGORO 1 PADANG,10304182,S,213,49.19,31.83,30.7,29.6,"35,33",8,1,10,2019,SUMATERA BARAT,KOTA PADANG
