No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,301001,SMK NEGERI  1 SEMARANG,20328948,N,515,74.11,73.53,56.28,79.6,"70,88",3,1,1,2016,JAWA TENGAH,KOTA SEMARANG
2,301002,SMK NEGERI  2 SEMARANG,20328970,N,414,78.31,66.27,61.35,82.26,"72,05",3,1,2,2016,JAWA TENGAH,KOTA SEMARANG
3,301003,SMK NEGERI  3 SEMARANG,20328946,N,366,67.55,51.07,32.44,73.28,"56,09",3,1,3,2016,JAWA TENGAH,KOTA SEMARANG
4,301004,SMK NEGERI  4 SEMARANG,20328945,N,555,78.41,72.92,64.17,77.03,"73,13",3,1,4,2016,JAWA TENGAH,KOTA SEMARANG
5,301005,SMK NEGERI  5 SEMARANG,20328944,N,444,72.29,71.7,55.61,75.63,"68,81",3,1,5,2016,JAWA TENGAH,KOTA SEMARANG
6,301006,SMK NEGERI  6 SEMARANG,20328981,N,369,76.18,68.06,43.14,78.85,"66,56",3,1,6,2016,JAWA TENGAH,KOTA SEMARANG
7,301007,SMK NEGERI  7 SEMARANG,20337604,N,591,85.84,74.27,84.57,88.04,"83,18",3,1,7,2016,JAWA TENGAH,KOTA SEMARANG
8,301008,SMK NEGERI  8 SEMARANG,20328962,N,372,74.17,61.05,46.12,76.62,"64,49",3,1,8,2016,JAWA TENGAH,KOTA SEMARANG
9,301009,SMK NEGERI  9 SEMARANG,20328969,N,342,78.71,65.74,47.32,80.09,"67,97",3,1,9,2016,JAWA TENGAH,KOTA SEMARANG
10,301010,SMK NEGERI 10 SEMARANG,20328947,N,327,69.13,67.29,43.27,68.91,"62,15",3,1,10,2016,JAWA TENGAH,KOTA SEMARANG
11,301011,SMK NEGERI 11 SEMARANG,20328963,N,498,73.16,62.39,42.17,76.0,"63,43",3,1,11,2016,JAWA TENGAH,KOTA SEMARANG
12,301200,SMK THERESIANA,20328868,S,305,80.83,70.93,63.81,81.3,"74,22",3,1,200,2016,JAWA TENGAH,KOTA SEMARANG
13,301201,SMK NUSAPUTERA 2,20328991,S,175,78.14,69.34,58.13,83.67,"72,32",3,1,201,2016,JAWA TENGAH,KOTA SEMARANG
14,301204,SMK ANTONIUS,20331919,S,88,72.02,53.23,36.25,75.17,"59,17",3,1,204,2016,JAWA TENGAH,KOTA SEMARANG
15,301205,SMK CINDE SEMARANG,20331920,S,30,67.07,57.33,29.42,69.54,"55,84",3,1,205,2016,JAWA TENGAH,KOTA SEMARANG
16,301206,SMK CUT NYA DIEN,20328976,S,103,70.14,54.23,32.16,77.11,"58,41",3,1,206,2016,JAWA TENGAH,KOTA SEMARANG
