No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,1801101,SMK NEGERI 3 PALU,40203629,N,518,60.86,38.19,29.36,36.72,"41,28",18,1,101,2018,SULAWESI TENGAH,KOTA PALU
2,1801102,SMK NEGERI 7 PALU,40203626,N,76,54.08,30.84,27.34,36.64,"37,23",18,1,102,2018,SULAWESI TENGAH,KOTA PALU
3,1801103,SMK BINA POTENSI,40203613,S,67,53.79,34.81,39.07,36.08,"40,94",18,1,103,2018,SULAWESI TENGAH,KOTA PALU
4,1801104,SMK KRISTEN BALA KESELAMATAN PALU,40203615,S,163,57.35,32.63,29.33,32.76,"38,02",18,1,104,2018,SULAWESI TENGAH,KOTA PALU
5,1801105,SMK MUHAMMADIYAH 1 PALU,40203630,S,188,60.19,35.35,30.16,40.48,"41,55",18,1,105,2018,SULAWESI TENGAH,KOTA PALU
6,1801106,SMK SWADAYA 2 PALU,40203627,S,11,52.73,29.27,27.73,31.59,"35,33",18,1,106,2018,SULAWESI TENGAH,KOTA PALU
7,1801107,SMK NEGERI 1 PALU,40203599,N,266,61.52,41.74,30.83,47.81,"45,48",18,1,107,2018,SULAWESI TENGAH,KOTA PALU
8,1801108,SMK PONPES ALKHAIRAAT PALU,40203617,S,15,59.47,36.0,31.67,42.0,"42,29",18,1,108,2018,SULAWESI TENGAH,KOTA PALU
9,1801109,SMK PONPES AMALIA PALU,40203601,S,23,54.87,28.43,27.5,23.91,"33,68",18,1,109,2018,SULAWESI TENGAH,KOTA PALU
10,1801110,SMK MANDALASILA,40203622,S,46,60.91,40.96,30.65,42.66,"43,80",18,1,110,2018,SULAWESI TENGAH,KOTA PALU
11,1801111,SMK NEGERI 2 PALU,40203606,N,633,60.87,41.54,31.11,46.76,"45,07",18,1,111,2018,SULAWESI TENGAH,KOTA PALU
12,1801112,SMK PGRI PALU,40203603,S,53,58.94,33.58,26.73,45.38,"41,16",18,1,112,2018,SULAWESI TENGAH,KOTA PALU
13,1801113,SMK PANCASILA PALU,40203604,S,42,53.57,34.43,29.58,42.86,"40,11",18,1,113,2018,SULAWESI TENGAH,KOTA PALU
14,1801114,SMK NURUL ISLAM TAWAELI PALU,40203605,S,31,53.29,29.16,28.23,40.48,"37,79",18,1,114,2018,SULAWESI TENGAH,KOTA PALU
15,1801115,SMK ALKHAIRAAT PALU,40203625,S,128,57.39,33.64,27.25,40.82,"39,78",18,1,115,2018,SULAWESI TENGAH,KOTA PALU
16,1801116,SMK SWADAYA 1 PALU,40203602,S,10,59.2,32.8,29.5,45.75,"41,81",18,1,116,2018,SULAWESI TENGAH,KOTA PALU
17,1801117,SMK NEGERI 4 PALU,40203623,N,79,56.91,32.85,29.02,39.59,"39,59",18,1,117,2018,SULAWESI TENGAH,KOTA PALU
18,1801119,SMK NEGERI 5 PALU,40203621,N,75,56.13,34.93,28.33,41.4,"40,20",18,1,119,2018,SULAWESI TENGAH,KOTA PALU
19,1801120,SMK NEGERI 6 PALU,40203620,N,276,52.43,31.35,27.29,35.34,"36,60",18,1,120,2018,SULAWESI TENGAH,KOTA PALU
20,1801121,SMK NUSANTARA PALU,40203624,S,163,64.63,45.4,35.02,51.87,"49,23",18,1,121,2018,SULAWESI TENGAH,KOTA PALU
21,1801122,SMK PELAYARAN TRI DHARMA PALU,40203628,S,17,55.13,35.38,27.79,35.31,"38,40",18,1,122,2018,SULAWESI TENGAH,KOTA PALU
22,1801123,SMK NEGERI 8 PALU,40206709,N,61,57.21,31.64,28.52,35.7,"38,27",18,1,123,2018,SULAWESI TENGAH,KOTA PALU
23,1801124,SMK ISLAMIC CENTER,40206565,S,46,47.87,30.52,27.01,32.72,"34,53",18,1,124,2018,SULAWESI TENGAH,KOTA PALU
24,1801125,SMK JUSTITIA,40210102,S,13,64.15,35.54,28.65,35.96,"41,08",18,1,125,2018,SULAWESI TENGAH,KOTA PALU
25,1801126,SMK TOVEAKU,69895443,S,42,40.76,27.57,26.07,24.17,"29,64",18,1,126,2018,SULAWESI TENGAH,KOTA PALU
26,1801127,SMK BINA BAKAT KARTIKA ANDI MASSE PALU,69949246,S,6,56.0,33.0,31.67,35.83,"39,13",18,1,127,2018,SULAWESI TENGAH,KOTA PALU
27,1802001,SMK NEGERI 1 BANAWA,40200731,N,253,53.69,32.72,27.69,34.99,"37,27",18,2,1,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
28,1802002,SMK NEGERI 2 BANAWA,40200717,N,28,57.36,36.93,32.68,44.91,"42,97",18,2,2,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
29,1802003,SMK NEGERI 1 LABUAN,40200732,N,135,52.07,34.36,29.13,32.07,"36,91",18,2,3,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
30,1802004,SMK NEGERI 1 BALAESANG,40204418,N,49,58.29,29.67,26.99,42.81,"39,44",18,2,4,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
31,1802005,SMK AL-AMIIN WANI,40200733,S,67,54.15,30.93,25.41,52.24,"40,68",18,2,5,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
32,1802006,SMK NEGERI 1 BANAWA SELATAN,40204585,N,55,58.33,31.45,27.95,35.5,"38,31",18,2,6,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
33,1802007,SMKN 1 SINDUE TOBATA,40206617,N,48,48.54,28.54,27.29,35.42,"34,95",18,2,7,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
34,1802008,SMKN 1 SOJOL UTARA,40206619,N,44,58.36,29.59,31.7,31.02,"37,67",18,2,8,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
35,1802009,SMK NEGERI 1 TERPADU SINDUE,69758313,N,67,53.76,29.67,27.8,31.57,"35,70",18,2,9,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
36,1802011,SMK NEGERI 1 SOJOL,69758311,N,82,65.32,45.46,36.86,45.46,"48,28",18,2,11,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
37,1802012,SMK NEGERI 1 PINEMBANI,69762608,N,10,37.8,26.2,25.5,26.0,"28,88",18,2,12,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
38,1802013,SMK MANBAUL HIKMAH,69764528,S,18,65.0,36.11,27.92,40.83,"42,47",18,2,13,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
39,1802014,SMK NEGERI 1 RIO PAKAVA,69758987,N,37,55.51,31.68,29.53,37.3,"38,51",18,2,14,2018,SULAWESI TENGAH,KABUPATEN DONGGALA
40,1803001,SMK NEGERI 1 POSO,40201354,N,231,61.41,35.52,29.44,40.13,"41,63",18,3,1,2018,SULAWESI TENGAH,KABUPATEN POSO
41,1803002,SMK NEGERI 2 POSO,40201353,N,65,60.77,35.2,28.54,35.04,"39,89",18,3,2,2018,SULAWESI TENGAH,KABUPATEN POSO
42,1803003,SMK NEGERI 1 POSO PESISIR,40201352,N,118,57.08,33.14,27.94,31.91,"37,52",18,3,3,2018,SULAWESI TENGAH,KABUPATEN POSO
43,1803004,SMK TEKNIK EKLESIA TENTENA,40201351,S,86,60.16,33.28,29.24,34.45,"39,28",18,3,4,2018,SULAWESI TENGAH,KABUPATEN POSO
44,1803005,SMK GKST TENTENA,40201350,S,94,58.81,32.34,28.67,33.59,"38,35",18,3,5,2018,SULAWESI TENGAH,KABUPATEN POSO
45,1803006,SMK NEGERI 1 PAMONA UTARA,40204273,N,61,57.44,30.13,27.83,34.34,"37,44",18,3,6,2018,SULAWESI TENGAH,KABUPATEN POSO
46,1803007,SMK  ALKHAIRAT POSO,40206566,S,12,51.83,27.67,27.5,33.54,"35,14",18,3,7,2018,SULAWESI TENGAH,KABUPATEN POSO
47,1803008,SMK GKST POSO,40201330,S,63,56.7,31.02,26.67,29.96,"36,09",18,3,8,2018,SULAWESI TENGAH,KABUPATEN POSO
48,1803009,SMK NEGERI 1 LORE TIMUR,40205708,N,56,56.82,44.82,40.98,41.34,"45,99",18,3,9,2018,SULAWESI TENGAH,KABUPATEN POSO
49,1803011,SMK NEGERI 1 PAMONA SELATAN,40206611,N,89,56.22,27.98,27.95,32.53,"36,17",18,3,11,2018,SULAWESI TENGAH,KABUPATEN POSO
