No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,1001001,SMK NEGERI 1 JAMBI,10505463,N,350,66.07,55.7,39.7,75.81,"59,32",10,1,1,2016,JAMBI,KOTA JAMBI
2,1001002,SMK NEGERI 2 JAMBI,10504612,N,617,64.31,49.74,31.19,75.19,"55,11",10,1,2,2016,JAMBI,KOTA JAMBI
3,1001003,SMK NEGERI 3 JAMBI,10504613,N,405,56.72,51.5,27.69,69.91,"51,46",10,1,3,2016,JAMBI,KOTA JAMBI
4,1001004,SMK NEGERI 4 JAMBI,10504614,N,314,65.42,49.83,45.21,73.98,"58,61",10,1,4,2016,JAMBI,KOTA JAMBI
5,1001005,SMK BATANGHARI JAMBI,10504617,S,129,60.19,43.46,24.15,70.95,"49,69",10,1,5,2016,JAMBI,KOTA JAMBI
6,1001006,SMK VETERAN JAMBI,10504622,S,48,63.83,44.33,20.42,74.69,"50,82",10,1,6,2016,JAMBI,KOTA JAMBI
7,1001007,SMK RIVANI INDRA PUTRA JAMBI,10504601,S,156,66.31,51.96,32.96,74.23,"56,37",10,1,7,2016,JAMBI,KOTA JAMBI
8,1001008,SMK SATRIA JAMBI,10504602,S,129,57.27,37.63,22.77,69.96,"46,91",10,1,8,2016,JAMBI,KOTA JAMBI
9,1001009,SMK JAMBI IX LURAH 1 JAMBI,10504608,S,18,63.56,60.0,32.22,64.67,"55,11",10,1,9,2016,JAMBI,KOTA JAMBI
10,1001010,SMK TEKNOLOGI PENERBANGAN INDONESIA JAMBI,10505887,S,36,67.11,55.17,34.58,73.34,"57,55",10,1,10,2016,JAMBI,KOTA JAMBI
11,1001011,SMK PGRI 1 JAMBI,10504596,S,35,63.66,47.43,36.43,72.83,"55,09",10,1,11,2016,JAMBI,KOTA JAMBI
12,1001012,SMK PGRI 2 JAMBI,10504597,S,298,59.01,39.1,26.11,70.92,"48,79",10,1,12,2016,JAMBI,KOTA JAMBI
13,1001013,SMK DHARMA BHAKTI 1 JAMBI,10504619,S,126,60.62,45.14,25.24,71.48,"50,62",10,1,13,2016,JAMBI,KOTA JAMBI
14,1001014,SMK PURNAMA 1 JAMBI,10504599,S,16,67.88,42.13,19.22,66.88,"49,03",10,1,14,2016,JAMBI,KOTA JAMBI
15,1001015,SMK UNGGUL SAKTI JAMBI,10504606,S,373,68.78,61.27,43.93,72.58,"61,64",10,1,15,2016,JAMBI,KOTA JAMBI
16,1001016,SMK ATTAUFIQ JAMBI,10504616,S,93,67.2,48.47,33.44,75.42,"56,13",10,1,16,2016,JAMBI,KOTA JAMBI
17,1001017,SMK JAMBI IX LURAH 2,10504608,S,119,52.5,41.82,23.05,71.04,"47,10",10,1,17,2016,JAMBI,KOTA JAMBI
18,1001018,SMK DHARMA BHAKTI 3 JAMBI,10504620,S,28,56.14,43.71,21.96,70.5,"48,08",10,1,18,2016,JAMBI,KOTA JAMBI
19,1001019,SMK NUSANTARA JAMBI,10504595,S,75,62.48,46.21,24.9,78.91,"53,13",10,1,19,2016,JAMBI,KOTA JAMBI
20,1001020,SMK DHARMA BHAKTI 4 JAMBI,10504621,S,62,60.61,42.39,26.65,71.5,"50,29",10,1,20,2016,JAMBI,KOTA JAMBI
21,1001021,SMK PGRI 4 JAMBI,10504598,S,8,65.25,48.25,36.56,73.15,"55,80",10,1,21,2016,JAMBI,KOTA JAMBI
22,1001022,SMK AL IRSYAD JAMBI,10504615,S,34,61.47,54.35,42.43,77.0,"58,81",10,1,22,2016,JAMBI,KOTA JAMBI
23,1001023,SMK PELITA RAYA,10504605,S,97,66.1,63.86,37.73,78.48,"61,54",10,1,23,2016,JAMBI,KOTA JAMBI
24,1001024,SMK TARUNA INDONESIA JAMBI,10504604,S,108,57.48,39.07,26.09,68.26,"47,73",10,1,24,2016,JAMBI,KOTA JAMBI
25,1001025,SMK PRASASTI KARANG BERAHI JAMBI,10504981,S,60,60.03,39.47,27.38,71.3,"49,55",10,1,25,2016,JAMBI,KOTA JAMBI
26,1001026,SMK SURYA IBU JAMBI,10504603,S,36,52.22,36.33,25.35,73.11,"46,75",10,1,26,2016,JAMBI,KOTA JAMBI
27,1001028,SMK HARAPAN BANGSA,10505440,S,47,58.68,39.74,28.83,69.06,"49,08",10,1,28,2016,JAMBI,KOTA JAMBI
28,1001029,SMK YADIKA,10505437,S,185,64.27,43.98,29.35,75.95,"53,39",10,1,29,2016,JAMBI,KOTA JAMBI
29,1001030,SMK NEGERI 5 KOTA JAMBI,10505934,N,50,54.92,57.56,31.8,72.29,"54,14",10,1,30,2016,JAMBI,KOTA JAMBI
30,1001031,SMK TAMAN BUDAYA,10507257,S,34,60.41,38.53,23.01,65.8,"46,94",10,1,31,2016,JAMBI,KOTA JAMBI
31,1001032,SMK FANIA SALSABILA,10506165,S,64,62.72,66.94,41.33,83.53,"63,63",10,1,32,2016,JAMBI,KOTA JAMBI
32,1001033,SMKS MANDIRI JAMBI,69820434,S,5,71.2,56.0,34.0,68.38,"57,40",10,1,33,2016,JAMBI,KOTA JAMBI
33,1001034,SMK MUHAMMADIYAH KOTA JAMBI,69830442,S,12,67.33,52.33,26.46,71.28,"54,35",10,1,34,2016,JAMBI,KOTA JAMBI
34,1002001,SMK NEGERI 1 SUNGAI PENUH,10502416,N,150,59.6,51.68,23.63,73.43,"52,09",10,2,1,2016,JAMBI,KOTA SUNGAI PENUH
35,1002002,SMK NEGERI 2 SUNGAI PENUH,10502356,N,196,70.3,72.32,54.32,76.96,"68,48",10,2,2,2016,JAMBI,KOTA SUNGAI PENUH
36,1002003,SMK NEGERI 3 SUNGAI PENUH,10502285,N,113,64.05,53.4,49.09,74.78,"60,33",10,2,3,2016,JAMBI,KOTA SUNGAI PENUH
37,1002004,SMK NEGERI 4 SUNGAI PENUH,10502301,N,80,54.78,58.13,55.47,71.35,"59,93",10,2,4,2016,JAMBI,KOTA SUNGAI PENUH
38,1002005,SMK NEGERI 5 SUNGAI PENUH,10502302,N,56,55.5,61.14,33.17,73.28,"55,77",10,2,5,2016,JAMBI,KOTA SUNGAI PENUH
39,1003001,SMK NEGERI 1 BATANGHARI,10500239,N,213,67.02,45.84,33.44,74.9,"55,30",10,3,1,2016,JAMBI,KABUPATEN BATANGHARI
40,1003002,SMK NEGERI 2 BATANGHARI,10500240,N,161,61.04,45.7,32.92,71.37,"52,76",10,3,2,2016,JAMBI,KABUPATEN BATANGHARI
41,1003003,SMK SERENTAK BAK REGAM MUARA BULIAN,10500243,S,15,55.07,36.4,29.67,65.49,"46,66",10,3,3,2016,JAMBI,KABUPATEN BATANGHARI
42,1003004,SMK KOSGORO MUARA BULIAN,10500242,S,23,59.48,58.7,39.02,69.42,"56,66",10,3,4,2016,JAMBI,KABUPATEN BATANGHARI
43,1003005,SMK IQRA MUARA BULIAN,10500241,S,44,54.95,44.95,39.94,69.44,"52,32",10,3,5,2016,JAMBI,KABUPATEN BATANGHARI
44,1003006,SMK-SPP NEGERI JAMBI,10507230,N,145,61.21,38.18,24.76,79.71,"50,97",10,3,6,2016,JAMBI,KABUPATEN BATANGHARI
45,1003007,SMK NEGERI 3 BATANGHARI,10507880,N,64,61.91,38.38,22.7,67.84,"47,71",10,3,7,2016,JAMBI,KABUPATEN BATANGHARI
46,1003008,SMK NEGERI 4 BATANG HARI,69820625,N,63,58.86,35.46,21.75,60.33,"44,10",10,3,8,2016,JAMBI,KABUPATEN BATANGHARI
