No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
2,201101,SMK NEGERI 1 BANDUNG,20219178,N,512,81.72,74.48,78.85,85.57,"80,16",2,1,101,2015,JAWA BARAT,KOTA BANDUNG
4,201102,SMK NEGERI 2 BANDUNG,20219146,N,504,68.28,72.18,57.04,77.17,"68,67",2,1,102,2015,JAWA BARAT,KOTA BANDUNG
6,201103,SMK NEGERI 3 BANDUNG,20219145,N,710,73.81,59.19,50.82,79.31,"65,78",2,1,103,2015,JAWA BARAT,KOTA BANDUNG
8,201104,SMK NEGERI 4 BANDUNG,20219144,N,400,73.65,74.08,59.21,81.8,"72,19",2,1,104,2015,JAWA BARAT,KOTA BANDUNG
10,201105,SMK NEGERI 5 BANDUNG,20219143,N,447,68.4,64.29,57.21,75.36,"66,32",2,1,105,2015,JAWA BARAT,KOTA BANDUNG
12,201106,SMK NEGERI 6 BANDUNG,20219142,N,754,69.47,61.65,56.85,77.31,"66,32",2,1,106,2015,JAWA BARAT,KOTA BANDUNG
14,201107,SMK NEGERI 7 BANDUNG,20219141,N,552,79.88,68.42,65.53,82.98,"74,20",2,1,107,2015,JAWA BARAT,KOTA BANDUNG
16,201108,SMK NEGERI 8 BANDUNG,20219140,N,413,67.93,68.93,57.25,76.32,"67,61",2,1,108,2015,JAWA BARAT,KOTA BANDUNG
18,201109,SMK NEGERI 9 BANDUNG,20219139,N,392,74.1,66.22,62.73,80.25,"70,83",2,1,109,2015,JAWA BARAT,KOTA BANDUNG
20,201110,SMK NEGERI 10 BANDUNG,20219176,N,233,66.6,61.96,56.09,83.27,"66,98",2,1,110,2015,JAWA BARAT,KOTA BANDUNG
22,201111,SMK NEGERI 11 BANDUNG,20219175,N,615,76.31,70.9,68.11,84.92,"75,06",2,1,111,2015,JAWA BARAT,KOTA BANDUNG
24,201112,SMK NEGERI 12 BANDUNG,20219174,N,415,73.99,70.09,58.43,84.26,"71,69",2,1,112,2015,JAWA BARAT,KOTA BANDUNG
26,201113,SMK NEGERI 13 BANDUNG,20219161,N,268,83.39,71.64,70.66,79.9,"76,40",2,1,113,2015,JAWA BARAT,KOTA BANDUNG
28,201114,SMK NEGERI 14 BANDUNG,20219160,N,363,66.1,61.43,56.36,77.71,"65,40",2,1,114,2015,JAWA BARAT,KOTA BANDUNG
30,201115,SMK NEGERI 15 BANDUNG,20219159,N,347,68.15,61.59,58.93,77.46,"66,53",2,1,115,2015,JAWA BARAT,KOTA BANDUNG
32,201116,SMK AL FALAH BANDUNG,20219320,S,229,60.21,56.51,46.7,79.63,"60,76",2,1,116,2015,JAWA BARAT,KOTA BANDUNG
34,201117,"SMK AL HASAN, KOTA BANDUNG",20219319,S,51,56.23,50.04,44.9,73.47,"56,16",2,1,117,2015,JAWA BARAT,KOTA BANDUNG
36,201118,"SMK ANGKASA HUSEN, KOTA BANDUNG",20219318,S,207,65.47,64.97,62.13,73.48,"66,51",2,1,118,2015,JAWA BARAT,KOTA BANDUNG
38,201119,"SMK BANDUNG SELATAN 1, KOTA BANDUNG",20219304,S,113,58.59,51.68,46.75,72.98,"57,50",2,1,119,2015,JAWA BARAT,KOTA BANDUNG
40,201120,"SMK BANDUNG SELATAN 2, KOTA BANDUNG",20219303,S,146,68.84,51.49,46.99,73.68,"60,25",2,1,120,2015,JAWA BARAT,KOTA BANDUNG
42,201121,"SMK BANDUNG UTARA, KOTA BANDUNG",60728750,S,11,60.0,46.2,48.41,74.22,"57,21",2,1,121,2015,JAWA BARAT,KOTA BANDUNG
44,201122,"SMK BHAKTI KENCANA BANDUNG, KOTA BANDUNG",20253131,S,119,68.7,64.24,49.37,78.26,"65,14",2,1,122,2015,JAWA BARAT,KOTA BANDUNG
46,201123,"SMK BAKTI MANDIRI, KOTA BANDUNG",20265524,S,25,61.51,49.55,45.9,73.29,"57,56",2,1,123,2015,JAWA BARAT,KOTA BANDUNG
48,201124,"SMK BINA INSAN MULIA, KOTA BANDUNG",20265525,S,35,73.82,54.39,56.43,77.12,"65,44",2,1,124,2015,JAWA BARAT,KOTA BANDUNG
50,201125,"SMK BINA PROFESI, KOTA BANDUNG",20265528,S,5,64.4,47.38,44.5,73.53,"57,45",2,1,125,2015,JAWA BARAT,KOTA BANDUNG
52,201126,"SMK BINA SARANA CENDEKIA, KOTA BANDUNG",20275326,S,315,65.08,52.01,47.49,74.56,"59,79",2,1,126,2015,JAWA BARAT,KOTA BANDUNG
54,201127,"SMK BINA WARGA, KOTA BANDUNG",20219289,S,212,68.98,54.83,49.98,76.56,"62,59",2,1,127,2015,JAWA BARAT,KOTA BANDUNG
56,201128,"SMK BPP, KOTA BANDUNG",20219288,S,99,63.58,52.24,47.37,77.92,"60,28",2,1,128,2015,JAWA BARAT,KOTA BANDUNG
58,201129,"SMK BUDAYA BANGSA, KOTA BANDUNG",20246140,S,32,58.8,54.61,46.72,72.87,"58,25",2,1,129,2015,JAWA BARAT,KOTA BANDUNG
60,201130,"SMK BUMI SILIWANGI, KOTA BANDUNG",20219284,S,113,77.13,66.98,65.33,85.62,"73,77",2,1,130,2015,JAWA BARAT,KOTA BANDUNG
64,201132,"SMK CITRA PEMBAHARUAN, KOTA BANDUNG",20265530,S,45,52.6,49.56,46.0,74.23,"55,60",2,1,132,2015,JAWA BARAT,KOTA BANDUNG
66,201133,"SMK DHYANA SAKTI, KOTA BANDUNG",20219285,S,48,66.22,66.02,63.18,75.08,"67,63",2,1,133,2015,JAWA BARAT,KOTA BANDUNG
