No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,1301001,SMK NEGERI 1 PONTIANAK,30105243,N,279,68.49,47.3,36.11,75.53,"56,86",13,1,1,2016,KALIMANTAN BARAT,KOTA PONTIANAK
2,1301002,SMK NEGERI 2 PONTIANAK,30105232,N,204,60.08,42.78,32.24,70.27,"51,34",13,1,2,2016,KALIMANTAN BARAT,KOTA PONTIANAK
3,1301003,SMK NEGERI 3 PONTIANAK,30105231,N,262,69.71,56.1,39.76,77.78,"60,84",13,1,3,2016,KALIMANTAN BARAT,KOTA PONTIANAK
4,1301004,SMK NEGERI 4 PONTIANAK,30105230,N,446,60.22,44.77,26.01,69.55,"50,14",13,1,4,2016,KALIMANTAN BARAT,KOTA PONTIANAK
5,1301005,SMK NEGERI 5 PONTIANAK,30105219,N,179,69.77,50.21,34.82,77.29,"58,02",13,1,5,2016,KALIMANTAN BARAT,KOTA PONTIANAK
6,1301006,SMK NEGERI 6 PONTIANAK,30105220,N,172,61.74,44.98,35.65,75.47,"54,46",13,1,6,2016,KALIMANTAN BARAT,KOTA PONTIANAK
7,1301007,SMK NEGERI 7 PONTIANAK,30107398,N,148,68.23,45.15,29.61,70.44,"53,36",13,1,7,2016,KALIMANTAN BARAT,KOTA PONTIANAK
8,1301008,SMK ABDI AGAPE PONTIANAK,30105194,S,116,64.29,47.28,30.32,72.63,"53,63",13,1,8,2016,KALIMANTAN BARAT,KOTA PONTIANAK
9,1301009,SMK BHINEKA TUNGGAL IKA PONTIANAK,30105196,S,43,65.63,42.7,32.09,71.58,"53,00",13,1,9,2016,KALIMANTAN BARAT,KOTA PONTIANAK
10,1301010,SMK BINA UTAMA PONTIANAK,30105197,S,150,65.85,43.93,26.47,67.61,"50,97",13,1,10,2016,KALIMANTAN BARAT,KOTA PONTIANAK
11,1301011,SMK BOEDI OETOMO PONTIANAK,30105198,S,12,55.0,38.17,26.25,74.66,"48,52",13,1,11,2016,KALIMANTAN BARAT,KOTA PONTIANAK
12,1301012,SMK CINTA BUMI KHATULISTIWA PONTIANAK,30105199,S,37,67.78,42.38,26.49,78.11,"53,69",13,1,12,2016,KALIMANTAN BARAT,KOTA PONTIANAK
13,1301013,SMK ETHIKA PONTIANAK,30105200,S,14,54.71,31.0,18.39,70.86,"43,74",13,1,13,2016,KALIMANTAN BARAT,KOTA PONTIANAK
14,1301014,SMK IMMANUEL PONTIANAK,30105216,S,206,74.88,74.38,60.13,76.6,"71,50",13,1,14,2016,KALIMANTAN BARAT,KOTA PONTIANAK
15,1301015,SMK KOPERASI PONTIANAK,30105202,S,75,63.47,42.56,22.43,75.84,"51,08",13,1,15,2016,KALIMANTAN BARAT,KOTA PONTIANAK
16,1301016,SMK MUHAMMADIYAH PONTIANAK,30105233,S,89,66.74,40.27,25.98,73.4,"51,60",13,1,16,2016,KALIMANTAN BARAT,KOTA PONTIANAK
17,1301017,SMK PGRI PONTIANAK,30105235,S,58,64.86,39.07,21.64,71.63,"49,30",13,1,17,2016,KALIMANTAN BARAT,KOTA PONTIANAK
18,1301019,SMK PUTRA KHATULISTIWA 1 PONTIANAK,30105238,S,94,62.32,42.55,27.29,70.95,"50,78",13,1,19,2016,KALIMANTAN BARAT,KOTA PONTIANAK
19,1301020,SMK RAHADI OSMAN PONTIANAK,30105239,S,11,62.91,36.18,20.45,69.02,"47,14",13,1,20,2016,KALIMANTAN BARAT,KOTA PONTIANAK
20,1301021,SMK SANTA MARIA PONTIANAK,30105240,S,28,75.71,62.21,38.13,76.64,"63,17",13,1,21,2016,KALIMANTAN BARAT,KOTA PONTIANAK
21,1301023,SMK LKIA PONTIANAK,30105217,S,130,71.66,51.91,37.13,73.38,"58,52",13,1,23,2016,KALIMANTAN BARAT,KOTA PONTIANAK
22,1301024,SMK YPK PONTIANAK,30105242,S,82,69.49,47.61,32.32,72.47,"55,47",13,1,24,2016,KALIMANTAN BARAT,KOTA PONTIANAK
23,1301025,SMK MANDIRI PONTIANAK,30105218,S,165,63.67,40.5,24.53,72.15,"50,21",13,1,25,2016,KALIMANTAN BARAT,KOTA PONTIANAK
24,1301026,SMK AL-MADANI PONTIANAK,30105195,S,84,63.62,53.29,29.2,71.02,"54,28",13,1,26,2016,KALIMANTAN BARAT,KOTA PONTIANAK
25,1301027,SMTI PONTIANAK,30108179,N,178,69.48,46.24,31.67,70.58,"54,49",13,1,27,2016,KALIMANTAN BARAT,KOTA PONTIANAK
26,1301028,SMK NEGERI 9 PONTIANAK,30110024,N,61,63.7,41.38,25.29,71.31,"50,42",13,1,28,2016,KALIMANTAN BARAT,KOTA PONTIANAK
27,1301038,SMK PELAYARAN PEMBANGUNAN,30108178,S,44,64.55,40.59,27.1,68.96,"50,30",13,1,38,2016,KALIMANTAN BARAT,KOTA PONTIANAK
28,1301039,SMK NEGERI 8 PONTIANAK,30109745,N,134,60.91,39.64,30.88,69.28,"50,18",13,1,39,2016,KALIMANTAN BARAT,KOTA PONTIANAK
29,1301040,SMK MUHAMMADIYAH 2 PONTIANAK,69757904,S,46,68.74,44.83,25.6,70.29,"52,37",13,1,40,2016,KALIMANTAN BARAT,KOTA PONTIANAK
30,1302001,SMK NEGERI 1 SINGKAWANG,30105519,N,304,62.06,42.51,29.23,69.46,"50,82",13,2,1,2016,KALIMANTAN BARAT,KOTA SINGKAWANG
31,1302002,SMK NEGERI 2 SINGKAWANG,30105520,N,310,72.11,56.74,38.98,77.13,"61,24",13,2,2,2016,KALIMANTAN BARAT,KOTA SINGKAWANG
32,1302003,SMK NEGERI 3 SINGKAWANG,30105521,N,111,70.81,47.84,33.51,74.25,"56,60",13,2,3,2016,KALIMANTAN BARAT,KOTA SINGKAWANG
33,1302004,SMK PERTIWI SINGKAWANG,30105513,S,5,54.0,32.8,18.5,0.0,"26,33",13,2,4,2016,KALIMANTAN BARAT,KOTA SINGKAWANG
34,1302005,SMK PRATIWI SINGKAWANG,30105514,S,169,70.28,57.11,42.31,77.64,"61,84",13,2,5,2016,KALIMANTAN BARAT,KOTA SINGKAWANG
35,1302007,SMK SM. TSJAFIOEDDIN SINGKAWANG,30105516,S,55,65.49,55.27,31.0,78.21,"57,49",13,2,7,2016,KALIMANTAN BARAT,KOTA SINGKAWANG
