No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,801001,SMA NEGERI 1 PADANG,10303461.0,N,27,81.11,69.56,76.94,76.3,71.04,83.93,0.0,8,1,1,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
2,801002,SMA NEGERI 2 PADANG,10303499.0,N,68,63.74,54.85,72.98,58.09,63.35,67.5,0.0,8,1,2,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
3,801003,SMA NEGERI 3 PADANG,10303500.0,N,46,68.7,58.96,58.26,61.9,63.48,72.0,0.0,8,1,3,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
4,801004,SMA NEGERI 4 PADANG,10303501.0,N,62,70.35,60.68,79.88,65.85,67.58,73.97,0.0,8,1,4,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
5,801005,SMA NEGERI 5 PADANG,10303502.0,N,147,62.72,52.94,73.98,56.16,60.14,63.31,0.0,8,1,5,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
6,801006,SMA NEGERI 6 PADANG,10303503.0,N,126,63.05,51.29,61.87,56.9,56.84,63.13,0.0,8,1,6,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
7,801007,SMA NEGERI 7 PADANG,10303504.0,N,64,62.88,54.19,74.69,60.16,65.66,63.47,0.0,8,1,7,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
8,801008,SMA NEGERI 8 PADANG,10303505.0,N,104,59.63,52.4,70.99,53.49,58.75,61.04,0.0,8,1,8,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
9,801009,SMA NEGERI 9 PADANG,10303506.0,N,87,63.22,52.11,68.74,56.84,60.48,62.78,0.0,8,1,9,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
10,801010,SMA NEGERI 10 PADANG,10303462.0,N,21,75.24,64.95,61.43,66.55,65.62,72.48,0.0,8,1,10,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
11,801011,SMA NEGERI 11 PADANG,10303463.0,N,59,53.15,44.95,42.63,51.19,48.51,46.85,0.0,8,1,11,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
12,801012,SMA NEGERI 12 PADANG,10303480.0,N,91,62.07,53.56,74.51,53.21,59.03,62.33,0.0,8,1,12,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
13,801013,SMA NEGERI 13 PADANG,10303481.0,N,106,55.23,48.17,50.83,47.1,53.08,58.89,0.0,8,1,13,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
14,801014,SMA NEGERI 14 PADANG,10303482.0,N,109,61.58,45.41,59.66,54.13,63.38,64.31,0.0,8,1,14,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
15,801015,SMA NEGERI 15 PADANG,10304833.0,N,117,60.87,50.55,67.41,55.26,60.89,62.48,0.0,8,1,15,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
16,801016,SMA NEGERI 16 PADANG,10308323.0,N,119,56.52,51.58,63.61,49.12,54.44,61.5,0.0,8,1,16,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
17,801101,SMA PGRI 1 PADANG,10303442.0,S,125,57.87,45.44,62.46,49.64,59.87,58.72,0.0,8,1,101,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
18,801102,SMA PGRI 2 PADANG,10303441.0,S,74,48.24,52.68,75.84,50.78,57.32,59.19,0.0,8,1,102,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
19,801103,SMA PGRI 3 PADANG,10303440.0,S,44,48.23,40.82,70.91,58.64,62.55,56.82,0.0,8,1,103,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
20,801104,SMA PGRI 4 PADANG,10303439.0,S,77,54.18,51.95,69.77,52.18,54.62,58.99,0.0,8,1,104,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
21,801106,SMA MUHAMMADIYAH 1 PADANG,10303476.0,S,20,41.2,42.1,46.13,61.0,45.3,51.3,0.0,8,1,106,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
22,801107,SMA MUHAMMADIYAH 2 PADANG,10303477.0,S,39,41.69,44.1,75.06,60.51,52.82,55.33,0.0,8,1,107,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
23,801108,SMA MUHAMMADIYAH 3 PADANG,10303478.0,S,28,52.07,43.14,67.14,61.61,63.0,61.5,0.0,8,1,108,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
24,801109,SMA PERTIWI 1 PADANG,10303445.0,S,144,58.4,49.71,51.34,50.64,52.43,54.9,0.0,8,1,109,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
25,801110,SMA PERTIWI 2 PADANG,10303443.0,S,66,57.0,49.03,74.73,57.27,59.67,62.61,0.0,8,1,110,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
26,801111,SMA ADABIAH PADANG,10303557.0,S,160,61.49,52.64,75.23,54.0,59.68,64.85,0.0,8,1,111,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
27,801112,SMA BAITURRAHMAH PADANG,10303558.0,S,60,54.1,49.4,70.25,55.04,58.2,61.17,0.0,8,1,112,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
28,801113,SMA EKA SAKTI PADANG,10303469.0,S,45,51.69,48.09,32.17,55.06,57.16,45.91,0.0,8,1,113,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
29,801115,SMA PERTI PADANG,10303464.0,S,34,46.24,46.82,51.54,60.51,54.71,57.47,0.0,8,1,115,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
30,801116,SMA TAMAN SISWA PADANG,10303449.0,S,27,55.11,48.44,62.41,60.46,60.81,57.63,0.0,8,1,116,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
31,801117,SMA PGAI (DR. H. ABD. AHMAD) PADANG,10303468.0,S,25,54.96,50.0,63.7,60.7,63.28,59.28,0.0,8,1,117,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
32,801118,SMA KARTIKA I-5,10303472.0,S,167,53.1,42.93,49.79,51.57,53.8,53.69,0.0,8,1,118,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
33,801119,SMA SEMEN PADANG,10303447.0,S,117,61.52,54.24,67.84,48.7,60.6,61.86,0.0,8,1,119,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
34,801120,SMA MURNI PADANG,10303479.0,S,16,51.5,39.63,36.25,46.09,49.63,48.13,0.0,8,1,120,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
35,801121,SMA ISLAM LIGA DAKWAH,10303471.0,S,13,61.69,31.54,28.85,44.23,49.69,56.92,0.0,8,1,121,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
36,801122,SMA YAPI PADANG,10303460.0,S,28,53.79,52.36,58.39,60.54,49.5,57.71,0.0,8,1,122,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
37,801123,SMA YAYASAN BUNDA PADANG,10303545.0,S,60,50.0,50.2,62.92,55.29,55.33,60.23,0.0,8,1,123,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
38,801124,SMA PEMBANGUNAN LABORATORIUM UNP,10303465.0,S,136,60.32,46.22,46.6,50.53,55.0,57.91,0.0,8,1,124,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
39,801125,SMA BUKIT BARISAN,10303559.0,S,79,55.42,51.82,78.1,54.75,61.09,59.95,0.0,8,1,125,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
40,801126,SMA SIMA PADANG SELATAN,10303448.0,S,32,58.63,42.88,56.8,60.08,54.0,52.19,0.0,8,1,126,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
41,801127,SMA DON BOSCO PADANG,10303467.0,S,76,68.74,56.97,61.18,57.34,60.39,67.21,0.0,8,1,127,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
42,801128,SMA KRISTEN KALAM KUDUS PADANG,10303474.0,S,5,56.8,42.4,50.5,54.5,52.0,59.6,0.0,8,1,128,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
43,801129,SMA  KATOLIK XAVERIUS,10303473.0,S,18,63.0,37.22,36.11,52.08,52.56,57.33,0.0,8,1,129,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
44,801130,SMA MEDIA UTAMA,10303475.0,S,19,43.47,45.05,72.89,55.66,56.0,53.68,0.0,8,1,130,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
45,801131,SMA DM TRI GUNA,10304832.0,S,39,50.26,49.69,57.88,58.78,49.03,55.9,0.0,8,1,131,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
46,801132,SMA SWASTA DIAN ANDALAS,10304831.0,S,60,57.7,55.37,49.0,53.0,60.43,55.8,0.0,8,1,132,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
47,801134,SMA ADABIAH 2 PADANG,10310898.0,S,114,61.53,53.02,68.99,50.31,60.74,63.63,0.0,8,1,134,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
48,801135,SMA SWASTA HUDAYA,69754608.0,S,31,45.29,38.39,26.21,57.02,58.9,41.74,0.0,8,1,135,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
49,801136,SMA YARI,69826560.0,S,5,68.8,45.2,61.5,59.5,54.0,62.0,0.0,8,1,136,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
50,801201,MA NEGERI 1 PADANG,10263746.0,N,134,57.55,40.09,45.15,46.23,49.67,53.33,0.0,8,1,201,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
51,801202,MA NEGERI 2 PADANG,10303513.0,N,166,68.57,53.16,72.12,59.83,63.66,67.06,0.0,8,1,202,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
52,801203,MA NEGERI 3 PADANG,10263743.0,N,88,56.32,37.11,41.08,42.33,51.23,47.55,0.0,8,1,203,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
53,801301,MA SWASTA MTI LUBUK BEGALUNG,10303532.0,S,20,56.3,50.8,38.5,57.5,48.0,41.2,0.0,8,1,301,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
54,801304,MA SWASTA LIMAU MANIS,10304829.0,S,16,54.75,49.38,42.5,59.84,59.25,48.0,0.0,8,1,304,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
55,801306,MA PP THAWALIB PADANG,10263747.0,S,11,56.18,49.45,32.05,58.86,56.91,49.27,0.0,8,1,306,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
56,801308,MAS AL FURQAN,69788219.0,S,25,45.52,47.36,51.7,57.8,58.48,39.92,0.0,8,1,308,2016,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
