No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,16010001,SMA NEGERI 1 SAMARINDA,30401066.0,N,67,72.81,60.69,36.38,60.23,64.0,62.33,58.13,16,1,0,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KOTA SAMARINDA
2,16010002,SMA NEGERI 2 SAMARINDA,30401059.0,N,111,77.41,62.32,36.44,62.67,69.47,49.0,61.09,16,1,0,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KOTA SAMARINDA
3,16010003,SMA NEGERI 3 SAMARINDA,30401058.0,N,71,76.31,63.89,36.02,57.81,60.71,63.78,59.36,16,1,0,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KOTA SAMARINDA
4,16010004,SMA NEGERI 4 SAMARINDA,30401050.0,N,189,60.14,40.65,30.48,46.5,49.78,52.4,45.23,16,1,0,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KOTA SAMARINDA
5,16010005,SMA NEGERI 5 SAMARINDA,30401051.0,N,164,74.12,58.29,33.57,56.54,63.41,61.0,56.51,16,1,0,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KOTA SAMARINDA
6,16010006,SMA NEGERI 6 SAMARINDA,30401052.0,N,101,69.76,45.9,31.41,49.04,59.82,55.55,51.15,16,1,0,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KOTA SAMARINDA
7,16010007,SMA NEGERI 7 SAMARINDA,30401053.0,N,89,67.42,46.63,32.78,54.25,55.02,50.8,50.28,16,1,0,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KOTA SAMARINDA
8,16010008,SMA NEGERI 8 SAMARINDA,30401054.0,N,83,78.02,63.01,38.01,63.54,71.66,65.5,62.16,16,1,0,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KOTA SAMARINDA
9,16010009,SMA NEGERI 9 SAMARINDA,30401055.0,N,102,61.45,41.24,29.83,47.06,53.35,46.79,45.44,16,1,0,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KOTA SAMARINDA
10,16010010,SMA NEGERI 10 SAMARINDA,30401067.0,N,17,83.18,68.71,35.74,67.92,0.0,70.55,64.31,16,1,1,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KOTA SAMARINDA
11,16010011,SMA NEGERI 11 SAMARINDA,30401068.0,N,131,61.76,44.06,28.99,49.09,50.39,48.66,46.06,16,1,1,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KOTA SAMARINDA
12,16010012,SMA NEGERI 12 SAMARINDA,30401060.0,N,26,59.46,40.0,28.85,65.0,49.0,52.22,44.76,16,1,1,2019,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KOTA SAMARINDA
