No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,1401001,SMA NEGERI 1 PALANGKA RAYA,30203479.0,N,213,67.41,46.11,24.21,38.15,48.85,42.25,0.0,14,1,1,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
2,1401002,SMA NEGERI 2 PALANGKA RAYA,30203478.0,N,122,73.27,57.05,36.41,41.05,56.86,49.46,0.0,14,1,2,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
3,1401003,SMA NEGERI 3 PALANGKA RAYA,30203477.0,N,156,64.07,39.01,24.98,35.32,46.83,37.6,0.0,14,1,3,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
4,1401004,SMA NEGERI 4 PALANGKA RAYA,30203488.0,N,152,61.0,35.4,23.25,32.04,43.75,35.72,0.0,14,1,4,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
5,1401005,SMA NEGERI 5 PALANGKA RAYA,30203489.0,N,46,71.5,51.7,41.09,40.6,56.65,45.09,0.0,14,1,5,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
6,1401006,SMA NEGERI 6 PALANGKA RAYA,30203500.0,N,40,55.96,33.9,22.72,30.19,40.9,36.55,0.0,14,1,6,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
7,1401007,SMA GARUDA PALANGKA RAYA,30203403.0,S,12,53.8,53.67,33.25,40.63,40.71,35.17,0.0,14,1,7,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
8,1401008,SMA ISEN MULANG PALANGKA RAYA,30203402.0,S,39,76.88,67.07,53.61,46.28,48.39,55.74,0.0,14,1,8,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
9,1401009,SMA KARYA PALANGKA RAYA,30203401.0,S,8,81.95,74.55,63.91,50.63,48.74,57.25,0.0,14,1,9,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
10,1401010,SMA KATHOLIK PALANGKA RAYA,30203412.0,S,36,65.69,36.32,21.53,32.5,46.24,38.17,0.0,14,1,10,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
11,1401011,SMA KRISTEN PALANGKA RAYA,30203501.0,S,43,58.33,33.46,21.78,29.3,42.54,36.47,0.0,14,1,11,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
12,1401012,SMA MUHAMMADIYAH 1 PALANGKA RAYA,30203487.0,S,59,64.05,40.0,22.33,35.04,45.69,37.63,0.0,14,1,12,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
13,1401013,SMA MUHAMMADIYAH 2 PALANGKA RAYA,30203486.0,S,22,72.79,53.82,48.5,53.3,53.81,57.36,0.0,14,1,13,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
14,1401014,SMA NU PALANGKA RAYA,30203485.0,S,15,63.41,35.57,26.16,34.5,46.57,37.07,0.0,14,1,14,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
15,1401015,SMA NUSANTARA PALANGKA RAYA,30203484.0,S,53,56.11,31.83,22.63,29.53,40.2,33.21,0.0,14,1,15,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
16,1401016,SMA PANANTIRING TANGKILING,30203483.0,S,10,42.8,38.07,22.31,33.0,43.15,36.8,0.0,14,1,16,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
17,1401017,SMA PERINTIS BUKIT PINANG,30203482.0,S,14,64.22,44.57,19.19,33.75,39.91,34.43,0.0,14,1,17,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
18,1401018,SMA PGRI 1 PALANGKA RAYA,30203481.0,S,12,57.53,29.86,19.46,26.67,39.1,36.83,0.0,14,1,18,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
19,1401019,SMA PGRI 2 PALANGKA RAYA,30203706.0,S,16,56.12,61.13,55.09,44.84,48.61,56.88,0.0,14,1,19,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
20,1401020,SMA PURNAMA PALANGKA RAYA,30203480.0,S,9,65.64,39.91,37.38,35.0,34.78,41.56,0.0,14,1,20,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
21,1401022,MA  NEGERI MODEL PALANGKA RAYA,,N,66,67.45,46.21,33.52,43.75,54.97,44.76,0.0,14,1,22,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
22,1401023,MA  ANNUR,,S,18,54.94,31.49,22.37,29.44,40.93,34.0,0.0,14,1,23,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
23,1401024,MA  DARUL ULUM,,S,40,63.15,34.93,22.59,31.19,40.63,34.15,0.0,14,1,24,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
24,1401025,MA  HIDAYATUL INSAN PALANGKA RAYA,,S,11,69.55,39.67,26.26,35.23,49.45,42.0,0.0,14,1,25,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
25,1401026,MA  MIFTAHUL JANNAH,,S,19,62.92,32.03,23.14,32.11,45.15,31.68,0.0,14,1,26,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
26,1401027,MA  MUSLIMAT NU,,S,22,64.65,32.25,25.66,33.64,43.7,34.82,0.0,14,1,27,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
27,1401029,MA. RAUDHATUL JANNAH PALANGKA RAYA,,S,12,64.29,35.64,34.7,34.17,47.23,39.33,0.0,14,1,29,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
28,1401033,SMA NEGERI 8 PALANGKA RAYA,30205406.0,N,10,69.97,55.8,42.43,33.0,46.34,36.4,0.0,14,1,33,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KOTA PALANGKA RAYA
29,1402001,SMA NEGERI 1 PANGKALAN BUN,30201848.0,N,105,77.56,65.39,47.81,53.17,60.85,55.62,0.0,14,2,1,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
30,1402002,SMA NEGERI 2 PANGKALAN BUN,30201847.0,N,99,64.58,53.9,26.23,51.64,48.55,39.41,0.0,14,2,2,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
31,1402003,SMA NEGERI 3 PANGKALAN BUN,30201846.0,N,132,68.41,44.98,28.32,42.58,51.69,44.53,0.0,14,2,3,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
32,1402004,SMA NEGERI 1 KUMAI,30201849.0,N,91,57.4,35.27,22.93,28.76,40.75,35.58,0.0,14,2,4,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
33,1402005,SMA NEGERI 2 KUMAI,30203686.0,N,68,69.24,50.15,28.76,36.84,49.76,41.09,0.0,14,2,5,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
34,1402006,SMA NEGERI 1 PANGKALAN LADA,30203685.0,N,95,75.41,53.83,46.28,46.47,52.76,53.62,0.0,14,2,6,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
35,1402007,SMA NEGERI 1 KOTAWARINGIN LAMA,30201850.0,N,43,81.92,71.65,73.23,70.29,69.84,70.7,0.0,14,2,7,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
36,1402008,SMA NEGERI 1 PANGKALAN BANTENG,30203696.0,N,71,69.04,42.64,31.98,34.82,53.07,43.86,0.0,14,2,8,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
37,1402009,SMA NEGERI 1 ARUT UTARA,30203695.0,N,28,79.21,62.35,45.11,70.27,61.64,45.21,0.0,14,2,9,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
38,1402010,SMA ABDI PANGKALAN BUN,30203672.0,S,11,59.46,39.7,21.0,33.18,47.17,37.45,0.0,14,2,10,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
39,1402011,SMA PGRI 1 PANGKALAN BUN,30201852.0,S,8,47.96,45.95,37.29,36.25,42.45,35.0,0.0,14,2,11,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
40,1402012,SMA PGRI 5 PIRSUS II,30203693.0,S,24,69.8,49.09,62.56,45.31,53.59,54.08,0.0,14,2,12,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
41,1402013,MA  NEGERI PANGKALAN BUN,30201927.0,N,68,68.0,37.71,23.84,33.75,46.03,38.09,0.0,14,2,13,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
42,1402014,MA SWASTA BABUSSALAM KUMAI,30208774.0,S,15,65.54,35.61,28.09,34.67,46.32,33.87,0.0,14,2,14,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
43,1402015,MA SWASTA DARUL MUTTAQIN PANGKALAN LADA,30201907.0,S,18,67.34,41.19,51.48,43.33,62.13,42.89,0.0,14,2,15,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
44,1402016,MA SWASTA PANGKALAN BUN,30201906.0,S,34,61.97,30.57,22.98,32.72,43.32,34.76,0.0,14,2,16,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
45,1402018,MA MANBAUL ULUM,69849471.0,S,16,61.19,55.76,47.87,32.03,52.53,42.75,0.0,14,2,18,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN BARAT
46,1403001,SMA NEGERI 1 SAMPIT,30201459.0,N,81,76.55,64.1,62.75,56.82,59.9,61.48,0.0,14,3,1,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN TIMUR
47,1403002,SMA NEGERI 2 SAMPIT,30201460.0,N,114,75.16,65.29,66.23,51.86,58.32,60.61,0.0,14,3,2,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN TIMUR
48,1403003,SMA NEGERI 3 SAMPIT,30201462.0,N,113,67.29,51.71,62.25,56.79,64.4,61.59,0.0,14,3,3,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN TIMUR
49,1403004,SMA NEGERI 4 SAMPIT,30201448.0,N,38,57.31,57.15,55.58,30.79,41.33,42.53,0.0,14,3,4,2015,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN KOTAWARINGIN TIMUR
