No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,1101001,SMAN 1 PALEMBANG,10603865.0,N,112,81.83,74.31,86.86,67.77,75.91,72.54,0.0,11,1,1,2015,SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG
2,1101002,SMAN 2 PALEMBANG,10603845.0,N,113,78.05,65.97,89.47,64.87,72.8,72.44,0.0,11,1,2,2015,SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG
3,1101003,SMAN 3 PALEMBANG,10603844.0,N,78,87.12,83.98,90.96,74.52,80.78,73.92,0.0,11,1,3,2015,SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG
4,1101004,SMAN 4 PALEMBANG,10603864.0,N,112,79.34,71.81,87.76,66.45,74.39,72.2,0.0,11,1,4,2015,SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG
5,1101005,SMAN 5 PALEMBANG,10603842.0,N,37,84.58,83.92,89.2,73.11,79.13,74.22,0.0,11,1,5,2015,SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG
6,1101006,SMAN 6 PALEMBANG,10603853.0,N,77,82.55,70.02,82.73,63.54,73.19,71.48,0.0,11,1,6,2015,SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG
7,1101007,SMAN 7 PALEMBANG,10603863.0,N,118,84.51,81.93,87.83,71.17,77.99,72.51,0.0,11,1,7,2015,SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG
8,1101008,SMAN 8 PALEMBANG,10603855.0,N,127,76.45,65.43,85.1,61.08,75.87,67.95,0.0,11,1,8,2015,SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG
9,1101009,SMAN 9 PALEMBANG,10603866.0,N,102,82.42,75.11,85.96,65.51,72.95,72.69,0.0,11,1,9,2015,SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG
10,1101010,SMAN 10 PALEMBANG,10603850.0,N,165,77.24,66.07,88.08,60.18,73.91,69.89,0.0,11,1,10,2015,SUMATERA SELATAN,SUMATERA SELATAN,KOTA PALEMBANG
