No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,701001,SMA NEGERI 1 MEDAN,10210873.0,N,46,90.37,84.47,86.75,78.86,76.18,67.21,0.0,7,1,1,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
2,701002,SMA NEGERI 2 MEDAN,10210853.0,N,90,90.49,83.33,88.69,78.08,77.51,65.99,0.0,7,1,2,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
3,701003,SMA NEGERI 3 MEDAN,10210856.0,N,184,91.05,84.17,88.58,79.99,77.38,66.83,0.0,7,1,3,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
4,701004,SMA NEGERI 4 MEDAN,10210857.0,N,84,90.43,81.59,87.55,79.05,77.39,65.75,0.0,7,1,4,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
5,701005,SMA NEGERI 5 MEDAN,10210858.0,N,159,88.63,83.04,84.85,78.66,72.64,68.51,0.0,7,1,5,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
6,701006,SMA NEGERI 6 MEDAN,10210859.0,N,83,89.47,81.06,85.22,78.95,75.77,64.42,0.0,7,1,6,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
7,701007,SMA NEGERI 7 MEDAN,10210860.0,N,127,89.1,82.54,87.76,79.27,77.0,64.86,0.0,7,1,7,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
8,701008,SMA NEGERI 8 MEDAN,10210861.0,N,136,87.59,81.53,86.58,78.75,75.33,60.18,0.0,7,1,8,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
9,701009,SMA NEGERI 9 MEDAN,10210862.0,N,106,69.97,81.33,87.8,80.19,75.76,53.64,0.0,7,1,9,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
10,701010,SMA NEGERI 10 MEDAN,10210874.0,N,115,86.18,81.38,85.71,78.52,73.4,65.62,0.0,7,1,10,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
11,701011,SMA NEGERI 11 MEDAN,10210875.0,N,126,86.13,80.92,85.64,78.95,76.03,59.92,0.0,7,1,11,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
12,701012,SMA NEGERI 12 MEDAN,10210876.0,N,133,85.87,83.14,86.02,77.67,75.37,68.12,0.0,7,1,12,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
13,701013,SMA NEGERI 13 MEDAN,10210877.0,N,115,83.44,77.4,80.16,73.65,71.51,66.39,0.0,7,1,13,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
14,701014,SMA NEGERI 14 MEDAN,10210865.0,N,108,87.46,80.94,85.86,78.08,74.13,65.88,0.0,7,1,14,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
15,701015,SMA NEGERI 15 MEDAN,10210864.0,N,162,86.71,82.68,84.54,77.72,75.6,66.82,0.0,7,1,15,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
16,701016,SMA NEGERI 16 MEDAN,10210863.0,N,90,86.71,83.64,85.45,77.67,76.04,63.95,0.0,7,1,16,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
17,701017,SMA NEGERI 17 MEDAN,10210851.0,N,113,87.83,82.01,87.21,78.78,75.2,66.38,0.0,7,1,17,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
18,701018,SMA NEGERI 18 MEDAN,10210852.0,N,79,87.11,79.98,87.56,78.01,76.15,63.96,0.0,7,1,18,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
19,701019,MA NEGERI 1 MEDAN,60725193.0,N,131,88.99,82.66,86.08,79.1,76.44,66.53,0.0,7,1,19,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
