No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,1301001,SMA NEGERI 1 PONTIANAK,30105210.0,N,61,77.77,68.1,67.91,70.63,75.45,74.55,0.0,13,1,1,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
2,1301002,SMA NEGERI 2 PONTIANAK,30105211.0,N,153,67.06,43.96,34.51,52.5,65.4,56.76,0.0,13,1,2,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
3,1301003,SMA NEGERI 3 PONTIANAK,30105212.0,N,100,71.64,51.24,48.63,65.21,68.5,65.61,0.0,13,1,3,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
4,1301004,SMA NEGERI 4 PONTIANAK,30105213.0,N,135,63.57,41.14,31.19,44.5,58.0,55.55,0.0,13,1,4,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
5,1301005,SMA NEGERI 5 PONTIANAK,30105214.0,N,145,55.78,32.43,29.6,60.94,53.63,40.0,0.0,13,1,5,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
6,1301006,SMA NEGERI 6 PONTIANAK,30105215.0,N,144,58.76,32.18,31.28,49.25,52.56,49.91,0.0,13,1,6,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
7,1301007,SMA NEGERI 7 PONTIANAK,30105205.0,N,138,69.43,46.78,34.55,50.0,58.19,60.53,0.0,13,1,7,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
8,1301008,SMA NEGERI 8 PONTIANAK,30105204.0,N,95,61.39,35.43,31.03,43.61,58.41,58.0,0.0,13,1,8,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
9,1301009,SMA NEGERI 9 PONTIANAK,30105203.0,N,101,59.76,38.16,31.11,45.77,61.83,52.92,0.0,13,1,9,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
10,1301010,SMA SANTO FRANSISKUS ASISI PONTIANAK,30105072.0,S,116,64.76,44.38,33.34,55.0,61.05,56.17,0.0,13,1,10,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
11,1301011,SMA ABDI AGAPE PONTIANAK,30105077.0,S,13,59.69,35.08,31.15,0.0,54.15,0.0,0.0,13,1,11,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
12,1301013,SMA KRISTEN MARANATHA PONTIANAK,30105209.0,S,75,59.44,34.45,29.03,42.38,59.17,37.43,0.0,13,1,13,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
13,1301014,SMA YPK PONTIANAK,30105208.0,S,15,63.47,33.2,27.67,52.5,56.46,68.0,0.0,13,1,14,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
14,1301015,SMA SANTO PETRUS PONTIANAK,30105074.0,S,142,72.49,61.0,51.5,65.19,68.25,52.69,0.0,13,1,15,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
15,1301016,SMA MUHAMMADIYAH 1 PONTIANAK,30105066.0,S,110,60.55,38.51,31.52,48.27,57.75,47.47,0.0,13,1,16,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
16,1301017,SMA MUJAHIDIN PONTIANAK,30105067.0,S,79,58.96,32.0,29.02,43.13,53.48,60.4,0.0,13,1,17,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
17,1301018,SMA SULTAN SYARIF ABDURRAHMAN PONTIANAK,30105192.0,S,29,44.0,30.34,23.88,0.0,43.59,0.0,0.0,13,1,18,2017,KALIMANTAN BARAT,KALIMANTAN BARAT,KOTA PONTIANAK
