No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,2701001,SMA NEGERI 1 KOTA TERNATE,60200723,N,101,52.18,34.79,25.74,36.21,41.68,44.28,0.0,27,1,1,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
2,2701002,SMA NEGERI 2 KOTA TERNATE,60200722,N,75,47.68,27.87,23.0,33.53,37.12,41.73,0.0,27,1,2,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
3,2701003,SMA NEGERI 3 KOTA TERNATE,60200721,N,86,44.67,46.44,66.54,57.35,44.09,34.4,0.0,27,1,3,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
4,2701004,SMA NEGERI 4 KOTA TERNATE,60200720,N,60,44.33,25.67,20.71,46.88,35.8,52.47,0.0,27,1,4,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
5,2701005,SMA NEGERI 5 KOTA  TERNATE,60200796,N,102,48.9,46.16,63.82,54.75,43.78,67.22,0.0,27,1,5,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
6,2701006,SMA NEGERI 10 KOTA TERNATE,60200727,N,83,47.49,33.47,22.2,24.22,31.16,33.69,0.0,27,1,6,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
7,2701007,SMA MUHAMMADIYAH KOTA TERNATE,60200728,S,24,42.25,22.33,20.52,28.33,31.83,33.42,0.0,27,1,7,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
8,2701008,SMA ALKHAIRAT KOTA TERNATE,60200711,S,19,66.11,48.21,65.66,59.61,45.68,68.53,0.0,27,1,8,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
9,2701009,SMA ISLAM KOTA TERNATE,60200709,S,49,72.0,48.29,68.21,54.69,44.37,66.57,0.0,27,1,9,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
10,2701010,SMA NEGERI 11 KOTA TERNATE,60202499,N,19,63.05,43.47,35.53,35.92,45.89,41.05,0.0,27,1,10,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
11,2701011,SMA NEGERI 6 KOTA TERNATE,60200783,N,43,45.63,44.74,61.45,52.38,42.19,58.09,0.0,27,1,11,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
12,2701013,SMA NEGERI 7 KOTA TERNATE,60200782,N,14,63.71,30.86,32.32,40.0,43.57,59.57,0.0,27,1,13,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
13,2701014,SMA AL-IRSYAD KOTA TERNATE,60203813,S,5,41.2,32.0,25.5,28.0,29.2,30.4,0.0,27,1,14,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
14,2701015,SMA NEGERI 8 KOTA TERNATE,60202317,N,20,56.4,35.6,28.5,37.88,39.5,46.6,0.0,27,1,15,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
15,2701021,SMA KATOLIK BINTANG LAUT KOTA TERNATE,69759245,S,8,54.75,40.25,54.69,39.38,43.25,58.75,0.0,27,1,21,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
16,2701301,MA NEGERI MODEL  TERNATE,60205623,N,45,49.33,27.64,23.78,35.0,38.22,40.84,0.0,27,1,301,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
17,2701302,MA SWASTA ALKHAIRAAT KOTA TERNATE,60205622,S,30,55.4,27.33,21.33,26.17,35.93,43.07,0.0,27,1,302,2016,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
18,2702001,SMA NEGERI 1 TIDORE KEPULAUAN,60200951,N,41,58.88,47.07,57.87,37.87,42.29,51.76,0.0,27,2,1,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
19,2702002,SMA NEGERI 2 TIDORE KEPULAUAN,60200950,N,39,73.69,59.9,72.24,62.18,35.64,74.21,0.0,27,2,2,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
20,2702003,SMA NEGERI 3 TIDORE KEPULAUAN,60200949,N,38,84.47,63.26,85.07,63.03,41.58,78.21,0.0,27,2,3,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
21,2702004,SMA NEGERI 6 TIDORE KEPULAUAN,60202074,N,34,66.0,60.35,77.21,60.74,37.12,71.41,0.0,27,2,4,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
22,2702005,SMA NEGERI 4 TIDORE KEPULAUAN,60200952,N,26,60.23,53.62,57.6,57.88,37.54,56.46,0.0,27,2,5,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
23,2702007,SMA NEGERI 7 TIDORE KEPULAUAN,60202071,N,18,72.33,59.0,78.33,60.56,37.78,71.33,0.0,27,2,7,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
24,2702008,SMA NEGERI 5 TIDORE KEPULAUAN,60202073,N,45,56.58,42.0,66.72,56.72,52.76,48.49,0.0,27,2,8,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
25,2702009,SMA NEGERI 8 TIDORE KEPULAUAN,60202075,N,43,51.95,60.42,76.57,59.77,37.58,61.02,0.0,27,2,9,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
26,2702010,SMA MUHAMMADIYAH 2 KOTA TIDORE KEPULAUAN,60203595,S,11,65.09,51.64,83.18,61.36,38.91,71.64,0.0,27,2,10,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
27,2702011,SMA NEGERI 9 TIDORE KEPULAUAN,60200953,N,18,74.33,52.33,80.83,62.92,36.78,74.33,0.0,27,2,11,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
28,2702013,SMA MUHAMMADIYAH 1 TIDORE,60202072,S,22,65.73,54.91,69.66,58.52,38.0,69.0,0.0,27,2,13,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
29,2702014,SMA NEGERI 10 TIDORE KEPULAUAN,60202076,N,62,68.55,62.45,74.19,60.32,37.9,72.03,0.0,27,2,14,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
30,2702015,SMA MUHAMMADIYAH 3 TIDORE,60203596,S,11,59.09,51.45,78.86,59.55,38.0,64.73,0.0,27,2,15,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
31,2702016,SMA MUHAMMADIYAH 4 TIDORE,60203597,S,13,66.0,42.46,39.62,40.0,41.85,63.54,0.0,27,2,16,2016,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
