No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,2701001,SMA NEGERI 1 KOTA TERNATE,60200723,N,196,55.36,37.64,26.4,47.25,44.71,43.37,0.0,27,1,1,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
2,2701002,SMA NEGERI 2 KOTA TERNATE,60200722,N,110,51.07,32.33,25.95,40.83,40.73,40.0,0.0,27,1,2,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
3,2701003,SMA NEGERI 3 KOTA TERNATE,60200721,N,97,45.34,29.63,25.05,35.0,37.54,34.97,0.0,27,1,3,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
4,2701004,SMA NEGERI 4 KOTA TERNATE,60200720,N,134,48.16,31.39,25.35,38.41,38.31,32.83,0.0,27,1,4,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
5,2701005,SMA NEGERI 5 KOTA  TERNATE,60200796,N,100,41.92,29.3,25.23,32.32,34.67,33.2,0.0,27,1,5,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
6,2701006,SMA NEGERI 10 KOTA TERNATE,60200727,N,81,41.68,28.84,24.41,28.0,34.56,33.83,0.0,27,1,6,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
7,2701007,SMA MUHAMMADIYAH KOTA TERNATE,60200728,S,13,44.77,28.92,23.65,33.75,36.33,33.2,0.0,27,1,7,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
8,2701008,SMA ALKHAIRAT KOTA TERNATE,60200711,S,29,43.24,29.17,27.33,34.64,36.73,0.0,0.0,27,1,8,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
9,2701009,SMA ISLAM KOTA TERNATE,60200709,S,33,43.27,28.18,26.06,35.0,37.85,37.0,0.0,27,1,9,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
10,2701010,SMA NEGERI 11 KOTA TERNATE,60202499,N,19,58.53,35.26,28.82,0.0,0.0,42.95,0.0,27,1,10,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
11,2701011,SMA NEGERI 6 KOTA TERNATE,60200783,N,14,39.86,27.43,27.86,33.13,33.11,30.0,0.0,27,1,11,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
12,2701013,SMA NEGERI 7 KOTA TERNATE,60200782,N,14,49.43,40.14,33.75,54.38,48.5,63.0,0.0,27,1,13,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
13,2701014,SMA AL-IRSYAD KOTA TERNATE,60203813,S,11,40.91,28.0,29.77,40.0,37.6,0.0,0.0,27,1,14,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
14,2701015,SMA NEGERI 8 KOTA TERNATE,60202317,N,18,66.78,58.22,30.0,45.0,56.93,66.0,0.0,27,1,15,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
15,2701021,SMA KATOLIK BINTANG LAUT KOTA TERNATE,69759245,S,16,49.63,36.13,26.88,0.0,0.0,38.25,0.0,27,1,21,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
16,2701301,MA NEGERI 1 TERNATE,60205623,N,36,51.61,36.17,27.5,56.11,40.0,35.04,0.0,27,1,301,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
17,2701302,MA SWASTA ALKHAIRAAT KOTA TERNATE,60205622,S,24,47.58,33.92,26.98,0.0,41.0,40.09,0.0,27,1,302,2018,MALUKU UTARA,MALUKU UTARA,KOTA TERNATE
18,2702001,SMA NEGERI 1 TIDORE KEPULAUAN,60200951,N,26,65.77,59.38,60.0,57.5,54.22,54.5,0.0,27,2,1,2018,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
19,2702002,SMA NEGERI 2 TIDORE KEPULAUAN,60200950,N,18,47.78,42.0,36.39,0.0,38.67,50.67,0.0,27,2,2,2018,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
20,2702003,SMA NEGERI 3 TIDORE KEPULAUAN,60200949,N,59,53.15,60.98,46.23,60.89,61.7,83.52,0.0,27,2,3,2018,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
21,2702004,SMA NEGERI 6 TIDORE KEPULAUAN,60202074,N,16,50.63,38.75,31.88,62.5,41.0,51.0,0.0,27,2,4,2018,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
22,2702005,SMA NEGERI 4 TIDORE KEPULAUAN,60200952,N,20,73.2,62.0,63.25,48.75,65.5,45.0,0.0,27,2,5,2018,MALUKU UTARA,MALUKU UTARA,KOTA TIDORE KEPULAUAN
