No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,901001,SMA NEGERI 1 PEKANBARU,10403985.0,N,45,64.89,61.47,55.78,59.17,58.71,63.42,0.0,9,1,1,2016,RIAU,RIAU,KOTA PEKANBARU
2,901002,SMA NEGERI 2 PEKANBARU,10404013.0,N,90,67.29,54.58,63.5,71.83,52.76,71.91,0.0,9,1,2,2016,RIAU,RIAU,KOTA PEKANBARU
3,901003,SMA NEGERI 3 PEKANBARU,10404014.0,N,144,67.6,54.04,64.57,75.16,61.68,67.17,0.0,9,1,3,2016,RIAU,RIAU,KOTA PEKANBARU
4,901004,SMA NEGERI 4 PEKANBARU,10404015.0,N,128,72.14,59.41,58.14,60.39,58.11,69.05,0.0,9,1,4,2016,RIAU,RIAU,KOTA PEKANBARU
5,901005,SMA NEGERI 5 PEKANBARU,10404016.0,N,167,71.65,65.78,64.3,77.63,64.17,72.78,0.0,9,1,5,2016,RIAU,RIAU,KOTA PEKANBARU
6,901006,SMA NEGERI 6 PEKANBARU,10404017.0,N,115,64.07,55.18,56.8,65.43,57.98,65.22,0.0,9,1,6,2016,RIAU,RIAU,KOTA PEKANBARU
7,901007,SMA NEGERI 7 PEKANBARU,10404018.0,N,127,64.49,61.42,59.86,75.87,58.77,69.92,0.0,9,1,7,2016,RIAU,RIAU,KOTA PEKANBARU
8,901008,SMA NEGERI 8 PEKANBARU,10404019.0,N,64,72.5,61.56,61.29,62.85,62.59,71.03,0.0,9,1,8,2016,RIAU,RIAU,KOTA PEKANBARU
9,901009,SMA NEGERI 9 PEKANBARU,10404031.0,N,163,67.06,63.46,69.75,77.65,60.71,71.18,0.0,9,1,9,2016,RIAU,RIAU,KOTA PEKANBARU
10,901010,SMA NEGERI 10 PEKANBARU,10404020.0,N,136,68.75,61.35,54.26,72.26,60.62,65.5,0.0,9,1,10,2016,RIAU,RIAU,KOTA PEKANBARU
11,901011,SMA NEGERI 11 PEKANBARU,10404010.0,N,141,63.94,56.16,56.99,77.68,56.67,59.79,0.0,9,1,11,2016,RIAU,RIAU,KOTA PEKANBARU
12,901012,SMA NEGERI 12 PEKANBARU,10404011.0,N,166,70.37,53.1,70.83,67.52,55.67,63.01,0.0,9,1,12,2016,RIAU,RIAU,KOTA PEKANBARU
13,901013,SMA NEGERI 13 PEKANBARU,10494617.0,N,56,64.0,43.07,51.65,59.02,50.89,60.04,0.0,9,1,13,2016,RIAU,RIAU,KOTA PEKANBARU
14,901015,SMA SANTAMARIA PEKANBARU,10404022.0,S,157,69.81,57.91,56.97,66.34,55.35,69.62,0.0,9,1,15,2016,RIAU,RIAU,KOTA PEKANBARU
15,901016,SMA SETIA DHARMA PEKANBARU,10404026.0,S,42,57.1,48.48,45.77,76.07,46.71,49.81,0.0,9,1,16,2016,RIAU,RIAU,KOTA PEKANBARU
16,901017,SMA CENDANA PEKANBARU,10403996.0,S,53,68.08,64.23,56.04,65.14,63.58,73.21,0.0,9,1,17,2016,RIAU,RIAU,KOTA PEKANBARU
17,901018,SMA MUHAMMADIYAH PEKANBARU,10403993.0,S,77,60.44,39.51,28.02,45.03,48.13,53.3,0.0,9,1,18,2016,RIAU,RIAU,KOTA PEKANBARU
18,901019,SMA SERIRAMA YLPI PEKANBARU,10404024.0,S,58,55.76,42.62,42.03,70.69,44.41,53.38,0.0,9,1,19,2016,RIAU,RIAU,KOTA PEKANBARU
19,901020,SMA PGRI PEKANBARU,10404008.0,S,102,60.61,36.82,52.38,59.29,48.41,62.75,0.0,9,1,20,2016,RIAU,RIAU,KOTA PEKANBARU
20,901021,SMA WIDYA GRAHA (YKWI) PEKANBARU,10404030.0,S,11,49.45,52.73,48.86,72.5,39.64,46.18,0.0,9,1,21,2016,RIAU,RIAU,KOTA PEKANBARU
21,901022,SMA HANDAYANI PEKANBARU,10403987.0,S,92,61.0,51.98,56.85,60.16,52.91,61.07,0.0,9,1,22,2016,RIAU,RIAU,KOTA PEKANBARU
22,901023,SMA DATUK BATU HAMPAR PEKANBARU,10403995.0,S,14,49.86,47.86,44.29,75.89,52.29,66.29,0.0,9,1,23,2016,RIAU,RIAU,KOTA PEKANBARU
23,901024,SMA BUDHI LUHUR PEKANBARU,10404007.0,S,30,53.13,37.8,21.67,76.92,54.53,51.0,0.0,9,1,24,2016,RIAU,RIAU,KOTA PEKANBARU
