No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,2301001,SMA NEGERI 1 MATARAM,50204503,N,47,78.6,69.96,54.68,61.77,74.09,64.0,0.0,23,1,1,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
2,2301002,SMA NW MATARAM,50204489,S,13,55.69,27.38,27.12,43.75,0.0,37.14,0.0,23,1,2,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
3,2301003,SMA MUHAMMADIYAH MATARAM,50204491,S,20,53.8,33.3,27.38,47.5,57.0,43.86,0.0,23,1,3,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
4,2301004,SMA NEGERI 2 MATARAM,50204517,N,199,64.0,49.03,36.07,53.57,55.34,65.6,0.0,23,1,4,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
5,2301006,SMA TRISAKTI MATARAM,50204502,S,37,53.3,32.76,27.64,47.5,46.47,35.6,0.0,23,1,6,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
6,2301007,SMA HANGTUAH MATARAM,50204497,S,21,55.24,36.19,27.74,0.0,0.0,40.95,0.0,23,1,7,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
7,2301008,SMA NEGERI 7 MATARAM,50204513,N,249,55.34,35.96,32.12,50.66,47.14,47.46,0.0,23,1,8,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
8,2301009,SMA NEGERI 3 MATARAM,50204497,N,158,61.92,46.65,34.83,45.71,56.73,46.52,0.0,23,1,9,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
9,2301010,SMA DARUL HIKMAH MATARAM,50204498,S,23,53.39,30.96,29.78,30.83,48.63,50.0,0.0,23,1,10,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
10,2301011,SMA SARASWATI MATARAM,50204488,S,9,47.33,29.56,29.17,33.89,0.0,0.0,0.0,23,1,11,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
11,2301012,SMA NEGERI 6 MATARAM,50204514,N,160,60.53,36.63,32.56,54.53,51.76,41.6,0.0,23,1,12,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
12,2301013,SMA NEGERI 4 MATARAM,50204516,N,130,58.54,36.52,29.63,43.79,51.11,51.0,0.0,23,1,13,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
13,2301014,SMA 45 MATARAM,50204501,S,7,46.57,26.86,31.79,0.0,45.14,0.0,0.0,23,1,14,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
14,2301016,SMA DARUL FALAH PAGUTAN,50204499,S,39,58.77,34.21,31.47,0.0,48.12,45.18,0.0,23,1,16,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
15,2301017,SMAK KESUMA CAKRANEGARA,50204494,S,98,68.51,55.06,36.05,65.42,58.68,69.2,0.0,23,1,17,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
16,2301018,SMA NEGERI 5 MATARAM,50204515,N,89,65.46,52.31,36.69,54.52,60.43,42.67,0.0,23,1,18,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
17,2301019,SMA NASIONAL MATARAM,50204490,S,19,49.47,29.68,27.5,0.0,46.32,0.0,0.0,23,1,19,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
18,2301020,SMA JANAMARGA MATARAM,50204495,S,15,43.33,31.73,29.33,0.0,46.53,0.0,0.0,23,1,20,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
19,2301021,SMA KERTAWISATA MATARAM,50204493,S,15,58.93,43.73,41.67,45.71,56.0,0.0,0.0,23,1,21,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
20,2301023,MA NEGERI 1 MATARAM,50105650,N,107,63.03,37.57,32.94,0.0,59.72,0.0,0.0,23,1,23,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
21,2301024,MA AL-RAISYIAH MATARAM,50105653,S,25,52.24,36.64,30.1,0.0,44.32,0.0,0.0,23,1,24,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
22,2301025,MA DARUL AMAN MATARAM,50105648,S,29,54.97,33.86,22.33,0.0,47.79,0.0,0.0,23,1,25,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
23,2301026,MA NW MATARAM,50105652,S,15,51.87,32.13,23.17,0.0,46.93,0.0,0.0,23,1,26,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
24,2301027,MA NEGERI 2 MATARAM,50105651,N,79,66.78,47.34,39.02,67.86,61.38,76.0,0.0,23,1,27,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
25,2301029,MA NURUL IMAN PAGUTAN,50105654,S,15,53.2,37.47,23.67,0.0,42.13,0.0,0.0,23,1,29,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
26,2301031,SMA NEGERI 8 MATARAM,50204511,N,129,52.59,31.53,29.11,42.37,47.49,0.0,0.0,23,1,31,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
27,2301032,MA AL-BAROKAH MATARAM,50105656,S,10,51.2,44.0,19.5,0.0,41.2,0.0,0.0,23,1,32,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
28,2301033,MA AL-INTHISOR,50105649,S,18,54.22,34.78,25.0,0.0,46.67,0.0,0.0,23,1,33,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
29,2301034,MA MIFTAHUL ISHLAH TEMBELOK,50223280,S,21,54.29,34.29,18.45,0.0,48.1,0.0,0.0,23,1,34,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
30,2301037,MAS NURUSSALAMAH,69881516,S,16,50.63,34.13,20.0,0.0,41.88,0.0,0.0,23,1,37,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA MATARAM
31,2302001,SMA NEGERI 1 KOTA BIMA,50204732,N,53,64.49,41.25,31.18,51.97,57.53,61.0,0.0,23,2,1,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA BIMA
32,2302002,SMA SALAHUDDIN,50204736,S,31,32.71,25.72,27.07,31.35,36.0,30.55,0.0,23,2,2,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA BIMA
33,2302003,SMA YASIM,50204734,S,23,31.65,22.7,25.98,0.0,33.57,0.0,0.0,23,2,3,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA BIMA
34,2302004,SMA NEGERI 2 KOTA BIMA,50204731,N,94,50.62,29.13,28.3,40.86,44.87,45.8,0.0,23,2,4,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA BIMA
35,2302005,SMA AL-HIDAYAH,50204727,S,32,34.88,26.94,26.56,26.75,34.18,31.82,0.0,23,2,5,2017,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,KOTA BIMA
