No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,2801001,"SMA NEGERI 1 TAMANSARI, PANGKALPINANG",10901104,N,34,74.76,59.29,48.6,63.38,63.41,72.59,0.0,28,1,1,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
2,2801002,"SMA NEGERI 2 BUKIT INTAN, PANGKALPINANG",10901134,N,112,64.75,49.21,38.5,47.39,47.64,56.2,0.0,28,1,2,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
3,2801003,"SMA NEGERI 3 RANGKUI, PANGKALPINANG",10901135,N,97,64.62,43.44,36.57,46.55,51.69,58.52,0.0,28,1,3,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
4,2801004,"SMA NEGERI 4 GABEK, PANGKALPINANG",10901153,N,120,67.17,42.6,31.4,49.9,52.38,59.38,0.0,28,1,4,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
5,2801005,"SMA SANTO YOSEF RANGKUI, PANGKALPINANG",10901100,S,105,67.6,59.39,56.81,60.05,59.31,64.1,0.0,28,1,5,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
6,2801006,"SMA MUHAMMADIYAH RANGKUI, PANGKALPINANG",10901098,S,11,59.45,33.27,23.64,38.41,45.45,44.55,0.0,28,1,6,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
7,2801007,"SMA SWADAYA GIRIMAYA, PANGKALPINANG",10901101,S,16,56.75,38.88,31.88,43.28,45.75,49.75,0.0,28,1,7,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
8,2801008,"SMA THB BUKIT INTAN, PANGKALPINANG",10901103,S,89,51.35,50.18,31.32,33.01,40.58,40.18,0.0,28,1,8,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
9,2801009,"SMA DEPATI AMIR PANGKALBALAM, PANGKALPINANG",10901097,S,18,54.11,28.56,25.83,38.19,40.33,39.33,0.0,28,1,9,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
10,2801010,"SMA PGRI  GERUNGGANG, PANGKALPINANG",10901099,S,16,51.0,35.25,30.31,32.34,39.5,38.63,0.0,28,1,10,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
11,2801011,"MA NEGERI  RANGKUI, PANGKALPINANG",10901910,N,152,57.24,31.97,29.38,44.34,45.08,44.21,0.0,28,1,11,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
12,2801012,"MA DARUSSALAM GERUNGGANG, PANGKALPINANG",10901909,S,23,53.39,42.26,22.61,32.17,42.61,41.39,0.0,28,1,12,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
13,2801014,"MA HIDAYATUSSALIKIN BUKIT INTAN, PANGKALPINANG",10901908,S,13,56.0,32.92,25.77,34.42,46.31,42.15,0.0,28,1,14,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
14,2801016,"SMAK SEMINARI MARIO JOHN BOEN RANGKUI, PANGKALPINA",69815370,S,12,75.33,48.0,61.25,62.08,68.83,76.17,0.0,28,1,16,2016,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
15,2802001,"SMA NEGERI 1 SUNGAILIAT, BANGKA",10900232,N,90,71.0,54.44,54.31,57.03,57.6,67.02,0.0,28,2,1,2016,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
16,2802002,"SMA NEGERI 1 PEMALI, BANGKA",10900235,N,127,65.46,39.84,34.61,46.83,52.49,60.08,0.0,28,2,2,2016,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
17,2802003,"SMA NEGERI 1 MERAWANG, BANGKA",10900236,N,55,58.44,31.93,24.95,36.27,46.55,44.8,0.0,28,2,3,2016,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
18,2802004,"SMA NEGERI 1 BELINYU, BANGKA",10900238,N,61,69.54,44.98,44.51,48.89,57.61,65.84,0.0,28,2,4,2016,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
19,2802005,"SMA NEGERI 1 PUDING BESAR, BANGKA",10900233,N,61,58.43,32.85,23.98,41.48,44.75,43.77,0.0,28,2,5,2016,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
20,2802006,"SMA NEGERI 1 MENDO BARAT, BANGKA",10900237,N,89,56.2,31.69,25.98,40.81,40.63,45.42,0.0,28,2,6,2016,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
