No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,31010001,SMAN 1 TANJUNGPINANG,11000433,N,109,76.13,70.02,45.85,66.88,68.98,68.0,65.14,31,1,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
2,31010002,SMAN 2 TANJUNGPINANG,11000434,N,195,71.66,58.25,38.79,52.66,61.54,51.94,56.61,31,1,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
3,31010003,SMAN 3 TANJUNGPINANG,11000435,N,113,59.61,40.9,32.21,53.33,52.57,63.2,46.45,31,1,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
4,31010004,SMAN 4 TANJUNGPINANG,11000436,N,149,61.62,45.5,32.4,56.25,53.03,50.9,48.03,31,1,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
5,31010005,SMAN 5 TANJUNGPINANG,11000437,N,89,64.83,45.55,31.38,65.83,57.78,51.69,49.73,31,1,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
6,31010006,SMAN 6 TANJUNGPINANG,11001975,N,74,56.65,37.97,31.39,45.87,44.0,41.43,42.47,31,1,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
7,31010007,SMA MUHAMMADIYAH TANJUNGPINANG,11001974,S,19,60.84,42.84,32.76,0.0,52.53,0.0,47.25,31,1,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
8,31010008,SMA PGRI TANJUNGPINANG,11001976,S,16,57.13,39.38,33.59,55.63,39.5,39.0,43.38,31,1,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
9,31010009,SMAK SANTA MARIA TANJUNGPINANG,11001977,S,36,65.94,52.33,33.68,62.5,66.18,51.0,52.14,31,1,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
10,31010010,SMA S PELITA NUSANTARA TANJUNGPINANG,11002361,S,11,74.91,76.55,42.95,55.0,67.14,0.0,64.29,31,1,1,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
11,31010012,SMA MAITREYAWIRA TANJUNGPINANG,11003244,S,28,78.21,79.29,48.84,71.25,65.41,72.86,68.61,31,1,1,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
12,31010101,MAN TANJUNGPINANG,11003330,N,69,57.94,39.45,33.55,43.75,49.57,40.62,44.5,31,1,10,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
13,31010102,MA MIFTAHUL ULUM TANJUNGPINANG,11003331,S,6,54.67,34.33,29.17,0.0,48.67,0.0,41.71,31,1,10,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA TANJUNGPINANG
14,31020001,SMAN 1 BATAM,11000360,N,95,78.46,70.69,50.95,64.81,71.82,61.17,67.15,31,2,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA BATAM
15,31020002,SMAN 2 BATAM,11000359,N,97,67.38,46.7,33.74,56.5,55.09,52.85,50.61,31,2,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA BATAM
16,31020003,SMAN 3 BATAM,11002197,N,127,80.44,74.02,49.72,74.35,69.97,67.89,68.82,31,2,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA BATAM
17,31020004,SMAN 4 BATAM,11002198,N,271,61.37,45.67,33.67,47.06,54.9,39.9,48.13,31,2,0,2019,KEPULAUAN RIAU,KEPULAUAN RIAU,KOTA BATAM
