No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,5010001,SMA NEGERI 1 SURABAYA,20532242,N,25,84.64,80.8,66.8,84.64,79.71,84.36,78.85,5,1,0,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
2,5010003,SMA NEGERI 2 SURABAYA,20532230,N,44,84.68,84.59,68.01,86.15,81.69,79.11,79.81,5,1,0,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
3,5010005,SMA NEGERI 3 SURABAYA,20532235,N,141,74.85,59.12,40.48,67.81,69.27,55.2,60.79,5,1,0,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
4,5010006,SMA TRI TUNGGAL 1,20532128,S,32,56.56,39.31,30.16,0.0,48.13,0.0,43.54,5,1,0,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
5,5010007,SMA MUHAMADIYAH 7 SURABAYA,20532154,S,26,58.54,40.92,35.0,47.5,48.9,43.33,45.64,5,1,0,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
6,5010008,SMA PGRI - 3 SURABAYA,20532104,S,16,45.5,36.0,29.69,0.0,43.13,0.0,38.58,5,1,0,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
7,5010009,SMA NEGERI 4 SURABAYA,20532247,N,64,74.5,59.0,41.37,65.0,72.7,58.8,60.48,5,1,0,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
8,5010014,SMA KRISTEN YBPK - 1,20532152,S,35,67.14,48.91,37.21,54.06,55.29,55.69,52.11,5,1,1,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
9,5010015,SMA NEGERI 5 SURABAYA,20532248,N,26,85.46,84.62,72.69,86.35,84.2,88.0,82.12,5,1,1,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
10,5010016,SMA ATMA WIDYA SURABAYA,20532382,S,22,50.45,36.55,31.36,0.0,44.09,0.0,40.62,5,1,1,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
11,5010018,SMA GRACIA,20532405,S,11,75.82,68.73,37.27,53.0,64.0,62.0,59.98,5,1,1,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
12,5010019,SMA NEGERI 6 SURABAYA,20532260,N,70,81.83,75.11,62.57,75.95,73.5,77.18,73.73,5,1,1,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
13,5010022,SMA NEGERI 7 SURABAYA,20532261,N,108,74.87,59.41,43.59,61.83,66.48,61.53,60.19,5,1,2,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
14,5010025,SMA MUHAMMADIYAH 1,20532171,S,65,60.25,41.29,31.81,55.0,48.6,44.0,45.7,5,1,2,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
15,5010026,SMA NEGERI 8 SURABAYA,20532262,N,119,74.22,61.26,39.56,58.25,64.33,67.64,59.24,5,1,2,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
16,5010027,SMA LIL WATHON,20532392,S,34,49.06,34.41,31.54,0.0,41.12,0.0,39.04,5,1,2,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
17,5010028,SMA AL - IRSYAD,20532366,S,13,65.23,49.38,36.35,45.0,58.0,0.0,50.99,5,1,2,2019,JAWA TIMUR,JAWA TIMUR,KOTA SURABAYA
