No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,401001,SMA NEGERI 3 YOGYAKARTA,20403178,N,13,86.77,76.31,79.42,77.86,82.33,0.0,0.0,4,1,1,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
2,401002,SMA NEGERI 4 YOGYAKARTA,20403179,N,88,78.18,66.77,48.64,64.57,71.03,67.67,0.0,4,1,2,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
3,401003,SMA NEGERI 6 YOGYAKARTA,20403171,N,49,85.76,79.39,67.96,76.19,82.31,85.47,0.0,4,1,3,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
4,401004,SMA NEGERI 9 YOGYAKARTA,20403162,N,48,86.13,80.63,68.18,81.25,77.45,81.47,0.0,4,1,4,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
5,401005,SMA NEGERI 11 YOGYAKARTA,20403176,N,96,81.17,79.5,62.66,63.56,78.63,80.11,0.0,4,1,5,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
6,401006,SMA STELLA DUCE 1 YOGYAKARTA,20403145,S,76,83.39,74.03,51.68,71.13,75.61,75.4,0.0,4,1,6,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
7,401007,SMA BOPKRI 1 YOGYAKARTA,20403227,S,111,76.43,67.86,41.19,58.75,68.75,66.42,0.0,4,1,7,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
8,401008,SMA BOPKRI 2 YOGYAKARTA,20403182,S,80,71.5,61.38,36.66,55.19,64.74,58.91,0.0,4,1,8,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
9,401009,SMA BUDYA WACANA YOGYAKARTA,20403151,S,45,75.64,57.47,33.94,53.75,60.24,63.71,0.0,4,1,9,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
10,401011,SMA TAMAN MADYA JETIS YOGYAKARTA,20404178,S,17,62.59,53.29,25.88,42.0,57.8,51.0,0.0,4,1,11,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
11,401012,SMA MUHAMMADIYAH 1 YOGYAKARTA,20403157,S,110,74.2,65.07,37.8,55.57,64.52,66.15,0.0,4,1,12,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
12,401013,MAN 1 YOGYAKARTA,20403375,N,80,82.28,72.38,56.34,72.98,76.0,80.13,0.0,4,1,13,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
