No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,1501001,SMA NEGERI 1 BANJARMASIN,30304280.0,N,78,76.08,69.67,57.24,62.43,68.81,64.29,0.0,15,1,1,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
2,1501002,SMA NEGERI 2 BANJARMASIN,30304285.0,N,190,71.59,61.23,41.21,56.68,67.18,62.5,0.0,15,1,2,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
3,1501003,SMA NEGERI 3 BANJARMASIN,30304273.0,N,69,67.04,56.84,43.55,50.0,69.18,65.17,0.0,15,1,3,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
4,1501004,SMA NEGERI 4 BANJARMASIN,30304272.0,N,126,62.44,41.56,36.33,58.04,60.72,58.83,0.0,15,1,4,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
5,1501005,SMA NEGERI 5 BANJARMASIN,30304271.0,N,160,66.08,46.8,36.97,61.54,57.88,58.0,0.0,15,1,5,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
6,1501006,SMA NEGERI 6 BANJARMASIN,30304259.0,N,99,67.76,46.67,34.22,66.67,60.48,56.65,0.0,15,1,6,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
7,1501007,SMA NEGERI 7 BANJARMASIN,30304260.0,N,62,74.52,77.26,49.11,65.0,76.25,67.06,0.0,15,1,7,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
8,1501008,SMA NEGERI 8 BANJARMASIN,30304261.0,N,75,66.11,41.39,34.37,51.25,57.07,51.9,0.0,15,1,8,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
9,1501009,SMA NEGERI 9 BANJARMASIN,30304262.0,N,63,53.87,30.25,30.24,47.5,53.22,41.43,0.0,15,1,9,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
10,1501010,SMA NEGERI 10 BANJARMASIN,30304281.0,N,68,60.62,31.68,31.14,58.75,49.78,43.8,0.0,15,1,10,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
11,1501011,SMA NEGERI 11 BANJARMASIN,30304282.0,N,99,63.68,41.17,33.33,49.69,53.88,48.72,0.0,15,1,11,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
12,1501012,SMA NEGERI 12 BANJARMASIN,30304283.0,N,99,61.68,36.3,32.75,51.46,55.61,50.0,0.0,15,1,12,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
13,1501013,SMA NEGERI 13 BANJARMASIN,30304284.0,N,70,57.91,36.69,32.64,48.89,55.25,48.18,0.0,15,1,13,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
14,1501014,SMA PGRI 1 BANJARMASIN,30304435.0,S,23,55.65,39.74,30.0,0.0,45.16,54.0,0.0,15,1,14,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
15,1501015,SMA PGRI 2 BANJARMASIN,30304275.0,S,105,62.29,36.84,32.52,52.94,50.19,46.42,0.0,15,1,15,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
16,1501016,SMA PGRI 3 BANJARMASIN,30304276.0,S,17,47.06,27.53,27.79,0.0,46.35,0.0,0.0,15,1,16,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
17,1501017,SMA PGRI 4 BANJARMASIN,30304521.0,S,31,50.19,31.35,29.44,0.0,50.19,36.0,0.0,15,1,17,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
18,1501018,SMA PGRI 6 BANJARMASIN,30304277.0,S,37,61.3,38.76,31.82,0.0,57.39,43.5,0.0,15,1,18,2017,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KOTA BANJARMASIN
