No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,2801001,"SMA NEGERI 1 TAMANSARI, PANGKALPINANG",10901104,N,41,76.59,62.04,46.4,50.37,61.5,52.74,0.0,28,1,1,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
2,2801002,"SMA NEGERI 2 BUKIT INTAN, PANGKALPINANG",10901134,N,104,66.26,55.46,38.87,34.23,48.33,41.01,0.0,28,1,2,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
3,2801003,"SMA NEGERI 3 RANGKUI, PANGKALPINANG",10901135,N,119,69.12,54.6,43.31,45.17,48.98,40.65,0.0,28,1,3,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
4,2801004,"SMA NEGERI 4 GABEK, PANGKALPINANG",10901153,N,121,69.75,45.13,34.59,42.31,54.09,48.64,0.0,28,1,4,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
5,2801005,"SMA SANTO YOSEF RANGKUI, PANGKALPINANG",10901100,S,93,70.42,65.02,55.25,47.23,59.92,52.62,0.0,28,1,5,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
6,2801006,"SMA MUHAMMADIYAH RANGKUI, PANGKALPINANG",10901098,S,8,60.49,32.35,32.95,47.19,37.18,37.39,0.0,28,1,6,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
7,2801007,"SMA SWADAYA GIRIMAYA, PANGKALPINANG",10901101,S,14,62.94,39.14,28.03,34.82,43.06,34.01,0.0,28,1,7,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
8,2801008,"SMA THB BUKIT INTAN, PANGKALPINANG",10901103,S,53,54.76,45.4,28.43,40.19,42.68,33.54,0.0,28,1,8,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
9,2801009,"SMA DEPATI AMIR PANGKALBALAM, PANGKALPINANG",10901097,S,14,61.61,38.0,28.7,40.0,38.39,33.54,0.0,28,1,9,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
10,2801010,"SMA PGRI  GERUNGGANG, PANGKALPINANG",10901099,S,21,57.78,46.73,33.49,31.55,37.12,32.56,0.0,28,1,10,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
11,2801011,"MA NEGERI  RANGKUI, PANGKALPINANG",10901910,N,147,66.98,39.05,29.85,35.97,47.31,38.37,0.0,28,1,11,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
12,2801012,"MA DARUSSALAM GERUNGGANG, PANGKALPINANG",10901909,S,49,60.98,41.5,22.46,40.61,41.02,35.38,0.0,28,1,12,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
13,2801014,"MA HIDAYATUSSALIKIN BUKIT INTAN, PANGKALPINANG",10901908,S,11,67.85,43.22,33.54,35.45,44.72,38.32,0.0,28,1,14,2015,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
14,2802001,"SMA NEGERI 1 SUNGAILIAT, BANGKA",10900232,N,115,79.71,61.29,55.88,45.67,62.38,59.14,0.0,28,2,1,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
15,2802002,"SMA NEGERI 1 PEMALI, BANGKA",10900235,N,132,71.65,48.3,46.8,44.38,62.23,48.79,0.0,28,2,2,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
16,2802003,"SMA NEGERI 1 MERAWANG, BANGKA",10900236,N,59,67.84,39.82,34.19,32.29,43.72,36.87,0.0,28,2,3,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
17,2802004,"SMA NEGERI 1 BELINYU, BANGKA",10900238,N,96,76.65,49.27,49.52,38.93,57.95,49.68,0.0,28,2,4,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
18,2802005,"SMA NEGERI 1 PUDING BESAR, BANGKA",10900233,N,79,64.96,34.82,27.48,34.56,42.74,37.94,0.0,28,2,5,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
19,2802006,"SMA NEGERI 1 MENDO BARAT, BANGKA",10900237,N,54,65.45,41.89,35.07,39.21,44.45,41.38,0.0,28,2,6,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
20,2802007,"SMA BAKTI SUNGAILIAT, BANGKA",10900213,S,22,62.92,32.24,24.56,28.41,41.71,37.49,0.0,28,2,7,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
21,2802008,"SMA SETIA BUDI SUNGAILIAT, BANGKA",10900224,S,111,67.74,42.2,32.09,35.09,49.49,39.85,0.0,28,2,8,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
22,2802009,"SMA HARAPAN SUNGAILIAT, BANGKA",10900211,S,24,71.47,47.33,34.78,38.54,52.68,44.75,0.0,28,2,9,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
23,2802010,"SMA MUHAMMADIYAH SUNGAILIAT, BANGKA",10900209,S,20,60.91,33.24,25.24,34.5,41.92,34.69,0.0,28,2,10,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
24,2802012,"SMA YPDB BELINYU, BANGKA",10900212,S,5,60.12,30.6,24.6,23.0,43.02,31.92,0.0,28,2,12,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
25,2802013,"SMA YPN BELINYU, BANGKA",10900239,S,19,66.1,40.21,24.21,34.47,43.17,37.28,0.0,28,2,13,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
26,2802014,"MA NEGERI SUNGAILIAT, BANGKA",10901897,N,46,66.68,37.44,26.23,34.08,50.2,44.64,0.0,28,2,14,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
27,2802015,"MA AL ISLAM KEMUJA MENDO BARAT, BANGKA",10901891,S,23,67.6,33.06,28.86,31.85,50.37,40.24,0.0,28,2,15,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
28,2802016,"MA NURUL IHSAN BATURUSA MERAWANG, BANGKA",10901894,S,15,64.57,39.21,22.6,31.33,43.63,40.04,0.0,28,2,16,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
29,2802017,"MA AN NAJAH PAYABENUA MENDO BARAT, BANGKA",10901890,S,30,60.99,30.54,21.19,30.58,43.99,35.91,0.0,28,2,17,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
30,2802018,"MA AN NAJAH PETALING MENDO BARAT, BANGKA",10901893,S,27,68.72,36.46,23.41,33.43,41.7,37.8,0.0,28,2,18,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
31,2802019,"MA NURUL IHSAN PANGKAL NIUR RIAU SILIP, BANGKA",10901896,S,25,64.96,34.18,24.32,35.1,42.16,33.9,0.0,28,2,19,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
32,2802021,"SMA NEGERI 1 RIAUSILIP, BANGKA",10901465,N,22,65.92,33.04,25.41,34.32,43.52,37.89,0.0,28,2,21,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
33,2802022,"SMA NEGERI 1 BAKAM, BANGKA",10901559,N,39,65.63,44.06,26.94,33.21,47.88,41.3,0.0,28,2,22,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
34,2802023,MA DAARUL ABROR KACE,10901892,S,14,69.22,53.53,28.21,33.21,49.97,40.91,0.0,28,2,23,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
35,2803001,"SMA NEGERI 1 MUNTOK, BANGKA BARAT",10900628,N,62,74.06,53.27,44.09,41.49,58.66,49.61,0.0,28,3,1,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
36,2803002,"SMA NEGERI 1 JEBUS, BANGKA BARAT",10900631,N,111,72.61,46.64,32.89,38.4,53.74,42.55,0.0,28,3,2,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
37,2803003,"SMA NEGERI 1 KELAPA, BANGKA BARAT",10900629,N,89,68.24,54.33,29.19,38.62,48.47,43.35,0.0,28,3,3,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
38,2803004,"SMA NEGERI 1 SIMPANG TERITIP, BANGKA BARAT",10900630,N,77,62.55,51.48,22.73,30.49,42.78,37.65,0.0,28,3,4,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
39,2803005,"SMA NEGERI 1 TEMPILANG, BANGKA BARAT",10901346,N,82,67.42,46.65,35.84,34.24,49.02,39.22,0.0,28,3,5,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
40,2803006,"SMA KARYA MUNTOK, BANGKA BARAT",10900626,S,21,57.97,47.83,23.18,29.88,40.0,31.55,0.0,28,3,6,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
41,2803007,"SMA BAKTI PARITTIGA, BANGKA BARAT",10900625,S,32,61.3,54.97,41.3,36.02,47.99,40.67,0.0,28,3,7,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
42,2803008,"SMA MARI AYU KELAPA, BANGKA BARAT",10900634,S,24,56.5,47.59,19.68,28.23,37.26,31.15,0.0,28,3,8,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
43,2803009,"SMA SINAR JAYA TEMPILANG, BANGKA BARAT",10900632,S,26,54.47,36.98,21.88,28.75,32.94,29.64,0.0,28,3,9,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
44,2803010,"SMA NURUL HUDA TEMPILANG, BANGKA BARAT",10900633,S,23,58.65,31.56,23.71,30.11,41.37,36.27,0.0,28,3,10,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
45,2803011,"MAN MUNTOK, BANGKA BARAT",10901898,N,22,69.3,48.83,34.38,36.7,47.54,39.3,0.0,28,3,11,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
46,2803012,"MA MIFTAHUL JANNAH SIMPANG TERITIP, BANGKA BARAT",10901899,S,20,62.68,31.93,25.03,31.38,41.1,30.76,0.0,28,3,12,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
47,2804001,"SMA 1 KOBA, BANGKA TENGAH",10900778,N,48,72.83,46.39,42.46,44.32,54.01,49.63,0.0,28,4,1,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA TENGAH
48,2804002,"SMA 1 NAMANG, BANGKA TENGAH",10900779,N,50,66.83,43.1,28.96,36.55,49.51,40.63,0.0,28,4,2,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA TENGAH
49,2804003,"SMA 1 SUNGAISELAN, BANGKA TENGAH",10900766,N,58,63.48,36.91,29.79,34.87,47.0,39.94,0.0,28,4,3,2015,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA TENGAH
